wkt_geom	OBJECTID_1	OBJECTID	DTMN11	FR11	SEC11	SS11	BGRI11	LUG11	LUG11DESIG	OBJECTID_12	ANO	GEO_COD	GEO_COD_DSG	NIVEL	NIVEL_DSG	N_EDIFICIOS_CLASSICOS	N_EDIFICIOS_CLASSICOS_1OU2	N_EDIFICIOS_CLASSICOS_ISOLADOS	N_EDIFICIOS_CLASSICOS_GEMIN	N_EDIFICIOS_CLASSICOS_EMBANDA	N_EDIFICIOS_CLASSICOS_3OUMAIS	N_EDIFICIOS_CLASSICOS_OUTROS	N_EDIFICIOS_EXCLUSIV_RESID	N_EDIFICIOS_PRINCIPAL_RESID	N_EDIFICIOS_PRINCIP_NAO_RESID	N_EDIFICIOS_1OU2_PISOS	N_EDIFICIOS_3OU4_PISOS	F_N_EDIFICIOS_5OU_MAIS_PISOS	N_EDIFICIOS_CONSTR_ANTES_1919	N_EDIFICIOS_CONSTR_1919A1945	N_EDIFICIOS_CONSTR_1946A1960	N_EDIFICIOS_CONSTR_1961A1970	N_EDIFICIOS_CONSTR_1971A1980	N_EDIFICIOS_CONSTR_1981A1990	N_EDIFICIOS_CONSTR_1991A1995	N_EDIFICIOS_CONSTR_1996A2000	N_EDIFICIOS_CONSTR_2001A2005	N_EDIFICIOS_CONSTR_2006A2011	N_EDIFICIOS_ESTRUT_BETAO	N_EDIFICIOS_ESTRUT_COM_PLACA	N_EDIFICIOS_ESTRUT_SEM_PLACA	N_EDIFICIOS_ESTRUT_ADOBE_PEDRA	N_EDIFICIOS_ESTRUT_OUTRA	N_ALOJAMENTOS	N_ALOJAMENTOS_FAMILIARES	N_ALOJAMENTOS_FAM_CLASSICOS	N_ALOJAMENTOS_FAM_N_CLASSICOS	N_ALOJAMENTOS_COLECTIVOS	N_CLASSICOS_RES_HABITUAL	N_ALOJAMENTOS_RES_HABITUAL	N_ALOJAMENTOS_VAGOS	N_RES_HABITUAL_COM_AGUA	N_RES_HABITUAL_COM_RETRETE	N_RES_HABITUAL_COM_ESGOTOS	N_RES_HABITUAL_COM_BANHO	N_RES_HABITUAL_AREA_50	N_RES_HABITUAL_AREA_50_100	N_RES_HABITUAL_AREA_100_200	N_RES_HABITUAL_AREA_200	N_RES_HABITUAL_1_2_DIV	N_RES_HABITUAL_3_4_DIV	N_RES_HABITUAL_ESTAC_1	N_RES_HABITUAL_ESTAC_2	N_RES_HABITUAL_ESTAC_3	N_RES_HABITUAL_PROP_OCUP	N_RES_HABITUAL_ARREND	N_FAMILIAS_CLASSICAS	N_FAMILIAS_INSTITUCIONAIS	N_FAMILIAS_CLASSICAS_1OU2_PESS	N_FAMILIAS_CLASSICAS_3OU4_PESS	N_FAMILIAS_CLASSICAS_NPES65	N_FAMILIAS_CLASSICAS_NPES14	N_FAMILIAS_CLASSIC_SEM_DESEMP	N_FAMILIAS_CLASSIC_1DESEMPREG	N_FAMILIAS_CLASS_2MAIS_DESEMP	N_NUCLEOS_FAMILIARES	N_NUCLEOS_1FILH_NAO_CASADO	N_NUCLEOS_2FILH_NAO_CASADO	N_NUCLEOS_FILH_INF_6ANOS	N_NUCLEOS_FILH_INF_15ANOS	N_NUCLEOS_FILH_MAIS_15ANOS	N_INDIVIDUOS_PRESENT	N_INDIVIDUOS_PRESENT_H	N_INDIVIDUOS_PRESENT_M	N_INDIVIDUOS_RESIDENT	N_INDIVIDUOS_RESIDENT_H	N_INDIVIDUOS_RESIDENT_M	N_INDIVIDUOS_RESIDENT_0A4	N_INDIVIDUOS_RESIDENT_5A9	N_INDIVIDUOS_RESIDENT_10A13	N_INDIVIDUOS_RESIDENT_14A19	N_INDIVIDUOS_RESIDENT_15A19	N_INDIVIDUOS_RESIDENT_20A24	N_INDIVIDUOS_RESIDENT_20A64	N_INDIVIDUOS_RESIDENT_25A64	N_INDIVIDUOS_RESIDENT_65	N_INDIVIDUOS_RESIDENT_H_0A4	N_INDIVIDUOS_RESIDENT_H_5A9	N_INDIVIDUOS_RESIDENT_H_10A13	N_INDIVIDUOS_RESIDENT_H_14A19	N_INDIVIDUOS_RESIDENT_H_15A19	N_INDIVIDUOS_RESIDENT_H_20A24	N_INDIVIDUOS_RESIDENT_H_20A64	N_INDIVIDUOS_RESIDENT_H_25A64	N_INDIVIDUOS_RESIDENT_H_65	N_INDIVIDUOS_RESIDENT_M_0A4	N_INDIVIDUOS_RESIDENT_M_5A9	N_INDIVIDUOS_RESIDENT_M_10A13	N_INDIVIDUOS_RESIDENT_M_14A19	N_INDIVIDUOS_RESIDENT_M_15A19	N_INDIVIDUOS_RESIDENT_M_20A24	N_INDIVIDUOS_RESIDENT_M_20A64	N_INDIVIDUOS_RESIDENT_M_25A64	N_INDIVIDUOS_RESIDENT_M_65	N_INDIV_RESIDENT_N_LER_ESCRV	N_IND_RESIDENT_FENSINO_1BAS	N_IND_RESIDENT_FENSINO_2BAS	N_IND_RESIDENT_FENSINO_3BAS	N_IND_RESIDENT_FENSINO_SEC	N_IND_RESIDENT_FENSINO_POSSEC	N_IND_RESIDENT_FENSINO_SUP	N_IND_RESIDENT_ENSINCOMP_1BAS	N_IND_RESIDENT_ENSINCOMP_2BAS	N_IND_RESIDENT_ENSINCOMP_3BAS	N_IND_RESIDENT_ENSINCOMP_SEC	N_IND_RESIDENT_ENSINCOMP_POSEC	N_IND_RESIDENT_ENSINCOMP_SUP	N_IND_RESID_DESEMP_PROC_1EMPRG	N_IND_RESID_DESEMP_PROC_EMPRG	N_IND_RESID_EMPREGADOS	N_IND_RESID_PENS_REFORM	N_IND_RESID_SEM_ACT_ECON	N_IND_RESID_EMPREG_SECT_PRIM	N_IND_RESID_EMPREG_SECT_SEQ	N_IND_RESID_EMPREG_SECT_TERC	N_IND_RESID_ESTUD_MUN_RESID	N_IND_RESID_TRAB_MUN_RESID
MultiPolygon (((-40215.16380000021308661 164007.83650000020861626, -40223.21260000020265579 164022.09080000035464764, -40225.69359999988228083 164030.59740000031888485, -40229.59250000026077032 164040.87590000033378601, -40232.83939999993890524 164048.41559999994933605, -40236.9798999996855855 164044.77669999934732914, -40316.90759999956935644 163993.7857000008225441, -40332.92719999980181456 163981.41550000011920929, -40332.95920000039041042 163981.39100000075995922, -40302.91509999986737967 163922.6546000000089407, -40215.16380000021308661 164007.83650000020861626)))	220	10788	1312	14	001	08	13121400108	007437	Porto	201076	2011	13121400108		8	Subsecção	23	8	0	0	8	15	0	0	20	3	0	17	6	19	1	0	0	0	0	0	0	3	0	4	0	19	0	0	70	70	70	0	0	17	17	42	17	17	17	17	7	6	4	0	4	8	0	0	0	4	12	18	0	15	2	5	2	12	6	0	11	4	1	0	2	5	36	16	20	37	16	21	0	1	1	4	3	1	26	25	5	0	0	1	1	1	0	13	13	1	0	1	0	3	2	1	13	12	4	2	1	0	3	1	1	2	13	4	5	3	1	7	2	4	10	10	18	0	1	9	7	6
MultiPolygon (((-40743.5598999997600913 163906.88849999941885471, -40754.7227999996393919 163946.81269999966025352, -40772.33959999959915876 164000.55130000039935112, -40790.99330000020563602 164055.47369999997317791, -40817.49309999961405993 164049.25659999996423721, -40824.45060000009834766 164029.7142999991774559, -40819.8607999999076128 164027.79040000028908253, -40826.99629999976605177 164013.14589999988675117, -40834.97379999980330467 163996.77250000089406967, -40835.07780000008642673 163996.60449999943375587, -40845.87519999966025352 163979.10199999995529652, -40837.67040000017732382 163967.72259999997913837, -40849.44130000006407499 163912.29770000092685223, -40835.21700000017881393 163916.71270000003278255, -40817.06979999970644712 163913.27910000085830688, -40796.46960000041872263 163908.86559999920427799, -40773.90749999973922968 163900.03729999996721745, -40759.68410000018775463 163898.56560000032186508, -40749.34150000009685755 163893.64000000059604645, -40743.5598999997600913 163906.88849999941885471)))	221	10789	1312	08	004	04	13120800404	007437	Porto	200296	2011	13120800404		8	Subsecção	6	2	0	0	2	4	0	6	0	0	2	3	1	0	0	5	0	0	0	0	1	0	0	0	6	0	0	0	29	29	29	0	0	21	21	2	21	21	21	20	4	14	3	0	1	10	0	0	0	5	14	21	0	9	11	6	5	13	8	0	17	6	4	2	5	9	58	27	31	60	28	32	3	0	2	5	4	4	41	37	9	0	0	0	2	2	2	23	21	3	3	0	2	3	2	2	18	16	6	0	1	3	4	5	0	2	18	10	15	5	0	7	3	5	30	8	16	0	8	22	16	22
MultiPolygon (((-40984.15359999984502792 164022.65709999948740005, -41005.4457999998703599 164034.4232999999076128, -41022.44020000007003546 164039.44079999998211861, -41031.6368000004440546 164039.59469999931752682, -41037.02060000039637089 164044.08139999955892563, -41047.19099999964237213 164030.02280000038444996, -41048.66870000027120113 164005.89680000022053719, -41039.03500000014901161 163996.63929999992251396, -41037.48290000017732382 163983.75190000049769878, -41048.7911999998614192 163959.29770000092685223, -41020.87629999965429306 163945.3657000008970499, -41015.63960000034421682 163954.85539999976754189, -41013.76379999984055758 163969.24180000089108944, -41012.93090000003576279 163976.47259999997913837, -41010.40710000041872263 163978.77749999985098839, -40990.7618000004440546 163972.41009999997913837, -40989.16990000009536743 163972.10909999907016754, -40989.4869999997317791 163980.9796999990940094, -40989.11110000032931566 163988.87439999915659428, -40987.98330000042915344 164002.0328999999910593, -40984.15359999984502792 164022.65709999948740005)))	218	10786	1312	08	005	02	13120800502	007437	Porto	200299	2011	13120800502		8	Subsecção	24	18	1	14	3	5	1	24	0	0	12	12	0	0	0	4	11	4	0	0	0	5	0	0	7	17	0	0	43	42	42	0	1	26	26	7	26	26	26	24	12	8	5	1	8	10	1	0	0	4	20	26	0	17	8	15	4	23	3	0	19	9	3	1	4	8	62	28	34	57	25	32	1	1	2	4	3	1	32	31	17	1	1	0	2	1	1	18	17	3	0	0	2	2	2	0	14	14	14	4	1	1	3	2	0	1	20	11	10	1	0	5	1	2	23	21	26	0	5	18	8	12
MultiPolygon (((-38977.05790000036358833 163938.39699999988079071, -39071.97769999969750643 164037.50359999947249889, -39080.66849999967962503 164047.03319999948143959, -39114.08980000019073486 164029.87869999930262566, -39128.77610000036656857 164021.47089999914169312, -39153.07249999977648258 163976.21660000085830688, -39034.19950000010430813 163861.57379999943077564, -38969.16270000021904707 163798.78260000050067902, -38961.20899999979883432 163790.90589999966323376, -38937.37179999984800816 163768.09100000001490116, -38885.67360000032931566 163718.17919999919831753, -38866.93149999994784594 163729.40489999949932098, -38882.80449999962002039 163797.67300000041723251, -38897.53459999989718199 163861.14450000040233135, -38977.05790000036358833 163938.39699999988079071)))	219	10787	1312	02	048	01	13120204801	007437	Porto	199458	2011	13120204801		8	Subsecção	298	272	6	78	188	26	0	293	3	2	249	49	0	45	232	15	4	1	0	0	0	1	0	19	16	262	1	0	434	434	434	0	0	310	310	75	306	294	307	281	141	130	32	7	53	174	20	2	3	66	230	314	0	227	76	125	56	256	47	11	207	85	27	22	56	72	642	297	345	655	305	350	24	19	28	28	21	40	383	343	173	11	11	15	13	9	19	193	174	62	13	8	13	15	12	21	190	169	111	27	21	18	27	14	0	16	225	108	90	71	1	58	11	58	187	218	321	0	27	160	101	141
MultiPolygon (((-39372.75889999978244305 163876.60659999959170818, -39371.848000000230968 163886.89819999970495701, -39373.08800000045448542 163891.70099999941885471, -39427.99419999960809946 164035.74049999937415123, -39482.05559999961405993 164015.71240000054240227, -39458.151999999769032 163950.5823999997228384, -39448.85610000044107437 163930.70229999907314777, -39465.98429999966174364 163918.69749999977648258, -39401.66669999994337559 163890.05859999917447567, -39372.75889999978244305 163876.60659999959170818)))	216	10784	1312	14	003	02	13121400302	007437	Porto	201083	2011	13121400302		8	Subsecção	52	35	8	0	27	16	1	50	1	1	35	16	1	43	8	0	0	0	0	0	0	1	0	7	0	22	23	0	115	114	114	0	1	58	58	44	58	54	58	53	19	29	10	0	2	35	0	0	0	12	44	62	0	44	16	29	11	52	10	0	37	15	6	5	11	12	121	50	71	127	54	73	3	8	5	5	4	6	65	59	41	1	7	3	2	2	2	29	27	12	2	1	2	3	2	4	36	32	29	8	5	3	3	2	0	3	39	15	21	19	1	7	0	10	35	47	65	0	7	28	18	28
MultiPolygon (((-37257.22109999973326921 164003.84479999914765358, -37272.36749999970197678 164012.20040000043809414, -37312.16299999970942736 164035.92119999974966049, -37312.56500000040978193 164034.99719999916851521, -37313.7428999999538064 164033.0352999996393919, -37315.21580000035464764 164031.19339999929070473, -37316.9656999995931983 164029.53739999979734421, -37318.95260000042617321 164028.12649999931454659, -37321.12150000035762787 164027.00650000013411045, -37322.26449999958276749 164026.60749999992549419, -37323.40739999990910292 164026.20849999971687794, -37325.73830000031739473 164025.74349999986588955, -37328.04820000007748604 164025.6015000008046627, -37330.27610000036656857 164025.758500000461936, -37332.37399999983608723 164026.17650000005960464, -37334.30790000036358833 164026.81240000016987324, -37336.05690000019967556 164027.61940000019967556, -37337.65479999966919422 164028.58039999939501286, -37339.2147000003606081 164029.772299999371171, -37340.7017000000923872 164031.21319999918341637, -37342.06570000015199184 164032.90320000052452087, -37343.22960000019520521 164034.79910000041127205, -37365.6205000001937151 164025.07929999940097332, -37414.01630000025033951 164007.47780000045895576, -37512.51829999964684248 163945.2727000005543232, -37548.01269999984651804 163933.55000000074505806, -37575.50839999970048666 163928.39100000075995922, -37602.56319999974220991 163928.91489999927580357, -37595.90139999985694885 163787.13929999992251396, -37533.47559999953955412 163783.9715999998152256, -37446.05630000028759241 163766.03380000032484531, -37342.72680000029504299 163731.16669999994337559, -37262.78639999963343143 163666.44940000027418137, -37164.00399999972432852 163515.5234999991953373, -37163.11380000039935112 163516.99369999952614307, -37040.74220000021159649 163714.34180000051856041, -37040.75200000032782555 163714.366499999538064, -37042.94890000019222498 163719.87920000031590462, -37045.35989999957382679 163723.72309999912977219, -37110.72630000021308661 163758.80030000023543835, -37143.24110000021755695 163779.53729999996721745, -37219.09619999956339598 163829.27290000021457672, -37235.45349999982863665 163839.28739999979734421, -37280.89279999956488609 163868.03500000014901161, -37285.03270000033080578 163872.4857999999076128, -37286.34559999965131283 163875.11669999919831753, -37287.05159999988973141 163878.5556000005453825, -37286.85070000030100346 163880.88250000029802322, -37278.16629999969154596 163909.66039999946951866, -37274.22860000003129244 163918.9671000000089407, -37258.51620000042021275 163915.32530000060796738, -37245.89479999989271164 163912.59449999965727329, -37232.58930000010877848 163907.70670000091195107, -37213.44209999963641167 163902.98100000061094761, -37206.72339999955147505 163904.08300000056624413, -37201.68460000026971102 163906.2890000008046627, -37193.4540999997407198 163916.21260000020265579, -37184.72059999965131283 163923.45940000005066395, -37172.96320000011473894 163935.11600000038743019, -37168.09140000026673079 163940.63079999946057796, -37163.72470000013709068 163947.87649999931454659, -37160.97389999963343143 163958.51810000091791153, -37169.63360000029206276 163960.49499999918043613, -37192.98560000024735928 163971.04539999924600124, -37247.68149999994784594 163998.58300000056624413, -37257.22109999973326921 164003.84479999914765358)))	217	10785	1312	03	052	11	13120305211	007437	Porto	199759	2011	13120305211		8	Subsecção	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MultiPolygon (((-38125.68530000001192093 163938.37910000048577785, -38132.33279999997466803 163965.54570000059902668, -38132.60290000028908253 163971.82530000060796738, -38130.18369999993592501 163984.45500000007450581, -38129.05339999962598085 163993.97509999945759773, -38128.97360000014305115 163998.94500000029802322, -38129.95820000022649765 164002.3669000007212162, -38132.08420000039041042 164009.75510000064969063, -38135.63439999986439943 164023.13470000028610229, -38138.62189999967813492 164034.4926999993622303, -38259.22130000032484531 163926.21040000021457672, -38349.48950000014156103 163845.16210000030696392, -38431.5471000000834465 163767.06579999998211861, -38515.07129999995231628 163687.57359999977052212, -38686.83339999988675117 163524.10300000011920929, -38728.29019999969750643 163489.08510000072419643, -38821.17339999973773956 163406.15190000087022781, -38790.46160000003874302 163383.24809999950230122, -38711.4715999998152256 163345.0601000003516674, -38488.34559999965131283 163385.69519999995827675, -38371.80790000036358833 163437.13690000027418137, -38368.72780000045895576 163438.47690000012516975, -38275.09020000044256449 163485.58860000036656857, -38170.36280000023543835 163555.13030000030994415, -38139.46389999985694885 163569.56049999967217445, -38082.77560000028461218 163621.5909000001847744, -38057.05630000028759241 163644.4715999998152256, -38163.03780000004917383 163751.98750000074505806, -38150.90799999982118607 163769.92760000005364418, -38110.0598999997600913 163832.20749999955296516, -38110.07019999995827675 163832.23750000074505806, -38115.19780000019818544 163847.23120000027120113, -38117.06030000001192093 163852.67730000056326389, -38118.25069999974220991 163861.26700000092387199, -38119.45079999975860119 163877.23709999956190586, -38119.8311999998986721 163895.76700000092387199, -38121.31159999966621399 163903.67659999988973141, -38123.07189999986439943 163907.82660000026226044, -38125.35170000046491623 163909.98630000092089176, -38128.44209999963641167 163918.17630000039935112, -38128.85190000012516975 163926.07589999958872795, -38127.22209999989718199 163933.73570000007748604, -38125.68209999985992908 163938.36590000055730343, -38125.68530000001192093 163938.37910000048577785)))	214	10782	1312	02	045	04	13120204504	007437	Porto	199452	2011	13120204504		8	Subsecção	5	1	1	0	0	0	4	5	0	0	4	1	0	1	0	0	0	0	0	0	0	0	4	0	4	1	0	0	5	5	5	0	0	5	5	0	5	5	5	5	2	1	1	1	0	2	1	0	1	2	3	5	0	0	4	4	2	4	1	0	6	3	1	0	2	3	20	10	10	22	11	11	0	0	2	1	0	2	13	11	6	0	0	1	1	0	2	7	5	2	0	0	1	0	0	0	6	6	4	1	1	2	1	1	0	0	10	2	2	0	0	6	0	1	7	5	11	0	3	4	5	5
MultiPolygon (((-40134.06159999966621399 164034.49469999969005585, -40148.38599999994039536 164034.55540000088512897, -40162.61330000031739473 164031.27239999920129776, -40172.59979999996721745 164027.51439999975264072, -40183.79530000034719706 164021.64939999952912331, -40186.19419999979436398 164020.58339999988675117, -40189.12700000032782555 164018.4505000002682209, -40191.52589999977499247 164015.51860000006854534, -40193.39180000033229589 164012.85260000079870224, -40194.19170000031590462 164008.85380000062286854, -40194.4585999995470047 164004.32200000062584877, -40194.4585999995470047 163998.19119999930262566, -40191.52570000011473894 163992.85950000025331974, -40191.79200000036507845 163931.28089999966323376, -40200.17250000033527613 163920.94419999979436398, -40197.65660000033676624 163917.95240000076591969, -40157.40309999976307154 163895.29389999993145466, -40144.67269999999552965 163901.91180000081658363, -40139.62899999972432852 163907.602700000628829, -40135.79930000007152557 163919.64130000025033951, -40148.38499999977648258 163946.45399999991059303, -40152.81730000022798777 163989.00520000047981739, -40152.33739999961107969 164001.82469999976456165, -40141.27190000005066395 164003.36480000056326389, -40134.06159999966621399 164034.49469999969005585)))	215	10783	1312	14	006	01	13121400601	007437	Porto	201098	2011	13121400601		8	Subsecção	29	12	1	0	11	16	1	29	0	0	13	14	2	28	0	1	0	0	0	0	0	0	0	1	0	27	1	0	83	82	82	0	1	64	64	13	61	62	64	55	33	24	7	0	16	40	0	2	0	6	51	66	0	46	18	26	13	50	13	3	42	16	4	6	13	10	140	67	73	143	69	74	8	1	8	4	4	8	86	78	36	3	1	3	1	1	3	43	40	18	5	0	5	3	3	5	43	38	18	11	5	5	5	1	0	0	57	24	21	9	0	4	6	15	36	42	69	0	5	31	21	31
MultiPolygon (((-40332.95920000039041042 163981.39100000075995922, -40346.76099999994039536 163999.24379999935626984, -40393.29030000045895576 164032.81179999932646751, -40410.23139999993145466 164014.50919999927282333, -40456.03000000026077032 163970.58530000038444996, -40467.58509999979287386 163937.34750000014901161, -40484.27319999970495701 163914.040200000628829, -40489.43580000009387732 163903.43950000032782555, -40493.88650000002235174 163891.35999999940395355, -40522.46509999968111515 163873.28030000068247318, -40532.27759999968111515 163866.48939999938011169, -40545.15500000026077032 163863.3953000009059906, -40551.62770000007003546 163861.00530000030994415, -40551.64030000008642673 163861.00060000084340572, -40551.58169999998062849 163861.00210000015795231, -40539.6818000003695488 163860.82190000079572201, -40534.72200000006705523 163860.72199999913573265, -40523.50210000015795231 163859.94270000047981739, -40497.01229999959468842 163862.07289999909698963, -40496.65240000002086163 163860.35300000011920929, -40493.26240000035613775 163844.66339999996125698, -40481.51640000008046627 163844.80760000087320805, -40480.22259999997913837 163844.82349999994039536, -40454.58270000014454126 163847.9443999994546175, -40434.09329999983310699 163858.47460000030696392, -40427.37449999991804361 163905.07420000061392784, -40424.58449999988079071 163911.28399999998509884, -40332.95920000039041042 163981.39100000075995922)))	212	10780	1312	15	005	02	13121500502	007437	Porto	201152	2011	13121500502		8	Subsecção	28	6	0	0	6	22	0	24	4	0	10	16	2	0	22	2	0	2	0	0	2	0	0	2	26	0	0	0	94	94	94	0	0	36	36	55	36	36	36	33	18	12	6	0	4	25	0	0	0	3	31	36	0	20	14	13	8	31	4	1	23	12	4	4	8	12	82	32	50	83	33	50	4	2	4	1	1	2	56	54	16	1	1	1	0	0	1	26	25	4	3	1	3	1	1	1	30	29	12	3	3	2	2	2	0	0	30	16	10	7	1	6	1	5	35	21	32	0	4	31	12	28
MultiPolygon (((-36978.93910000007599592 163977.30829999968409538, -36982.48500000033527613 163986.50799999944865704, -36992.05960000026971102 163992.49369999952614307, -37004.76620000042021275 164000.83129999972879887, -37049.48049999959766865 164034.26070000045001507, -37074.07890000008046627 163981.36470000073313713, -37087.03010000009089708 163954.64269999973475933, -37036.39840000029653311 163958.7767999991774559, -36987.85360000003129244 163962.74090000055730343, -36988.0026000002399087 163963.78580000065267086, -36988.0026000002399087 163965.66180000081658363, -36987.73959999997168779 163967.51070000045001507, -36987.23070000018924475 163969.27759999968111515, -36986.50270000007003546 163970.91950000077486038, -36986.04769999999552965 163971.65949999913573265, -36985.59279999975115061 163972.40049999952316284, -36984.54580000042915344 163973.69840000011026859, -36983.40290000010281801 163974.80540000088512897, -36982.20390000008046627 163975.72140000015497208, -36980.97699999995529652 163976.45940000005066395, -36979.63410000037401915 163977.07929999940097332, -36978.93910000007599592 163977.30829999968409538)))	213	10781	1312	03	052	12	13120305212	007437	Porto	199760	2011	13120305212		8	Subsecção	8	8	0	0	8	0	0	8	0	0	8	0	0	7	1	0	0	0	0	0	0	0	0	1	0	7	0	0	8	8	8	0	0	2	2	6	2	2	2	2	2	0	0	0	0	2	0	0	0	0	2	2	0	2	0	1	0	1	1	0	1	0	0	0	0	0	3	2	1	3	2	1	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	2	2	0	0	0	0	0
