fid,OBJECTID,BGRI2021,DT21,DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,NUTS1,NUTS2,NUTS3,N_EDIFICIOS_CLASSICOS,N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ,N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS,N_EDIFICIOS_EXCLUSIV_RESID,N_EDIFICIOS_1_OU_2_PISOS,N_EDIFICIOS_3_OU_MAIS_PISOS,N_EDIFICIOS_CONSTR_ANTES_1945,N_EDIFICIOS_CONSTR_1946_1980,N_EDIFICIOS_CONSTR_1981_2000,N_EDIFICIOS_CONSTR_2001_2010,N_EDIFICIOS_CONSTR_2011_2021,N_EDIFICIOS_COM_NECESSIDADES_REPARACAO,N_ALOJAMENTOS_TOTAL,N_ALOJAMENTOS_FAMILIARES,N_ALOJAMENTOS_FAM_CLASS_RHABITUAL,N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA,N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS,N_RHABITUAL_COM_ESTACIONAMENTO,N_RHABITUAL_PROP_OCUP,N_RHABITUAL_ARRENDADOS,N_AGREGADOS_DOMESTICOS_PRIVADOS,N_ADP_1_OU_2_PESSOAS,N_ADP_3_OU_MAIS_PESSOAS,N_NUCLEOS_FAMILIARES,N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25,N_INDIVIDUOS,N_INDIVIDUOS_H,N_INDIVIDUOS_M,N_INDIVIDUOS_0_14,N_INDIVIDUOS_15_24,N_INDIVIDUOS_25_64,N_INDIVIDUOS_65_OU_MAIS,SHAPE_Length,SHAPE_Area
"1","52","13121000702","13","1312","131210","131210007","007","02","00702","13121000702","1","11",11A,59,44,15,58,43,16,25,26,5,3,0,34,202,202,155,47,29,73,103,39,155,105,50,98,40,328,145,183,29,34,184,81,612.308514074003,21064.4734505574
"2","53","13120302118","13","1312","131203","131203021","021","18","02118","13120302118","1","11",11A,21,13,7,21,11,10,0,19,2,0,0,13,73,72,58,14,0,14,13,43,58,46,12,33,10,134,54,80,8,10,55,61,481.233388930995,13437.2764095628
"3","54","13121103402","13","1312","131211","131211034","034","02","03402","13121103402","1","11",11A,31,26,5,31,20,11,17,9,1,4,0,7,78,78,71,7,10,21,26,42,71,50,21,40,18,143,67,76,15,8,79,41,707.17885926795,13484.0487385289
"4","55","13121600903","13","1312","131216","131216009","009","03","00903","13121600903","1","11",11A,57,46,11,57,44,13,0,44,13,0,0,7,109,109,94,15,24,65,64,23,94,62,32,57,24,205,89,116,33,12,100,60,824.199640879331,24498.6209212819
"5","56","13121600403","13","1312","131216","131216004","004","03","00403","13121600403","1","11",11A,4,4,0,4,4,0,0,2,1,1,0,2,6,6,2,4,1,2,0,1,2,1,1,1,1,5,2,3,0,1,2,2,177.035284103556,1829.03386205084
"6","57","13120301810","13","1312","131203","131203018","018","10","01810","13120301810","1","11",11A,16,16,0,16,5,11,9,0,3,1,3,1,16,16,14,2,2,14,14,0,14,9,5,13,4,34,14,20,2,4,10,18,361.472127135844,7142.32992200887
"7","58","13120301813","13","1312","131203","131203018","018","13","01813","13120301813","1","11",11A,16,16,0,16,0,16,11,0,2,3,0,5,16,16,14,2,2,11,13,1,14,7,7,12,5,41,20,21,3,6,18,14,394.006733640071,8155.27670345594
"8","59","13121001303","13","1312","131210","131210013","013","03","01303","13121001303","1","11",11A,4,4,0,4,4,0,0,2,0,2,0,0,4,4,4,0,1,4,4,0,4,1,3,3,1,13,7,6,3,1,7,2,154.827970601439,1426.45942553179
"9","60","13121002206","13","1312","131210","131210022","022","06","02206","13121002206","1","11",11A,15,0,15,15,0,15,0,14,1,0,0,0,143,143,139,4,0,2,1,136,139,92,47,85,40,310,147,163,36,37,152,85,557.264698290005,14545.7880471436
"10","61","13121103404","13","1312","131211","131211034","034","04","03404","13121103404","1","11",11A,25,10,15,25,6,19,3,11,1,9,1,6,129,129,117,12,11,24,29,83,117,72,45,88,40,284,137,147,45,28,138,73,782.409122670989,24968.5182271873
"11","62","13121600905","13","1312","131216","131216009","009","05","00905","13121600905","1","11",11A,19,10,9,19,6,13,2,17,0,0,0,4,60,60,49,11,1,32,33,13,49,26,23,39,22,127,67,60,13,17,71,26,534.959559049774,17278.2895024149
"12","63","13121103405","13","1312","131211","131211034","034","05","03405","13121103405","1","11",11A,27,17,10,26,12,15,8,10,9,0,0,9,71,71,61,10,2,32,35,21,61,42,19,41,19,130,57,73,13,17,76,24,401.323146156042,9619.9017928848
"13","64","13121600309","13","1312","131216","131216003","003","09","00309","13121600309","1","11",11A,45,33,12,43,18,27,0,33,12,0,0,2,113,113,98,15,8,68,77,15,98,65,33,68,27,226,106,120,24,22,105,75,938.761001827315,32144.7065401148
"14","65","13121102902","13","1312","131211","131211029","029","02","02902","13121102902","1","11",11A,12,12,0,12,11,1,7,1,2,1,1,5,12,12,9,3,2,7,7,1,9,6,3,5,2,18,7,11,1,2,7,8,223.390985196856,3097.80993110529
"15","66","13120301814","13","1312","131203","131203018","018","14","01814","13120301814","1","11",11A,6,6,0,6,1,5,5,0,1,0,0,1,6,6,5,1,0,4,4,0,5,2,3,5,2,13,6,7,1,1,5,6,355.08925863931,5350.20114616275
"16","67","13121102205","13","1312","131211","131211022","022","05","02205","13121102205","1","11",11A,19,19,0,19,19,0,6,13,0,0,0,17,21,21,11,10,4,2,6,3,11,7,4,9,4,27,13,14,6,2,13,6,1613.20880004534,137600.116556884
"17","68","13121001304","13","1312","131210","131210013","013","04","01304","13121001304","1","11",11A,8,8,0,8,8,0,0,5,3,0,0,1,8,8,7,1,2,1,6,0,7,4,3,5,1,16,8,8,0,3,7,6,230.25102215894,3227.02926134241
"18","69","13121003201","13","1312","131210","131210032","032","01","03201","13121003201","1","11",11A,28,19,9,28,18,10,0,28,0,0,0,24,64,64,48,16,4,1,6,35,48,33,15,29,13,102,47,55,10,13,61,18,343.371787449323,5806.29816686933
"19","70","13121103206","13","1312","131211","131211032","032","06","03206","13121103206","1","11",11A,4,1,3,4,0,4,1,0,0,3,0,0,71,71,66,5,34,65,58,7,66,37,29,44,30,161,72,89,33,16,88,24,1504.96636298453,113499.213493228
"20","71","13121001305","13","1312","131210","131210013","013","05","01305","13121001305","1","11",11A,6,6,0,6,6,0,0,5,1,0,0,1,6,6,4,2,0,3,2,2,4,4,0,1,0,6,4,2,0,0,4,2,183.646952558778,1577.20674139084
"21","72","13121000912","13","1312","131210","131210009","009","12","00912","13121000912","1","11",11A,26,22,4,24,23,3,22,2,2,0,0,11,77,77,36,41,15,23,18,14,36,26,10,25,10,77,36,41,6,8,44,19,795.535813707437,37644.012776311
"22","73","13121103207","13","1312","131211","131211032","032","07","03207","13121103207","1","11",11A,28,17,10,27,8,20,3,17,7,1,0,16,170,169,147,22,61,137,114,21,147,93,54,106,47,350,159,191,46,29,171,104,909.436441586118,37515.9950886219
"23","74","13121001306","13","1312","131210","131210013","013","06","01306","13121001306","1","11",11A,10,10,0,10,10,0,0,10,0,0,0,2,10,10,6,4,2,6,5,0,6,4,2,6,1,15,7,8,2,0,7,6,226.014783471816,3129.23816102416
"24","233","13120301808","13","1312","131203","131203018","018","08","01808","13120301808","1","11",11A,25,25,0,25,24,1,17,1,4,3,0,10,25,25,18,7,9,12,15,2,18,10,8,13,5,47,23,24,5,3,24,15,412.246556467946,8666.20143456018
"25","234","13121103010","13","1312","131211","131211030","030","10","03010","13121103010","1","11",11A,9,2,7,9,2,7,1,0,8,0,0,9,58,58,56,2,0,0,37,19,56,24,32,44,14,153,69,84,13,16,57,67,531.974408987626,11374.3213498504
"26","235","13121600301","13","1312","131216","131216003","003","01","00301","13121600301","1","11",11A,3,0,3,3,0,3,0,0,3,0,0,0,24,24,22,2,11,21,17,4,22,16,6,15,6,47,26,21,5,5,20,17,215.422126130736,2227.63959511469
"27","236","13121600302","13","1312","131216","131216003","003","02","00302","13121600302","1","11",11A,4,0,4,4,0,4,0,0,4,0,0,0,40,40,38,2,18,37,28,6,38,20,18,23,14,89,38,51,15,7,51,16,247.70187155941,2720.23081858083
"28","237","13121600303","13","1312","131216","131216003","003","03","00303","13121600303","1","11",11A,5,0,5,5,0,5,0,0,5,0,0,0,44,44,43,1,28,43,36,3,43,24,19,27,16,96,49,47,10,12,57,17,273.805295599078,3213.50823850271
"29","238","13121000603","13","1312","131210","131210006","006","03","00603","13121000603","1","11",11A,8,8,0,8,7,1,0,8,0,0,0,5,8,8,7,1,1,1,4,2,7,3,4,4,4,16,7,9,3,2,9,2,146.755345798027,1331.40927493181
"30","239","13121103204","13","1312","131211","131211032","032","04","03204","13121103204","1","11",11A,4,2,2,4,2,2,0,3,0,1,0,3,29,29,23,6,10,13,15,7,23,19,4,13,4,45,15,30,6,1,25,13,520.783597334587,10784.3134038817
"31","240","13121000604","13","1312","131210","131210006","006","04","00604","13121000604","1","11",11A,12,12,0,12,12,0,7,5,0,0,0,3,24,24,19,5,6,1,5,12,19,14,5,7,4,35,12,23,5,4,12,14,227.599534504821,2713.57763690111
"32","241","13121002301","13","1312","131210","131210023","023","01","02301","13121002301","1","11",11A,43,34,9,42,32,11,3,29,10,1,0,22,98,98,71,27,16,19,38,29,71,51,20,41,13,142,65,77,10,9,70,53,458.714104783424,9753.54735815745
"33","242","13121102613","13","1312","131211","131211026","026","13","02613","13121102613","1","11",11A,5,1,4,5,1,4,0,4,0,0,1,4,31,31,26,5,2,1,20,6,26,12,14,19,11,65,31,34,8,10,36,11,606.632332131951,17175.0946377526
"34","243","13120301809","13","1312","131203","131203018","018","09","01809","13120301809","1","11",11A,14,14,0,14,8,6,9,4,1,0,0,1,14,14,12,2,4,12,12,0,12,7,5,10,6,27,10,17,4,2,13,8,584.694577169993,10166.4195447649
"35","244","13121000907","13","1312","131210","131210009","009","07","00907","13121000907","1","11",11A,12,5,7,9,7,5,5,7,0,0,0,12,26,26,17,9,1,3,4,13,17,14,3,12,3,32,14,18,3,0,13,16,334.281240382318,6214.58733234574
"36","245","13121000908","13","1312","131210","131210009","009","08","00908","13121000908","1","11",11A,38,28,10,35,29,9,21,16,0,1,0,29,70,70,44,26,4,4,22,19,44,28,16,30,8,100,49,51,7,8,50,35,433.258763495152,8090.15479674666
"37","246","13121600305","13","1312","131216","131216003","003","05","00305","13121600305","1","11",11A,3,0,3,3,0,3,0,0,3,0,0,0,20,20,20,0,8,20,16,1,20,15,5,12,4,42,18,24,6,0,22,14,501.207999757805,6623.01520154774
"38","247","13121600306","13","1312","131216","131216003","003","06","00306","13121600306","1","11",11A,15,0,15,14,15,0,0,0,15,0,0,0,59,59,53,6,4,53,46,3,53,33,20,36,20,119,56,63,16,11,67,25,356.117191896525,7579.27044281113
"39","248","13121000701","13","1312","131210","131210007","007","01","00701","13121000701","1","11",11A,21,20,1,21,20,1,19,1,0,1,0,14,29,29,16,13,4,0,1,14,16,15,1,8,1,26,11,15,1,1,18,6,315.945808899175,5329.49098337541
"40","358","13121000801","13","1312","131210","131210008","008","01","00801","13121000801","1","11",11A,49,29,20,49,8,41,18,17,0,10,4,32,340,340,219,121,107,158,92,108,219,159,60,112,54,429,202,227,55,39,264,71,837.384661746845,40647.5070639462
"41","359","13121000607","13","1312","131210","131210006","006","07","00607","13121000607","1","11",11A,29,29,0,29,26,3,0,29,0,0,0,7,30,30,26,4,6,13,15,6,26,13,13,18,7,66,34,32,10,6,36,14,373.47932607609,4867.63901583134
"42","360","13121600307","13","1312","131216","131216003","003","07","00307","13121600307","1","11",11A,17,0,17,17,16,1,0,0,17,0,0,0,68,68,63,5,4,63,55,3,63,34,29,48,22,154,73,81,23,13,91,27,411.547880035572,9919.931788105
"43","361","13121102614","13","1312","131211","131211026","026","14","02614","13121102614","1","11",11A,10,1,9,6,1,9,0,6,3,1,0,10,99,99,81,18,21,65,52,21,81,56,25,52,21,174,77,97,21,16,86,51,1489.77301406529,74144.5828073138
"44","362","13121003907","13","1312","131210","131210039","039","07","03907","13121003907","1","11",11A,132,103,28,131,96,36,67,56,7,2,0,40,278,277,211,66,35,42,75,122,211,154,57,121,42,441,193,248,30,46,239,126,1740.12067286243,111283.847776482
"45","363","13121000909","13","1312","131210","131210009","009","09","00909","13121000909","1","11",11A,13,2,11,9,2,11,3,9,1,0,0,5,53,53,41,12,2,2,22,18,41,25,16,23,7,93,35,58,4,17,41,31,623.790025830197,19438.3350228999
"46","155091","13121705207","13","1312","131217","131217052","052","07","05207","13121705207","1","11",11A,12,7,5,12,3,9,11,1,0,0,0,11,26,26,22,4,0,0,0,22,22,14,8,21,8,56,25,31,2,8,28,18,124.126154162581,970.600095336486
"47","155092","13121705208","13","1312","131217","131217052","052","08","05208","13121705208","1","11",11A,9,4,5,8,1,8,8,1,0,0,0,9,30,30,29,1,0,0,0,29,29,26,3,15,3,47,20,27,0,4,29,14,184.123509469541,1130.20044002935
"48","155093","13121705209","13","1312","131217","131217052","052","09","05209","13121705209","1","11",11A,1,0,1,1,0,1,1,0,0,0,0,1,7,7,2,5,0,0,0,2,2,1,1,1,1,4,2,2,1,0,2,1,284.453207931149,3378.64665014779
"49","155094","13121705210","13","1312","131217","131217052","052","10","05210","13121705210","1","11",11A,29,16,13,26,11,18,20,9,0,0,0,28,74,74,56,18,2,0,19,35,56,36,20,36,15,126,56,70,9,16,61,40,436.868887318193,7994.99563562712
"50","155095","13121705211","13","1312","131217","131217052","052","11","05211","13121705211","1","11",11A,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,2,13,0,0,0,15,1994.10416545679,115173.820909146
"51","155096","13121705212","13","1312","131217","131217052","052","12","05212","13121705212","1","11",11A,16,1,15,14,0,16,3,11,1,1,0,13,90,90,50,40,2,0,3,44,50,35,15,33,6,104,45,59,4,8,55,37,400.424257665401,8815.50761020382
"52","155097","13121705213","13","1312","131217","131217052","052","13","05213","13121705213","1","11",11A,5,0,5,2,0,5,3,0,1,0,1,4,16,16,13,3,0,0,0,12,13,9,4,7,2,28,16,12,2,2,11,13,305.692398124362,3140.54188470189
"53","155098","13121705214","13","1312","131217","131217052","052","14","05214","13121705214","1","11",11A,13,5,8,13,5,8,11,2,0,0,0,11,43,43,27,16,0,0,7,19,27,18,9,17,5,56,33,23,4,2,32,18,334.273859274193,4467.74804633043
"54","155099","13121705215","13","1312","131217","131217052","052","15","05215","13121705215","1","11",11A,5,2,3,4,0,5,2,2,0,0,1,4,10,10,5,5,1,1,2,3,5,4,1,4,1,14,9,5,0,2,7,5,249.546390602148,2641.26676226073
"55","155100","13121705101","13","1312","131217","131217051","051","01","05101","13121705101","1","11",11A,6,5,1,6,5,1,5,1,0,0,0,5,10,10,6,4,0,0,1,5,6,5,1,4,0,11,5,6,0,0,9,2,345.230352141143,4221.75769598599
"56","155101","13121705216","13","1312","131217","131217052","052","16","05216","13121705216","1","11",11A,10,2,8,8,0,10,8,0,1,0,1,9,28,28,18,10,0,0,2,15,18,13,5,10,6,36,15,21,4,5,17,10,570.514909571158,19454.6693800308
"57","155102","13121705102","13","1312","131217","131217051","051","02","05102","13121705102","1","11",11A,4,0,4,3,0,4,1,2,0,1,0,1,13,13,10,3,0,0,0,9,10,6,4,8,4,24,11,13,1,5,13,5,237.360577523537,2336.03761102349
"58","155103","13121701002","13","1312","131217","131217010","010","02","01002","13121701002","1","11",11A,51,24,27,49,20,31,45,0,3,0,3,48,140,140,76,64,7,0,20,53,76,57,19,47,15,154,70,84,13,10,99,32,502.078539435296,6676.02512253036
"59","155104","13121700801","13","1312","131217","131217008","008","01","00801","13121700801","1","11",11A,16,7,8,13,6,10,9,1,5,1,0,8,42,41,20,21,2,1,5,14,20,15,5,11,3,48,13,35,3,1,17,27,409.487870959228,7030.57174695162
"60","155105","13121704706","13","1312","131217","131217047","047","06","04706","13121704706","1","11",11A,12,6,6,9,1,11,8,0,1,0,3,5,28,28,24,4,1,0,1,21,24,19,5,10,4,45,18,27,4,4,30,7,274.050882669292,3210.68539832501
"61","155106","13121700904","13","1312","131217","131217009","009","04","00904","13121700904","1","11",11A,26,10,14,25,7,19,22,3,1,0,0,14,94,92,44,48,8,0,3,35,44,35,9,17,9,104,59,45,8,9,63,24,539.622120863187,9609.6937529888
"62","155107","13121700802","13","1312","131217","131217008","008","02","00802","13121700802","1","11",11A,11,3,8,10,6,5,9,0,1,1,0,6,35,35,23,12,1,0,5,15,23,15,8,16,4,55,26,29,4,5,30,16,323.435013386499,4513.65155775293
"63","155108","13121705112","13","1312","131217","131217051","051","12","05112","13121705112","1","11",11A,3,1,1,3,0,3,2,0,0,1,0,0,6,5,0,5,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,1,661.318910713183,18920.2571677745
"64","155109","13120200103","13","1312","131202","131202001","001","03","00103","13120200103","1","11",11A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376.485829821165,7130.85267045197
"65","155110","13120200104","13","1312","131202","131202001","001","04","00104","13120200104","1","11",11A,74,51,23,68,52,22,54,15,3,2,0,24,192,192,145,47,15,3,29,106,145,100,45,96,39,319,148,171,35,26,166,92,597.994921786827,21556.271270506
"66","155111","13121703207","13","1312","131217","131217032","032","07","03207","13121703207","1","11",11A,15,11,4,15,10,5,2,7,6,0,0,5,29,29,15,14,1,0,4,8,15,10,5,10,6,31,11,20,3,4,17,7,385.05389166818,8490.77031382839
"67","155112","13121704707","13","1312","131217","131217047","047","07","04707","13121704707","1","11",11A,9,3,6,5,1,8,9,0,0,0,0,3,24,24,9,15,0,0,2,7,9,8,1,4,0,15,6,9,0,0,6,9,399.988933993656,9449.06024557285
"68","155113","13121700905","13","1312","131217","131217009","009","05","00905","13121700905","1","11",11A,26,8,18,23,3,23,12,12,1,1,0,15,130,130,75,55,18,18,19,54,75,52,23,47,16,165,85,80,18,11,92,44,728.311998152951,25502.7578701542
"69","155114","13121700906","13","1312","131217","131217009","009","06","00906","13121700906","1","11",11A,9,8,1,8,1,8,0,9,0,0,0,2,14,14,7,7,0,4,4,3,7,5,2,4,0,13,7,6,0,0,10,3,284.90234952036,3536.02246461861
"70","155115","13121700805","13","1312","131217","131217008","008","05","00805","13121700805","1","11",11A,30,15,15,24,12,18,24,0,3,2,1,15,87,87,54,33,7,0,11,33,54,39,15,25,15,109,50,59,17,8,57,27,498.864488031612,11308.2447355571
"71","155116","13120301601","13","1312","131203","131203016","016","01","01601","13120301601","1","11",11A,6,1,5,5,0,6,0,0,6,0,0,0,100,100,71,29,32,64,58,7,71,55,16,53,14,148,70,78,8,8,82,50,667.441229788718,10152.7733896005
"72","155117","13121701405","13","1312","131217","131217014","014","05","01405","13121701405","1","11",11A,27,12,15,23,7,20,21,1,1,0,4,12,83,83,50,33,6,0,5,43,50,39,11,33,12,116,58,58,9,9,75,23,742.620402384428,15930.6138069382
"73","155118","13121703002","13","1312","131217","131217030","030","02","03002","13121703002","1","11",11A,4,0,4,2,0,4,1,3,0,0,0,1,12,12,2,10,0,0,0,2,2,2,0,0,0,3,1,2,0,0,3,0,163.053699874696,1335.6668821967
"74","155119","13121701501","13","1312","131217","131217015","015","01","01501","13121701501","1","11",11A,17,8,9,15,3,14,15,0,1,1,0,11,43,43,22,21,0,0,6,12,22,18,4,9,1,38,19,19,2,2,15,19,328.89501756609,5293.22910378563
"75","155120","13120200203","13","1312","131202","131202002","002","03","00203","13120200203","1","11",11A,40,28,12,38,18,22,27,13,0,0,0,13,104,104,84,20,22,32,53,23,84,65,19,50,18,166,78,88,18,11,85,52,595.618872580745,13270.7637646711
"76","155121","13121701406","13","1312","131217","131217014","014","06","01406","13121701406","1","11",11A,13,2,11,8,0,13,9,1,0,0,3,9,51,51,24,27,3,0,5,17,24,13,11,9,7,60,42,18,7,7,42,4,510.193589383835,13165.1362686462
"77","155334","13121705202","13","1312","131217","131217052","052","02","05202","13121705202","1","11",11A,7,1,6,6,0,7,1,4,2,0,0,6,20,20,10,10,2,0,0,8,10,6,4,6,1,22,12,10,3,1,8,10,302.191243386136,3934.14469971899
"78","155335","13121705203","13","1312","131217","131217052","052","03","05203","13121705203","1","11",11A,5,0,5,4,0,5,5,0,0,0,0,5,16,16,7,9,0,0,0,7,7,5,2,4,2,14,4,10,1,1,6,6,240.29006302673,2472.17669957963
"79","155336","13121705204","13","1312","131217","131217052","052","04","05204","13121705204","1","11",11A,11,1,9,11,0,11,10,1,0,0,0,3,38,37,12,25,2,0,3,8,12,9,3,6,0,33,13,20,1,2,12,18,298.015384913939,3526.90262279854
"80","155337","13121705205","13","1312","131217","131217052","052","05","05205","13121705205","1","11",11A,6,1,5,4,0,6,5,1,0,0,0,6,16,16,7,9,0,0,0,7,7,3,4,7,1,19,10,9,0,1,11,7,351.196660396556,2078.78666467561
"81","155338","13121705206","13","1312","131217","131217052","052","06","05206","13121705206","1","11",11A,7,1,6,3,0,7,6,0,0,1,0,3,28,28,16,12,1,0,5,11,16,12,4,9,4,33,17,16,5,4,17,7,213.427681390968,2733.67774576807
"82","155357","13121701408","13","1312","131217","131217014","014","08","01408","13121701408","1","11",11A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,4,1,363.184499614342,5120.80037543447
"83","155358","13121700806","13","1312","131217","131217008","008","06","00806","13121700806","1","11",11A,3,3,0,3,2,1,3,0,0,0,0,2,3,3,1,2,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,2,611.856732895511,16200.4115583606
"84","155359","13120200107","13","1312","131202","131202001","001","07","00107","13120200107","1","11",11A,32,28,4,32,27,5,16,16,0,0,0,7,59,59,45,14,10,0,17,25,45,34,11,27,7,93,42,51,4,8,52,29,450.004518801897,9842.88012685555
"85","155360","13121701006","13","1312","131217","131217010","010","06","01006","13121701006","1","11",11A,37,17,20,34,3,34,30,0,1,3,3,25,135,135,30,105,2,1,3,25,30,25,5,19,3,58,28,30,2,5,30,21,468.862143276514,14260.0582631531
"86","155361","13121703003","13","1312","131217","131217030","030","03","03003","13121703003","1","11",11A,5,2,3,5,0,5,5,0,0,0,0,3,15,15,3,12,0,0,1,2,3,2,1,2,1,6,2,4,0,1,1,4,228.528616817862,2819.01366045381
"87","155362","13121703004","13","1312","131217","131217030","030","04","03004","13121703004","1","11",11A,10,6,4,10,2,8,6,1,0,2,1,2,32,32,19,13,6,7,3,16,19,15,4,9,4,34,15,19,3,2,22,7,460.194585068478,4005.09831563872
"88","155363","13121700101","13","1312","131217","131217001","001","01","00101","13121700101","1","11",11A,61,48,13,59,46,15,51,1,5,4,0,6,178,178,99,79,41,42,40,52,99,85,14,45,15,168,74,94,15,9,95,49,569.278898444083,18436.7872687215
"89","155366","13120202402","13","1312","131202","131202024","024","02","02402","13120202402","1","11",11A,23,11,12,20,6,17,12,7,2,1,1,14,93,93,60,33,10,7,30,27,60,50,10,24,10,103,47,56,9,5,61,28,398.672971883475,9011.64565428016
"90","155367","13120301603","13","1312","131203","131203016","016","03","01603","13120301603","1","11",11A,38,38,0,37,38,0,33,3,2,0,0,31,42,42,23,19,2,3,16,7,23,15,8,14,4,51,27,24,0,4,27,20,705.66519738378,12207.6425868302
"91","155368","13120202501","13","1312","131202","131202025","025","01","02501","13120202501","1","11",11A,21,8,13,17,2,19,8,11,2,0,0,5,84,84,62,22,2,0,26,35,62,47,15,32,13,123,52,71,10,12,68,33,330.519296745557,6571.10244596535
"92","155597","13120301602","13","1312","131203","131203016","016","02","01602","13120301602","1","11",11A,13,12,0,13,12,1,10,2,0,1,0,11,13,12,9,3,0,1,3,5,9,7,2,5,2,35,19,16,10,10,14,1,371.018974335153,6853.42570756852
"93","155598","13120202302","13","1312","131202","131202023","023","02","02302","13120202302","1","11",11A,22,17,5,22,19,3,20,2,0,0,0,14,39,39,35,4,1,3,10,24,35,22,13,29,10,84,37,47,7,7,45,25,952.925465400981,36923.7591439086
"94","155599","13121700102","13","1312","131217","131217001","001","02","00102","13121700102","1","11",11A,17,10,6,15,6,11,14,2,0,1,0,6,36,35,19,16,0,0,2,15,19,13,6,12,3,114,33,81,1,5,26,82,848.586138037592,27776.4105258453
"95","155600","13121701503","13","1312","131217","131217015","015","03","01503","13121701503","1","11",11A,17,8,9,13,2,15,16,0,0,0,1,9,37,37,12,25,0,0,1,10,12,12,0,6,2,19,7,12,1,2,11,5,235.090131082591,3102.43804073044
"96","155601","13121700103","13","1312","131217","131217001","001","03","00103","13121700103","1","11",11A,10,6,4,9,0,10,8,1,0,1,0,4,33,33,23,10,12,0,7,14,23,18,5,14,4,48,23,25,8,1,24,15,578.453059576249,19613.509277478
"97","155602","13121802501","13","1312","131218","131218025","025","01","02501","13121802501","1","11",11A,8,6,2,7,2,6,4,2,0,2,0,4,50,50,33,17,16,12,9,22,33,25,8,19,10,69,35,34,8,8,45,8,1187.39928706253,30916.5723220828
"98","155603","13121701504","13","1312","131217","131217015","015","04","01504","13121701504","1","11",11A,4,1,3,3,0,4,4,0,0,0,0,3,16,16,11,5,0,0,0,11,11,10,1,4,2,16,7,9,2,1,9,4,177.249074722429,1838.81857629967
"99","155604","13121703005","13","1312","131217","131217030","030","05","03005","13121703005","1","11",11A,8,4,4,8,0,8,4,1,2,1,0,5,19,19,9,10,0,0,1,8,9,7,2,4,1,17,11,6,2,0,7,8,231.894792589935,3230.04128165859
"100","155605","13120202401","13","1312","131202","131202024","024","01","02401","13120202401","1","11",11A,34,17,16,30,12,22,29,3,2,0,0,32,85,84,55,29,4,2,14,34,56,43,13,19,8,101,42,59,6,8,58,29,733.373693009568,28855.0675779321
"101","162620","13120302210","13","1312","131203","131203022","022","10","02210","13120302210","1","11",11A,18,18,0,18,18,0,3,15,0,0,0,11,18,18,11,7,3,6,4,6,11,7,4,8,2,25,11,14,1,1,17,6,1635.29590172885,73513.9268655982
"102","162621","13121001005","13","1312","131210","131210010","010","05","01005","13121001005","1","11",11A,76,60,15,74,13,63,8,42,21,0,5,30,135,134,113,21,25,65,63,36,113,72,41,82,33,276,117,159,29,24,141,82,1104.5093904224,38624.2471333354
"103","162622","13121100601","13","1312","131211","131211006","006","01","00601","13121100601","1","11",11A,5,0,5,3,0,5,0,0,5,0,0,0,221,221,192,29,178,115,130,49,192,114,78,132,76,439,195,244,54,56,269,60,712.044716722081,27310.5517151826
"104","162623","13121002402","13","1312","131210","131210024","024","02","02402","13121002402","1","11",11A,48,33,14,47,29,19,21,25,1,1,0,11,152,151,103,48,17,49,52,43,103,70,33,67,25,229,105,124,19,27,109,74,1385.67089970836,87932.7609032164
"105","162624","13121002403","13","1312","131210","131210024","024","03","02403","13121002403","1","11",11A,38,19,19,38,10,28,1,22,13,1,1,5,239,239,177,62,16,25,28,109,177,123,54,121,50,391,154,237,40,38,190,123,850.679881713288,44322.214324278
"106","164785","13121700901","13","1312","131217","131217009","009","01","00901","13121700901","1","11",11A,3,0,3,3,0,3,0,0,0,3,0,0,27,27,16,11,12,16,12,2,16,11,5,11,6,35,16,19,6,3,23,3,823.420663561781,8477.57318355303
"107","164786","13121701001","13","1312","131217","131217010","010","01","01001","13121701001","1","11",11A,30,16,13,30,11,19,7,2,11,10,0,30,72,71,38,33,2,0,4,32,38,31,7,16,7,78,34,44,6,5,34,33,267.499402705363,3503.52320673027
"108","164787","13121702904","13","1312","131217","131217029","029","04","02904","13121702904","1","11",11A,37,7,30,30,5,32,37,0,0,0,0,12,120,120,66,54,8,0,10,53,66,54,12,31,9,117,50,67,11,4,68,34,412.955860145416,5840.95080194959
