fid,OBJECTID,BGRI2021,DT21,DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,NUTS1,NUTS2,NUTS3,N_EDIFICIOS_CLASSICOS,N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ,N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS,N_EDIFICIOS_EXCLUSIV_RESID,N_EDIFICIOS_1_OU_2_PISOS,N_EDIFICIOS_3_OU_MAIS_PISOS,N_EDIFICIOS_CONSTR_ANTES_1945,N_EDIFICIOS_CONSTR_1946_1980,N_EDIFICIOS_CONSTR_1981_2000,N_EDIFICIOS_CONSTR_2001_2010,N_EDIFICIOS_CONSTR_2011_2021,N_EDIFICIOS_COM_NECESSIDADES_REPARACAO,N_ALOJAMENTOS_TOTAL,N_ALOJAMENTOS_FAMILIARES,N_ALOJAMENTOS_FAM_CLASS_RHABITUAL,N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA,N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS,N_RHABITUAL_COM_ESTACIONAMENTO,N_RHABITUAL_PROP_OCUP,N_RHABITUAL_ARRENDADOS,N_AGREGADOS_DOMESTICOS_PRIVADOS,N_ADP_1_OU_2_PESSOAS,N_ADP_3_OU_MAIS_PESSOAS,N_NUCLEOS_FAMILIARES,N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25,N_INDIVIDUOS,N_INDIVIDUOS_H,N_INDIVIDUOS_M,N_INDIVIDUOS_0_14,N_INDIVIDUOS_15_24,N_INDIVIDUOS_25_64,N_INDIVIDUOS_65_OU_MAIS,SHAPE_Length,SHAPE_Area
"240","164029","13121702104","13","1312","131217","131217021","021","04","02104","13121702104","1","11",11A,18,8,10,17,8,10,0,15,2,0,1,6,72,72,54,18,5,0,19,31,54,46,8,21,5,89,38,51,7,2,53,27,232.354301598046,3388.01191243389
"241","164030","13121101101","13","1312","131211","131211011","011","01","01101","13121101101","1","11",11A,13,2,11,12,1,12,0,2,10,1,0,11,161,161,131,30,33,109,71,46,131,103,28,71,24,244,111,133,19,20,124,81,860.61194494151,45004.2034701922
"242","164031","13120302904","13","1312","131203","131203029","029","04","02904","13120302904","1","11",11A,8,3,5,8,3,5,2,5,1,0,0,5,26,26,18,8,4,8,12,6,18,11,7,11,7,45,25,20,11,2,24,8,861.012586562904,23123.8355329132
"243","164032","13121702801","13","1312","131217","131217028","028","01","02801","13121702801","1","11",11A,95,69,26,88,54,41,28,34,13,7,13,32,309,309,236,73,55,107,123,79,236,153,83,154,77,536,233,303,74,61,302,99,955.899690539396,48971.0526173361
"244","164033","13121702105","13","1312","131217","131217021","021","05","02105","13121702105","1","11",11A,34,14,19,31,3,31,1,15,8,9,1,5,178,177,152,25,74,103,83,60,156,107,49,102,47,340,147,193,35,33,167,105,566.302293947216,19027.4406189825
"245","164034","13121704002","13","1312","131217","131217040","040","02","04002","13121704002","1","11",11A,19,12,6,18,11,8,0,11,6,2,0,1,55,54,43,11,10,26,26,17,44,32,12,23,7,93,45,48,5,9,51,28,392.48798630098,8771.44391596918
"246","164182","13120301909","13","1312","131203","131203019","019","09","01909","13120301909","1","11",11A,18,18,0,18,18,0,0,0,1,17,0,0,18,18,17,1,3,2,0,16,17,9,8,15,5,43,25,18,4,4,27,8,425.692172770979,5145.35058556705
"247","164183","13120301910","13","1312","131203","131203019","019","10","01910","13120301910","1","11",11A,8,6,2,8,4,4,0,1,6,1,0,8,17,17,12,5,2,10,4,5,12,10,2,8,1,24,13,11,1,3,16,4,1302.63585355873,105635.54652972
"248","164184","13121101401","13","1312","131211","131211014","014","01","01401","13121101401","1","11",11A,34,18,16,34,15,19,3,19,7,1,4,25,202,202,173,29,90,144,136,26,173,125,48,121,46,368,165,203,50,15,226,77,873.392579355816,48714.5258937748
"249","164185","13121002601","13","1312","131210","131210026","026","01","02601","13121002601","1","11",11A,50,30,20,48,14,36,3,37,8,1,1,22,233,233,182,51,75,131,120,44,182,136,46,102,39,365,147,218,36,31,189,109,886.87072700757,31396.6873138936
"250","164186","13121103301","13","1312","131211","131211033","033","01","03301","13121103301","1","11",11A,8,4,4,7,4,4,2,3,3,0,0,4,96,96,80,16,36,75,50,24,80,53,27,50,22,172,75,97,12,25,97,38,747.389705428909,25671.0978720471
"251","164187","13120302020","13","1312","131203","131203020","020","20","02020","13120302020","1","11",11A,23,23,0,23,22,1,1,17,1,4,0,3,23,23,21,2,5,16,20,1,21,10,11,15,7,54,26,28,3,7,25,19,700.083504411771,18260.0431966764
"252","164188","13121100403","13","1312","131211","131211004","004","03","00403","13121100403","1","11",11A,25,25,0,25,25,0,0,24,0,1,0,8,27,27,22,5,5,13,15,5,22,17,5,11,4,45,18,27,7,4,12,22,415.383596360592,4757.754125446
"253","164189","13120302112","13","1312","131203","131203021","021","12","02112","13120302112","1","11",11A,13,11,2,12,13,0,8,4,1,0,0,13,22,22,19,3,1,1,13,4,19,15,4,11,4,38,18,20,2,3,18,15,399.370632387015,8146.18879806846
"254","164190","13121102204","13","1312","131211","131211022","022","04","02204","13121102204","1","11",11A,5,3,2,5,5,0,2,3,0,0,0,5,11,11,8,3,2,1,1,7,8,7,1,2,1,11,5,6,0,1,4,6,1127.26833268178,46093.7494079177
"255","164191","13120301801","13","1312","131203","131203018","018","01","01801","13120301801","1","11",11A,2,0,2,2,0,2,0,2,0,0,0,2,80,80,76,4,9,2,0,73,76,34,42,71,29,217,95,122,25,28,98,66,377.160015125741,7744.0059775812
"256","164192","13121004803","13","1312","131210","131210048","048","03","04803","13121004803","1","11",11A,43,26,17,43,17,26,4,34,0,5,0,12,129,129,114,15,18,63,71,41,114,66,48,79,37,282,136,146,35,33,149,65,651.107016044296,15627.1458957085
"257","164193","13121103302","13","1312","131211","131211033","033","02","03302","13121103302","1","11",11A,8,0,8,8,0,8,0,8,0,0,0,0,96,96,90,6,1,1,2,86,90,69,21,56,17,181,85,96,22,12,81,66,474.446606579909,10344.1919136789
"258","164194","13120302113","13","1312","131203","131203021","021","13","02113","13120302113","1","11",11A,10,10,0,10,10,0,9,1,0,0,0,10,11,11,3,8,0,0,2,1,3,1,2,2,1,8,4,4,2,2,3,1,401.666949601402,9003.5432063002
"259","164195","13121000403","13","1312","131210","131210004","004","03","00403","13121000403","1","11",11A,36,30,6,35,13,23,6,25,2,3,0,18,52,52,40,12,7,14,21,15,40,25,15,28,13,90,40,50,11,5,52,22,444.450505129394,10029.4507851876
"260","164196","13120302208","13","1312","131203","131203022","022","08","02208","13120302208","1","11",11A,5,4,1,5,3,2,0,0,4,1,0,0,10,10,9,1,0,1,5,4,9,6,3,8,3,21,10,11,2,1,10,8,524.033771969566,10946.2859943936
"261","164197","13121102611","13","1312","131211","131211026","026","11","02611","13121102611","1","11",11A,3,0,3,3,0,3,0,3,0,0,0,3,24,24,21,3,0,1,15,3,21,10,11,9,6,50,24,26,8,5,29,8,211.419027845645,2179.35404762844
"262","164445","13121601205","13","1312","131216","131216012","012","05","01205","13121601205","1","11",11A,14,14,0,14,2,12,3,3,0,8,0,1,14,14,13,1,5,13,11,2,13,0,13,13,12,54,29,25,5,19,28,2,784.142030562017,30640.6970351438
"263","164446","13121702303","13","1312","131217","131217023","023","03","02303","13121702303","1","11",11A,23,10,13,22,5,18,0,19,0,3,1,8,109,109,88,21,12,66,65,16,88,58,30,56,24,201,91,110,32,13,90,66,660.665143361747,15303.2176378675
"264","164447","13120202001","13","1312","131202","131202020","020","01","02001","13120202001","1","11",11A,6,6,0,6,6,0,2,3,0,1,0,3,8,8,5,3,0,0,3,1,5,4,1,3,0,10,6,4,0,1,2,7,163.945093572386,1507.09270513743
"265","164448","13120201906","13","1312","131202","131202019","019","06","01906","13120201906","1","11",11A,19,14,5,18,11,8,1,13,2,1,2,11,46,46,42,4,2,32,34,5,42,24,18,34,13,105,47,58,10,14,44,37,382.760807893235,7951.38105088487
