WKT,fid,OBJECTID,BGRI2021,DT21,DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,NUTS1,NUTS2,NUTS3,N_EDIFICIOS_CLASSICOS,N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ,N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS,N_EDIFICIOS_EXCLUSIV_RESID,N_EDIFICIOS_1_OU_2_PISOS,N_EDIFICIOS_3_OU_MAIS_PISOS,N_EDIFICIOS_CONSTR_ANTES_1945,N_EDIFICIOS_CONSTR_1946_1980,N_EDIFICIOS_CONSTR_1981_2000,N_EDIFICIOS_CONSTR_2001_2010,N_EDIFICIOS_CONSTR_2011_2021,N_EDIFICIOS_COM_NECESSIDADES_REPARACAO,N_ALOJAMENTOS_TOTAL,N_ALOJAMENTOS_FAMILIARES,N_ALOJAMENTOS_FAM_CLASS_RHABITUAL,N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA,N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS,N_RHABITUAL_COM_ESTACIONAMENTO,N_RHABITUAL_PROP_OCUP,N_RHABITUAL_ARRENDADOS,N_AGREGADOS_DOMESTICOS_PRIVADOS,N_ADP_1_OU_2_PESSOAS,N_ADP_3_OU_MAIS_PESSOAS,N_NUCLEOS_FAMILIARES,N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25,N_INDIVIDUOS,N_INDIVIDUOS_H,N_INDIVIDUOS_M,N_INDIVIDUOS_0_14,N_INDIVIDUOS_15_24,N_INDIVIDUOS_25_64,N_INDIVIDUOS_65_OU_MAIS,SHAPE_Length,SHAPE_Area
"MULTIPOLYGON (((-44789.7249 167148.926,-44776.7074 167142.576,-44768.9428 167142.0096,-44768.5448 167142.705600001,-44762.979 167144.1976,-44742.202 167148.6128,-44750.1565 167131.769400001,-44751.7873 167121.864800001,-44748.4064 167107.873500001,-44727.6618 167056.1132,-44782.5562 167033.1722,-44820.3204 167017.3882,-44824.6022 167017.1062,-44842.5044 167015.926899999,-44859.1417 167019.1384,-44871.1092 167024.686,-44911.6836 167052.717,-44902.0782 167067.089500001,-44889.2299 167085.5459,-44883.9462 167092.492699999,-44881.9763 167095.083699999,-44878.2465 167100.2675,-44872.0299 167111.6721,-44865.3983 167124.113700001,-44862.2905 167132.6153,-44860.0117 167142.775900001,-44857.9389 167150.240599999,-44857.4459 167151.739600001,-44857.1209 167152.328600001,-44856.657 167152.693499999,-44855.974 167153.077500001,-44799.8992 167154.872199999,-44789.7249 167148.926)))","11","62","13121600905","13","1312","131216","131216009","009","05","00905","13121600905","1","11",11A,19,10,9,19,6,13,2,17,0,0,0,4,60,60,49,11,1,32,33,13,49,26,23,39,22,127,67,60,13,17,71,26,534.959559049774,17278.2895024149
"MULTIPOLYGON (((-43467.9188 167079.9168,-43454.0683 167064.499700001,-43512.3462 167011.787,-43593.8514 167100.605599999,-43535.8105 167155.488299999,-43467.9188 167079.9168)))","12","63","13121103405","13","1312","131211","131211034","034","05","03405","13121103405","1","11",11A,27,17,10,26,12,15,8,10,9,0,0,9,71,71,61,10,2,32,35,21,61,42,19,41,19,130,57,73,13,17,76,24,401.323146156042,9619.9017928848
"MULTIPOLYGON (((-44560.1766 167096.1954,-44607.9871 167051.1285,-44620.4794 167038.2829,-44631.1868 167028.406099999,-44640.7244 167020.7333,-44642.2393 167019.5143,-44671.7917 166992.822,-44717.7173 166949.633099999,-44733.1005 166935.6054,-44747.8757 166921.741800001,-44797.8961 166874.809,-44811.9334 166861.6383,-44840.0599 166834.924,-44855.7073 166846.600199999,-44857.7772 166851.3959,-44857.8083 166863.4134,-44861.1262 166869.2501,-44860.6623 166869.4901,-44859.8203 166870.088099999,-44859.0774 166870.791099999,-44858.4524 166871.572,-44857.9534 166872.405,-44857.5814 166873.259,-44857.3275 166874.118899999,-44857.1875 166874.957900001,-44857.1515 166875.6099,-44857.1875 166876.5638,-44857.3275 166877.401799999,-44857.5825 166878.2618,-44857.9545 166879.115700001,-44858.4535 166879.9487,-44859.0784 166880.729599999,-44859.8214 166881.432600001,-44860.7804 166882.091499999,-44856.4026 166888.624299999,-44854.096 166924.1028,-44857.259 166932.5403,-44858.4409 166934.102299999,-44839.698 166960.4594,-44835.7512 166966.1622,-44833.8523 166968.7621,-44832.4184 166970.725099999,-44824.6022 167017.1062,-44820.3204 167017.3882,-44782.5562 167033.1722,-44727.6618 167056.1132,-44684.0769 167074.0682,-44676.1523 167079.664,-44590.0319 167160.339,-44560.1766 167096.1954)))","13","64","13121600309","13","1312","131216","131216003","003","09","00309","13121600309","1","11",11A,45,33,12,43,18,27,0,33,12,0,0,2,113,113,98,15,8,68,77,15,98,65,33,68,27,226,106,120,24,22,105,75,938.761001827315,32144.7065401148
"MULTIPOLYGON (((-43935.8415 167126.6753,-43976.5453 167083.3925,-44015.0429 167118.2733,-44001.5507 167131.7699,-43985.5825 167148.4275,-43971.8453 167162.0831,-43935.8415 167126.6753)))","14","65","13121102902","13","1312","131211","131211029","029","02","02902","13121102902","1","11",11A,12,12,0,12,11,1,7,1,2,1,1,5,12,12,9,3,2,7,7,1,9,6,3,5,2,18,7,11,1,2,7,8,223.390985196856,3097.80993110529
"MULTIPOLYGON (((-37951.5788 167162.806600001,-37916.3268 167146.603599999,-37959.5629 167034.6788,-37966.1414 167017.648399999,-38000.7143 167030.9526,-38000.8354 167030.999199999,-37997.6651 167038.558499999,-37994.2712 167048.304500001,-37994.1116 167048.762800001,-37979.637 167090.3281,-37952.7487 167160.3575,-37951.6969 167162.8609,-37951.5788 167162.806600001)))","15","66","13120301814","13","1312","131203","131203018","018","14","01814","13120301814","1","11",11A,6,6,0,6,1,5,5,0,1,0,0,1,6,6,5,1,0,4,4,0,5,2,3,5,2,13,6,7,1,1,5,6,355.08925863931,5350.20114616275
"MULTIPOLYGON (((-42629.8425 167135.3016,-42542.3713 167026.7958,-42482.5811 166937.1116,-42450.0284 166823.67,-42468.1534 166806.261399999,-42499.6407 166776.018200001,-42510.0172 166766.395400001,-42536.2608 166742.058,-42553.4659 166726.1083,-42580.5424 166701.006899999,-42644.211 166640.2524,-42699.2671 166587.8246,-42705.3538 166582.0288,-42720.863 166567.3881,-42726.4108 166573.482799999,-42759.3247 166609.639599999,-42763.0765 166613.648399999,-42767.3894 166618.256100001,-42818.4057 166672.7619,-42830.4593 166686.266100001,-42835.5591 166691.979800001,-42858.7273 166717.938300001,-42880.6836 166742.536800001,-42893.4942 166756.46,-42915.9654 166780.8836,-42899.6583 166796.7502,-42874.9056 166821.6985,-42862.7944 166844.582800001,-42858.7577 166866.6599,-42856.086 166885.4572,-42851.6865 166916.4179,-42786.9414 166919.356899999,-42773.172 166916.203299999,-42767.7262 166913.6525,-42761.2035 166911.672700001,-42745.2874 166929.8412,-42709.3964 166974.962,-42716.3043 166992.3081,-42719.4583 167011.6962,-42719.8826 167047.636700001,-42714.813 167059.1823,-42708.6784 167073.1558,-42699.796 167094.536,-42686.0768 167122.8431,-42657.0976 167169.785599999,-42629.8425 167135.3016)))","16","67","13121102205","13","1312","131211","131211022","022","05","02205","13121102205","1","11",11A,19,19,0,19,19,0,6,13,0,0,0,17,21,21,11,10,4,2,6,3,11,7,4,9,4,27,13,14,6,2,13,6,1613.20880004534,137600.116556884
"MULTIPOLYGON (((-39065.6897 167120.358899999,-39108.0867 167101.394400001,-39117.1275 167120.060699999,-39129.5983 167147.1745,-39136.1452 167164.062799999,-39093.7482 167183.0273,-39065.6897 167120.358899999)))","17","68","13121001304","13","1312","131210","131210013","013","04","01304","13121001304","1","11",11A,8,8,0,8,8,0,0,5,3,0,0,1,8,8,7,1,2,1,6,0,7,4,3,5,1,16,8,8,0,3,7,6,230.25102215894,3227.02926134241
"MULTIPOLYGON (((-38108.8821 167181.2632,-38143.326 167110.3289,-38189.9582 167131.6358,-38249.901 167157.5715,-38237.8486 167166.226199999,-38237.5596 167166.4342,-38176.9613 167182.696799999,-38115.3419 167186.421,-38108.8821 167181.2632)))","18","69","13121003201","13","1312","131210","131210032","032","01","03201","13121003201","1","11",11A,28,19,9,28,18,10,0,28,0,0,0,24,64,64,48,16,4,1,6,35,48,33,15,29,13,102,47,55,10,13,61,18,343.371787449323,5806.29816686933
"MULTIPOLYGON (((-41480.1083 167029.436799999,-41449.2169 166846.8939,-41476.4636 166843.1326,-41501.3945 166836.341399999,-41506.2862 166835.009400001,-41534.306 166838.220699999,-41569.9146 166848.729699999,-41586.5469 166854.3221,-41668.8975 166882.009500001,-41688.4647 166890.4298,-41704.5011 166897.3302,-41717.3986 166902.0118,-41720.5954 166902.016799999,-41725.3862 166900.818700001,-41754.2728 166889.7007,-41772.4629 166882.1927,-41774.0239 166881.548699999,-41788.8382 166875.866599999,-41792.535 166873.5537,-41794.049 166880.362400001,-41798.4929 166894.4427,-41803.1838 166906.7941,-41807.3817 166913.217700001,-41814.0474 166915.193499999,-41821.9481 166915.193399999,-41828.8608 166913.711300001,-41834.7865 166910.9933,-41843.427 166905.3104,-41854.0435 166896.170600001,-41859.9691 166885.548,-41865.4007 166872.9494,-41874.5553 166859.7513,-41878.3417 166871.635399999,-41884.2684 166897.882099999,-41896.1218 166961.382300001,-41909.6685 167026.5757,-41925.0541 167081.625600001,-41864.928 167096.596,-41779.309 167118.9866,-41558.5704 167179.405099999,-41527.8228 167187.6613,-41510.049 167190.873500001,-41480.1083 167029.436799999)))","19","70","13121103206","13","1312","131211","131211032","032","06","03206","13121103206","1","11",11A,4,1,3,4,0,4,1,0,0,3,0,0,71,71,66,5,34,65,58,7,66,37,29,44,30,161,72,89,33,16,88,24,1504.96636298453,113499.213493228
"MULTIPOLYGON (((-39045.1146 167129.2477,-39065.6897 167120.358899999,-39093.7482 167183.0273,-39072.5492 167192.805,-39045.1146 167129.2477)))","20","71","13121001305","13","1312","131210","131210013","013","05","01305","13121001305","1","11",11A,6,6,0,6,6,0,0,5,1,0,0,1,6,6,4,2,0,3,2,2,4,4,0,1,0,6,4,2,0,0,4,2,183.646952558778,1577.20674139084
