WKT,fid,OBJECTID,BGRI2021,DT21,DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,NUTS1,NUTS2,NUTS3,N_EDIFICIOS_CLASSICOS,N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ,N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS,N_EDIFICIOS_EXCLUSIV_RESID,N_EDIFICIOS_1_OU_2_PISOS,N_EDIFICIOS_3_OU_MAIS_PISOS,N_EDIFICIOS_CONSTR_ANTES_1945,N_EDIFICIOS_CONSTR_1946_1980,N_EDIFICIOS_CONSTR_1981_2000,N_EDIFICIOS_CONSTR_2001_2010,N_EDIFICIOS_CONSTR_2011_2021,N_EDIFICIOS_COM_NECESSIDADES_REPARACAO,N_ALOJAMENTOS_TOTAL,N_ALOJAMENTOS_FAMILIARES,N_ALOJAMENTOS_FAM_CLASS_RHABITUAL,N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA,N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS,N_RHABITUAL_COM_ESTACIONAMENTO,N_RHABITUAL_PROP_OCUP,N_RHABITUAL_ARRENDADOS,N_AGREGADOS_DOMESTICOS_PRIVADOS,N_ADP_1_OU_2_PESSOAS,N_ADP_3_OU_MAIS_PESSOAS,N_NUCLEOS_FAMILIARES,N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25,N_INDIVIDUOS,N_INDIVIDUOS_H,N_INDIVIDUOS_M,N_INDIVIDUOS_0_14,N_INDIVIDUOS_15_24,N_INDIVIDUOS_25_64,N_INDIVIDUOS_65_OU_MAIS,SHAPE_Length,SHAPE_Area
"MULTIPOLYGON (((-38104.6731 164126.840299999,-38102.9812 164125.3784,-38101.2132 164124.9164,-38096.9834 164124.3014,-38081.9121 164123.763499999,-38078.6372 164123.4586,-38074.8704 164122.535599999,-38055.0252 164118.1829,-38091.7988 164056.9384,-38132.0842 164009.755100001,-38135.6344 164023.1347,-38138.6219 164034.492699999,-38141.4446 164045.2245,-38144.325 164061.224099999,-38156.4056 164092.9132,-38142.3564 164111.5032,-38136.6165 164134.883,-38133.4474 164146.6633,-38126.9533 164147.748400001,-38122.6945 164149.3343,-38122.4575 164149.4893,-38104.6731 164126.840299999)))","92","155597","13120301602","13","1312","131203","131203016","016","02","01602","13120301602","1","11",11A,13,12,0,13,12,1,10,2,0,1,0,11,13,12,9,3,0,1,3,5,9,7,2,5,2,35,19,16,10,10,14,1,371.018974335153,6853.42570756852
"MULTIPOLYGON (((-38133.4474 164146.6633,-38136.6165 164134.883,-38142.3564 164111.5032,-38156.4056 164092.9132,-38144.325 164061.224099999,-38141.4446 164045.2245,-38138.6219 164034.492699999,-38135.6344 164023.1347,-38132.0842 164009.755100001,-38172.7615 163975.9757,-38348.9744 163821.9879,-38334.8665 163877.448899999,-38331.8117 163886.0076,-38326.4322 163909.1577,-38318.17 163949.269200001,-38312.0015 163979.833,-38322.2696 164033.239800001,-38330.2684 164049.8101,-38352.2626 164065.7234,-38321.4983 164093.238500001,-38309.9719 164109.301899999,-38299.7703 164100.6643,-38225.1728 164125.9147,-38211.8884 164128.5887,-38158.3988 164135.7937,-38148.5571 164153.4428,-38133.4474 164146.6633)))","93","155598","13120202302","13","1312","131202","131202023","023","02","02302","13120202302","1","11",11A,22,17,5,22,19,3,20,2,0,0,0,14,39,39,35,4,1,3,10,24,35,22,13,29,10,84,37,47,7,7,45,25,952.925465400981,36923.7591439086
"MULTIPOLYGON (((-39344.5033 164160.5451,-39337.103 164149.675799999,-39317.2829 164127.456700001,-39317.2846 164127.420700001,-39318.1921 164107.8969,-39318.9122 164099.177,-39316.0216 164077.7973,-39310.3906 164048.6478,-39319.13 164023.117799999,-39317.6401 164011.6779,-39314.1996 163990.828500001,-39310.0288 163960.929,-39308.939 163955.149,-39307.129 163950.618899999,-39304.4087 163946.429199999,-39299.6476 163940.9098,-39299.6388 163940.899599999,-39310.0282 163936.118899999,-39324.8879 163929.048800001,-39342.0976 163915.2688,-39349.527 163904.058700001,-39355.3269 163894.2787,-39357.0058 163890.3923,-39358.1867 163887.6588,-39361.4865 163868.6588,-39358.5959 163846.9691,-39358.9354 163838.219,-39358.3299 163835.596899999,-39356.9655 163829.689099999,-39365.4058 163827.3728,-39365.4076 163827.3847,-39366.7177 163835.8653,-39371.1638 163864.6491,-39372.7589 163876.6066,-39371.848 163886.8982,-39373.088 163891.701,-39427.9942 164035.740499999,-39470.9534 164144.4726,-39469.3116 164144.881200001,-39468.5011 164145.082900001,-39462.4612 164146.513,-39351.8127 164160.9255,-39344.5033 164160.5451)))","94","155599","13121700102","13","1312","131217","131217001","001","02","00102","13121700102","1","11",11A,17,10,6,15,6,11,14,2,0,1,0,6,36,35,19,16,0,0,2,15,19,13,6,12,3,114,33,81,1,5,26,82,848.586138037592,27776.4105258453
"MULTIPOLYGON (((-40317.4936 164124.5392,-40339.1555 164116.3662,-40391.789 164095.089299999,-40395.2284 164139.999399999,-40328.7415 164162.7665,-40317.4936 164124.5392)))","95","155600","13121701503","13","1312","131217","131217015","015","03","01503","13121701503","1","11",11A,17,8,9,13,2,15,16,0,0,0,1,9,37,37,12,25,0,0,1,10,12,12,0,6,2,19,7,12,1,2,11,5,235.090131082591,3102.43804073044
"MULTIPOLYGON (((-39616.3796 164148.829600001,-39590.4494 164135.139900001,-39572.2394 164126.8904,-39567.4595 164122.730900001,-39562.5666 164120.061100001,-39562.5298 164120.041,-39610.1347 163983.489700001,-39740.4787 164040.736500001,-39746.0575 164043.746300001,-39752.8172 164048.461,-39757.2171 164053.9167,-39760.737 164059.372400001,-39765.706 164076.8869,-39760.1763 164077.446900001,-39752.5662 164078.4474,-39692.898 164112.858200001,-39661.5691 164141.2882,-39647.0997 164155.5086,-39641.6996 164159.6986,-39635.6296 164164.358899999,-39616.3796 164148.829600001)))","96","155601","13121700103","13","1312","131217","131217001","001","03","00103","13121700103","1","11",11A,10,6,4,9,0,10,8,1,0,1,0,4,33,33,23,10,12,0,7,14,23,18,5,14,4,48,23,25,8,1,24,15,578.453059576249,19613.509277478
"MULTIPOLYGON (((-41639.9907 164164.440199999,-41620.0765 164166.452400001,-41585.0199 164150.294600001,-41556.4699 164125.0601,-41553.475 164123.041200001,-41551.7821 164122.4553,-41549.1132 164122.3903,-41544.8814 164122.5854,-41538.8916 164122.8465,-41391.9182 164138.2371,-41243.8902 164156.532400001,-41241.5342 164145.9904,-41241.5302 164145.9725,-41232.1203 164143.222899999,-41222.7302 164137.353,-41215.6703 164129.1033,-41209.4099 164116.9834,-41203.9096 164110.2037,-41172.1593 164084.1449,-41169.5597 164079.9552,-41169.5619 164079.9493,-41173.3895 164069.5153,-41178.919 164061.4848,-41194.9788 164074.144400001,-41202.2987 164062.9243,-41168.2724 164024.513,-41168.2482 164024.4857,-41168.2567 164024.4717,-41172.5579 164017.425799999,-41172.948 164016.6457,-41172.9542 164016.635,-41308.2041 164071.7971,-41317.5447 164074.911800001,-41320.9186 164075.4318,-41324.2915 164075.9507,-41443.2253 164073.605,-41471.812 164072.457599999,-41499.4279 164074.429099999,-41544.268 164078.623199999,-41601.3837 164104.474300001,-41623.7539 164115.281500001,-41657.8626 164138.84,-41644.0245 164167.749,-41639.9907 164164.440199999)))","97","155602","13121802501","13","1312","131218","131218025","025","01","02501","13121802501","1","11",11A,8,6,2,7,2,6,4,2,0,2,0,4,50,50,33,17,16,12,9,22,33,25,8,19,10,69,35,34,8,8,45,8,1187.39928706253,30916.5723220828
"MULTIPOLYGON (((-40280.5493 164134.940400001,-40287.842 164134.963199999,-40317.4936 164124.5392,-40328.7415 164162.7665,-40297.6659 164169.8157,-40269.2942 164171.6361,-40280.5493 164134.940400001)))","98","155603","13121701504","13","1312","131217","131217015","015","04","01504","13121701504","1","11",11A,4,1,3,3,0,4,4,0,0,0,0,3,16,16,11,5,0,0,0,11,11,10,1,4,2,16,7,9,2,1,9,4,177.249074722429,1838.81857629967
"MULTIPOLYGON (((-40222.3182 164169.9998,-40222.2728 164169.998199999,-40222.2728 164169.995300001,-40222.4028 164162.375299999,-40209.7424 164136.746300001,-40209.7677 164136.7103,-40226.2315 164113.275800001,-40238.4809 164095.525599999,-40246.6274 164105.7961,-40253.2813 164115.0086,-40262.304 164127.308,-40275.5845 164134.9254,-40280.5493 164134.940400001,-40269.2942 164171.6361,-40222.3182 164169.9998)))","99","155604","13121703005","13","1312","131217","131217030","030","05","03005","13121703005","1","11",11A,8,4,4,8,0,8,4,1,2,1,0,5,19,19,9,10,0,0,1,8,9,7,2,4,1,17,11,6,2,0,7,8,231.894792589935,3230.04128165859
"MULTIPOLYGON (((-39102.5862 164109.8226,-39092.9643 164082.2597,-39080.6685 164047.033199999,-39114.0898 164029.878699999,-39128.7761 164021.470899999,-39153.0725 163976.216600001,-39185.4594 164005.374299999,-39193.4552 164013.1339,-39210.0796 164030.337099999,-39243.6354 164060.0888,-39317.2829 164127.456700001,-39337.103 164149.675799999,-39344.5033 164160.5451,-39224.3145 164176.202299999,-39127.3738 164182.1556,-39102.5862 164109.8226)))","100","155605","13120202401","13","1312","131202","131202024","024","01","02401","13120202401","1","11",11A,34,17,16,30,12,22,29,3,2,0,0,32,85,84,55,29,4,2,14,34,56,43,13,19,8,101,42,59,6,8,58,29,733.373693009568,28855.0675779321
"MULTIPOLYGON (((-36854.9264 167360.157400001,-36847.0885 167355.209,-36842.878 167344.8258,-36834.9048 167313.444399999,-36829.511 167306.3981,-36780.9832 167279.5989,-36767.9305 167277.0121,-36724.7945 167286.1621,-36710.8661 167284.0371,-36705.4093 167279.518300001,-36681.6083 167276.945499999,-36639.363 167277.829700001,-36625.4285 167272.7579,-36606.7101 167244.5382,-36613.4257 167236.886399999,-36839.9728 166957.001499999,-36856.303 166936.827199999,-36970.8975 166866.2094,-36799.7986 167132.944800001,-36831.7216 167142.011499999,-36862.9425 167115.024,-36883.5801 167104.4406,-36932.7227 167147.3544,-36947.1773 167167.8685,-36958.3069 167181.8839,-36969.8485 167193.0134,-36986.5812 167204.120300001,-36990.3943 167217.460200001,-36983.5151 167231.7478,-36977.2673 167237.7553,-36988.2657 167249.549,-36965.9239 167265.1065,-36959.8297 167270.4398,-36950.8078 167273.937,-36937.6155 167282.377499999,-36931.1507 167287.9867,-36926.4901 167293.6162,-36920.585 167303.059699999,-36917.315 167312.4945,-36907.9107 167321.920399999,-36901.3205 167334.103700001,-36896.085 167340.5854,-36889.6566 167347.3276,-36865.5917 167360.211300001,-36854.9264 167360.157400001)))","101","162620","13120302210","13","1312","131203","131203022","022","10","02210","13120302210","1","11",11A,18,18,0,18,18,0,3,15,0,0,0,11,18,18,11,7,3,6,4,6,11,7,4,8,2,25,11,14,1,1,17,6,1635.29590172885,73513.9268655982
"MULTIPOLYGON (((-37883.0436 167339.286900001,-37895.3731 167307.8572,-37907.6819 167276.737500001,-37925.8408 167228.4177,-37941.7195 167186.607899999,-37951.6969 167162.8609,-37952.7487 167160.3575,-37979.637 167090.3281,-37994.1116 167048.762800001,-37994.2712 167048.304500001,-37997.6651 167038.558499999,-38000.8354 167030.999199999,-38015.3844 166996.308700001,-38021.3139 166979.2489,-38046.3365 166919.176200001,-38046.5005 166918.782500001,-38046.5021 166918.7787,-38107.7138 166941.560699999,-38163.3917 166962.7136,-38116.9182 167025.376399999,-38084.0762 167088.005100001,-38049.0233 167148.775800001,-38044.0525 167156.2806,-38030.5703 167177.515799999,-38022.7798 167192.054199999,-38018.408 167196.155099999,-38013.7182 167199.435,-38006.6985 167201.038,-37945.4397 167363.0088,-37883.0436 167339.286900001)))","102","162621","13121001005","13","1312","131210","131210010","010","05","01005","13121001005","1","11",11A,76,60,15,74,13,63,8,42,21,0,5,30,135,134,113,21,25,65,63,36,113,72,41,82,33,276,117,159,29,24,141,82,1104.5093904224,38624.2471333354
"MULTIPOLYGON (((-42017.9558 167321.813300001,-42009.7029 167304.122,-42072.7411 167230.500600001,-42100.0365 167201.007,-42129.2466 167167.352,-42168.0859 167136.104900001,-42205.9816 167174.6636,-42216.8143 167187.5348,-42234.1998 167219.144200001,-42255.5362 167255.4943,-42264.282 167275.783299999,-42210.7789 167288.5547,-42173.8554 167297.3685,-42101.3595 167330.176899999,-42040.9102 167363.9717,-42017.9558 167321.813300001)))","103","162622","13121100601","13","1312","131211","131211006","006","01","00601","13121100601","1","11",11A,5,0,5,3,0,5,0,0,5,0,0,0,221,221,192,29,178,115,130,49,192,114,78,132,76,439,195,244,54,56,269,60,712.044716722081,27310.5517151826
"MULTIPOLYGON (((-40297.1979 167337.6416,-40276.339 167250.9725,-40270.522 167229.9045,-40255.3981 167175.128,-40247.0081 167143.796399999,-40241.9291 167121.136399999,-40247.2014 167070.735300001,-40295.5032 167071.124500001,-40446.8365 167070.431700001,-40528.2819 167070.0583,-40562.1754 167069.946699999,-40594.6156 167227.591700001,-40597.3551 167289.576099999,-40634.4694 167285.4276,-40719.7867 167295.2666,-40677.7807 167301.043199999,-40572.7255 167314.9255,-40474.755 167333.071599999,-40421.8755 167345.043099999,-40369.3829 167357.0155,-40344.8031 167361.187799999,-40326.1529 167364.354,-40317.9423 167365.0821,-40305.4879 167366.1173,-40297.1979 167337.6416)))","104","162623","13121002402","13","1312","131210","131210024","024","02","02402","13121002402","1","11",11A,48,33,14,47,29,19,21,25,1,1,0,11,152,151,103,48,17,49,52,43,103,70,33,67,25,229,105,124,19,27,109,74,1385.67089970836,87932.7609032164
"MULTIPOLYGON (((-40233.747 167365.2907,-40204.7963 167363.782299999,-40170.4358 167359.984099999,-40122.9798 167353.5132,-40107.6515 167351.5985,-40081.3486 167347.1372,-40065.4413 167343.785599999,-40050.3719 167339.154100001,-40028.3748 167332.366800001,-40038.6862 167316.487199999,-40046.5157 167304.4296,-40046.6864 167273.1218,-40047.7111 167247.844799999,-40047.7103 167175.025800001,-40108.4325 167160.6822,-40255.3981 167175.128,-40270.522 167229.9045,-40276.339 167250.9725,-40297.1979 167337.6416,-40305.4879 167366.1173,-40290.5365 167366.021600001,-40264.9207 167366.5211,-40233.747 167365.2907)))","105","162624","13121002403","13","1312","131210","131210024","024","03","02403","13121002403","1","11",11A,38,19,19,38,10,28,1,22,13,1,1,5,239,239,177,62,16,25,28,109,177,123,54,121,50,391,154,237,40,38,190,123,850.679881713288,44322.214324278
"MULTIPOLYGON (((-39827.5136 163820.2349,-39808.2813 163806.198799999,-39792.0159 163798.4463,-39780.5173 163795.0637,-39753.6885 163790.623199999,-39732.6874 163793.398399999,-39713.1643 163799.031500001,-39694.3392 163809.304400001,-39681.0919 163820.2392,-39667.8436 163835.149800001,-39655.6504 163856.621099999,-39615.381 163847.3871,-39573.3918 163842.5649,-39571.2279 163842.5009,-39532.7515 163839.612600001,-39553.5326 163836.205499999,-39568.8209 163835.063300001,-39650.1651 163802.9663,-39667.5992 163796.428300001,-39687.9905 163788.5889,-39705.7355 163786.076099999,-39723.1697 163779.5381,-39741.1489 163777.358,-39766.7548 163778.9925,-39785.823 163782.2611,-39806.0051 163780.0309,-39848.0815 163805.324200001,-39895.0798 163834.5123,-39889.0023 163854.170600001,-39885.7965 163864.5373,-39827.5136 163820.2349)))","106","164785","13121700901","13","1312","131217","131217009","009","01","00901","13121700901","1","11",11A,3,0,3,3,0,3,0,0,0,3,0,0,27,27,16,11,12,16,12,2,16,11,5,11,6,35,16,19,6,3,23,3,823.420663561781,8477.57318355303
"MULTIPOLYGON (((-40213.1164 163867.835200001,-40206.6497 163868.552200001,-40216.1402 163857.499500001,-40223.2468 163852.374600001,-40234.7093 163848.1086,-40229.3093 163830.712400001,-40224.7193 163812.836200001,-40220.3445 163809.729900001,-40240.1741 163803.389900001,-40243.4245 163802.5098,-40255.5641 163798.2292,-40263.3183 163806.831700001,-40264.1756 163807.7828,-40274.2832 163816.543299999,-40276.8602 163819.8091,-40289.7418 163836.1403,-40291.0718 163842.109,-40289.4619 163847.162799999,-40279.6294 163857.8166,-40266.576 163862.8256,-40258.9604 163865.582599999,-40221.1141 163871.5679,-40213.1164 163867.835200001)))","107","164786","13121701001","13","1312","131217","131217010","010","01","01001","13121701001","1","11",11A,30,16,13,30,11,19,7,2,11,10,0,30,72,71,38,33,2,0,4,32,38,31,7,16,7,78,34,44,6,5,34,33,267.499402705363,3503.52320673027
"MULTIPOLYGON (((-40646.8514 163882.409399999,-40639.3514 163881.0594,-40626.7914 163872.5002,-40613.3915 163866.350500001,-40599.7515 163864.750499999,-40593.0716 163863.1307,-40589.3216 163861.531,-40574.8613 163860.191400001,-40562.8317 163860.7213,-40551.6403 163861.000600001,-40551.5817 163861.0021,-40539.6818 163860.821900001,-40534.722 163860.722,-40523.5021 163859.9427,-40497.0123 163862.072899999,-40496.6524 163860.353,-40493.2624 163844.6634,-40505.3405 163845.2237,-40534.8942 163837.343499999,-40612.5096 163816.1742,-40616.8799 163812.0309,-40616.9063 163812.053200001,-40625.44 163819.250800001,-40651.1302 163837.19,-40652.4885 163840.9509,-40667.4612 163882.4089,-40654.6114 163882.9395,-40646.8514 163882.409399999)))","108","164787","13121702904","13","1312","131217","131217029","029","04","02904","13121702904","1","11",11A,37,7,30,30,5,32,37,0,0,0,0,12,120,120,66,54,8,0,10,53,66,54,12,31,9,117,50,67,11,4,68,34,412.955860145416,5840.95080194959
"MULTIPOLYGON (((-37992.3339 165475.8783,-37985.0732 165472.578,-37976.3823 165468.5076,-37963.9511 165462.8971,-37954.6002 165458.386600001,-37948.2196 165455.086300001,-37943.4081 165445.541200001,-37945.5998 165327.612600001,-37950.0766 165327.297499999,-37953.0895 165326.6976,-37954.5284 165326.410599999,-37958.6322 165325.0616,-37962.344 165323.3486,-37965.7339 165321.308700001,-37969.0437 165318.7788,-37972.2015 165315.721899999,-37975.0954 165312.135,-37977.6072 165308.044199999,-37979.6181 165303.509299999,-37981.026 165298.626499999,-37981.7499 165293.5207,-37981.7489 165290.9288,-38001.745 165292.8606,-38160.7552 165292.7478,-38257.873 165291.054400001,-38346.1132 165292.5339,-38388.0574 165292.1636,-38388.055 165253.714199999,-38443.235 165252.5986,-38443.1193 165266.3214,-38443.4397 165302.5012,-38443.7505 165328.500399999,-38443.7511 165328.503900001,-38448.8859 165357.2557,-38449.3313 165359.7498,-38440.2315 165365.6603,-38345.0335 165411.7741,-38328.3553 165418.5,-38301.0265 165427.4277,-38241.7462 165439.521600001,-38240.6242 165439.753599999,-38103.0854 165468.1742,-38052.2057 165477.919,-38004.4351 165487.759500001,-37992.3339 165475.8783)))","109","163300","13120302807","13","1312","131203","131203028","028","07","02807","13120302807","1","11",11A,28,20,7,28,17,11,28,0,0,0,0,8,60,59,40,19,3,7,17,23,40,28,12,27,11,98,32,66,8,7,48,35,1325.27947021084,75885.5084610144
"MULTIPOLYGON (((-39833.863 165398.798699999,-39916.5164 165401.075300001,-39960.6405 165402.353499999,-39958.7422 165461.5211,-39869.0013 165476.55,-39789.4029 165489.105799999,-39833.863 165398.798699999)))","110","163301","13121703604","13","1312","131217","131217036","036","04","03604","13121703604","1","11",11A,32,23,9,31,12,20,21,8,1,0,2,15,79,79,52,27,7,4,24,20,52,36,16,31,16,114,49,65,14,11,62,27,458.2568287522,10824.3466579284
"MULTIPOLYGON (((-44367.072 165431.8353,-44423.0723 165403.091600001,-44453.9735 165463.4364,-44398.7382 165491.0931,-44367.072 165431.8353)))","111","163302","13121801713","13","1312","131218","131218017","017","13","01713","13121801713","1","11",11A,5,5,0,5,5,0,0,5,0,0,0,4,5,5,5,0,0,5,5,0,5,3,2,5,2,14,7,7,0,4,4,6,259.703352312682,4208.22333988167
"MULTIPOLYGON (((-44479.8556 165374.707900001,-44544.66 165341.5262,-44555.2082 165359.541200001,-44574.719 165392.790200001,-44578.6624 165404.2359,-44582.0195 165413.979699999,-44600.6491 165422.7293,-44612.329 165429.6591,-44618.9095 165443.198899999,-44618.5795 165453.0386,-44616.0343 165454.3192,-44614.1284 165455.246099999,-44608.6977 165456.4102,-44602.103 165458.7392,-44595.9463 165461.657199999,-44594.7333 165462.2322,-44587.1687 165466.5011,-44564.9528 165478.7239,-44539.946 165491.648800001,-44479.8556 165374.707900001)))","112","163303","13121801714","13","1312","131218","131218017","017","14","01714","13121801714","1","11",11A,17,17,0,17,9,8,0,7,5,5,0,16,17,17,15,2,4,15,12,1,15,9,6,10,4,33,17,16,1,6,19,7,433.046699274029,10398.2366131083
"MULTIPOLYGON (((-43563.1587 165484.5233,-43539.6302 165430.376,-43555.6344 165420.646199999,-43567.4897 165402.0198,-43569.4156 165396.46,-43570.6014 165380.754699999,-43571.9353 165376.584799999,-43574.8981 165372.5539,-43594.7562 165362.963,-43591.4955 165380.0593,-43595.3935 165398.272500001,-43601.2233 165409.402899999,-43607.4691 165418.1894,-43615.3799 165426.585899999,-43634.1081 165438.0491,-43571.5844 165491.7928,-43563.1587 165484.5233)))","113","163304","13121800603","13","1312","131218","131218006","006","03","00603","13121800603","1","11",11A,10,5,5,10,5,5,5,4,1,0,0,8,28,28,22,6,8,13,9,12,22,15,7,16,8,53,22,31,8,9,22,14,339.359617808202,5428.42595362842
"MULTIPOLYGON (((-44203.596 165407.617,-44268.5928 165375.066400001,-44311.7737 165459.507,-44247.3928 165492.3256,-44203.596 165407.617)))","114","163305","13121801901","13","1312","131218","131218019","019","01","01901","13121801901","1","11",11A,12,12,0,12,11,1,0,12,0,0,0,7,12,12,11,1,5,11,10,0,11,6,5,8,4,28,13,15,6,2,14,6,335.157001026835,6892.44927986526
"MULTIPOLYGON (((-39300.4792 165479.043400001,-39264.8975 165455.8146,-39247.2311 165439.998299999,-39233.7795 165425.537,-39238.4952 165414.8224,-39251.9917 165418.8441,-39262.7041 165414.169299999,-39356.5292 165429.4354,-39354.1434 165437.062200001,-39337.7407 165493.4912,-39300.4792 165479.043400001)))","115","163306","13120201701","13","1312","131202","131202017","017","01","01701","13120201701","1","11",11A,22,20,2,21,20,2,0,21,0,0,1,6,50,50,42,8,2,1,15,24,42,38,4,22,4,72,36,36,3,1,44,24,325.211689578411,5506.05297949229
"MULTIPOLYGON (((-38626.2623 165484.5546,-38608.8604 165475.110200001,-38608.8319 165475.094699999,-38550.2521 165455.126700001,-38546.4808 165453.9153,-38449.273 165422.689200001,-38440.2315 165365.6603,-38449.3313 165359.7498,-38448.8859 165357.2557,-38443.7511 165328.503900001,-38443.7505 165328.500399999,-38479.6589 165328.7797,-38671.0335 165315.3432,-38671.0354 165405.4847,-38669.0687 165419.7371,-38655.8397 165468.1983,-38646.4634 165495.2173,-38646.4602 165495.226600001,-38626.2623 165484.5546)))","116","163307","13120202103","13","1312","131202","131202021","021","03","02103","13120202103","1","11",11A,59,37,22,57,39,20,16,34,5,2,2,5,185,185,147,38,36,73,76,61,147,108,39,87,34,302,138,164,31,28,161,82,722.090550013255,29775.7502999206
"MULTIPOLYGON (((-44769.7315 165443.461100001,-44768.9805 165438.952299999,-44768.9805 165434.5605,-44770.5483 165426.074899999,-44855.2652 165382.6064,-44854.3711 165366.8891,-44852.1189 165327.3059,-44852.7708 165318.2403,-44912.2311 165315.4804,-44923.0376 165313.087400001,-44928.5534 165310.8784,-44934.8981 165310.8783,-44938.9919 165312.2881,-44964.4021 165337.6326,-44996.9982 165400.9232,-44968.2176 165415.6491,-44835.182 165483.7152,-44799.8307 165501.145,-44769.7315 165443.461100001)))","117","163308","13121602403","13","1312","131216","131216024","024","03","02403","13121602403","1","11",11A,9,8,1,9,0,9,2,1,0,0,6,1,14,14,2,12,1,2,1,1,2,1,1,3,1,6,3,3,1,0,1,4,657.823440381154,22006.958331009
"MULTIPOLYGON (((-45704.4452 165403.1143,-45691.928 165382.4429,-45691.905 165382.404899999,-45691.9187 165382.3968,-45669.6063 165345.6927,-45744.3066 165299.2545,-45769.0133 165337.083900001,-45780.9634 165356.363500001,-45839.2178 165447.483200001,-45768.4113 165501.832900001,-45704.4452 165403.1143)))","118","163309","13121601301","13","1312","131216","131216013","013","01","01301","13121601301","1","11",11A,24,13,11,24,10,14,6,15,1,2,0,10,70,70,61,9,7,38,35,19,61,42,19,33,19,132,57,75,25,12,54,41,538.044989218077,16087.6318687762
"MULTIPOLYGON (((-38648.252 165496.1734,-38646.4602 165495.226600001,-38646.4634 165495.2173,-38655.8397 165468.1983,-38669.0687 165419.7371,-38671.0354 165405.4847,-38671.0335 165315.3432,-38685.5859 165321.608899999,-38737.4329 165343.933800001,-38723.1639 165376.8025,-38676.389 165483.229599999,-38667.8019 165505.863,-38648.252 165496.1734)))","119","163310","13120202104","13","1312","131202","131202021","021","04","02104","13120202104","1","11",11A,24,12,12,24,12,12,8,15,1,0,0,2,81,81,61,20,9,1,25,33,61,49,12,26,9,110,45,65,8,4,60,38,455.804359768464,7095.76598774822
"MULTIPOLYGON (((-39200.3268 165506.175,-39196.468 165505.079,-39098.0129 165477.113600001,-39108.7956 165398.7947,-39134.7705 165402.1744,-39137.7594 165402.557399999,-39196.235 165410.057800001,-39222.7748 165412.6055,-39238.4952 165414.8224,-39233.7795 165425.537,-39208.4335 165508.2488,-39200.3268 165506.175)))","120","163311","13120201801","13","1312","131202","131202018","018","01","01801","13120201801","1","11",11A,15,11,4,15,11,4,5,9,0,1,0,2,36,36,27,9,6,11,10,17,27,24,3,10,3,43,22,21,3,0,24,16,422.700786518978,10722.1773698678
"MULTIPOLYGON (((-43285.0006 165458.877,-43272.8509 165430.9044,-43265.0577 165377.6598,-43256.5845 165319.7655,-43254.4845 165305.4201,-43227.49 165231.0558,-43294.1798 165207.253699999,-43309.6814 165237.599099999,-43322.299 165248.247500001,-43329.8166 165241.6216,-43331.4485 165240.7026,-43360.7891 165227.1318,-43373.8105 165223.3017,-43386.7349 165223.032500001,-43402.6543 165230.161900001,-43406.8491 165231.3958,-43408.3501 165230.8698,-43412.1359 165226.492900001,-43412.7587 165214.874399999,-43418.4844 165208.821599999,-43419.5776 165231.227600001,-43421.8676 165239.233200001,-43439.9711 165273.192500001,-43462.8815 165316.167199999,-43469.3353 165322.8058,-43492.9654 165340.671700001,-43503.3751 165354.5359,-43511.9869 165376.2568,-43515.5208 165382.7861,-43498.1941 165389.428099999,-43464.4353 165401.856699999,-43439.5781 165410.2544,-43428.997 165416.468800001,-43421.607 165422.179199999,-43417.0722 165427.049900001,-43412.7054 165436.1194,-43396.5824 165469.5744,-43371.3887 165480.6273,-43321.3383 165501.7895,-43306.8943 165508.5077,-43285.0006 165458.877)))","121","163312","13121800703","13","1312","131218","131218007","007","03","00703","13121800703","1","11",11A,16,10,6,15,8,8,4,6,1,5,0,3,66,66,56,10,21,44,27,24,56,42,14,30,17,109,51,58,13,9,65,22,990.923777790638,49214.7204807093
"MULTIPOLYGON (((-41733.1257 165503.1534,-41729.4854 165486.503900001,-41718.555 165466.714199999,-41757.4193 165439.7631,-41828.8387 165394.4309,-41893.4638 165486.3729,-41733.912 165508.876599999,-41733.8799 165508.881100001,-41733.1257 165503.1534)))","122","163313","13121800307","13","1312","131218","131218003","003","07","00307","13121800307","1","11",11A,8,6,2,7,4,4,5,3,0,0,0,8,23,23,12,11,4,5,5,6,12,10,2,6,2,21,9,12,2,0,12,7,450.859474461887,10941.1129280576
