OBJECTID_1,OBJECTID,DTMN11,FR11,SEC11,SS11,BGRI11,LUG11,LUG11DESIG,OBJECTID_12,ANO,GEO_COD,GEO_COD_DSG,NIVEL,NIVEL_DSG,N_EDIFICIOS_CLASSICOS,N_EDIFICIOS_CLASSICOS_1OU2,N_EDIFICIOS_CLASSICOS_ISOLADOS,N_EDIFICIOS_CLASSICOS_GEMIN,N_EDIFICIOS_CLASSICOS_EMBANDA,N_EDIFICIOS_CLASSICOS_3OUMAIS,N_EDIFICIOS_CLASSICOS_OUTROS,N_EDIFICIOS_EXCLUSIV_RESID,N_EDIFICIOS_PRINCIPAL_RESID,N_EDIFICIOS_PRINCIP_NAO_RESID,N_EDIFICIOS_1OU2_PISOS,N_EDIFICIOS_3OU4_PISOS,F_N_EDIFICIOS_5OU_MAIS_PISOS,N_EDIFICIOS_CONSTR_ANTES_1919,N_EDIFICIOS_CONSTR_1919A1945,N_EDIFICIOS_CONSTR_1946A1960,N_EDIFICIOS_CONSTR_1961A1970,N_EDIFICIOS_CONSTR_1971A1980,N_EDIFICIOS_CONSTR_1981A1990,N_EDIFICIOS_CONSTR_1991A1995,N_EDIFICIOS_CONSTR_1996A2000,N_EDIFICIOS_CONSTR_2001A2005,N_EDIFICIOS_CONSTR_2006A2011,N_EDIFICIOS_ESTRUT_BETAO,N_EDIFICIOS_ESTRUT_COM_PLACA,N_EDIFICIOS_ESTRUT_SEM_PLACA,N_EDIFICIOS_ESTRUT_ADOBE_PEDRA,N_EDIFICIOS_ESTRUT_OUTRA,N_ALOJAMENTOS,N_ALOJAMENTOS_FAMILIARES,N_ALOJAMENTOS_FAM_CLASSICOS,N_ALOJAMENTOS_FAM_N_CLASSICOS,N_ALOJAMENTOS_COLECTIVOS,N_CLASSICOS_RES_HABITUAL,N_ALOJAMENTOS_RES_HABITUAL,N_ALOJAMENTOS_VAGOS,N_RES_HABITUAL_COM_AGUA,N_RES_HABITUAL_COM_RETRETE,N_RES_HABITUAL_COM_ESGOTOS,N_RES_HABITUAL_COM_BANHO,N_RES_HABITUAL_AREA_50,N_RES_HABITUAL_AREA_50_100,N_RES_HABITUAL_AREA_100_200,N_RES_HABITUAL_AREA_200,N_RES_HABITUAL_1_2_DIV,N_RES_HABITUAL_3_4_DIV,N_RES_HABITUAL_ESTAC_1,N_RES_HABITUAL_ESTAC_2,N_RES_HABITUAL_ESTAC_3,N_RES_HABITUAL_PROP_OCUP,N_RES_HABITUAL_ARREND,N_FAMILIAS_CLASSICAS,N_FAMILIAS_INSTITUCIONAIS,N_FAMILIAS_CLASSICAS_1OU2_PESS,N_FAMILIAS_CLASSICAS_3OU4_PESS,N_FAMILIAS_CLASSICAS_NPES65,N_FAMILIAS_CLASSICAS_NPES14,N_FAMILIAS_CLASSIC_SEM_DESEMP,N_FAMILIAS_CLASSIC_1DESEMPREG,N_FAMILIAS_CLASS_2MAIS_DESEMP,N_NUCLEOS_FAMILIARES,N_NUCLEOS_1FILH_NAO_CASADO,N_NUCLEOS_2FILH_NAO_CASADO,N_NUCLEOS_FILH_INF_6ANOS,N_NUCLEOS_FILH_INF_15ANOS,N_NUCLEOS_FILH_MAIS_15ANOS,N_INDIVIDUOS_PRESENT,N_INDIVIDUOS_PRESENT_H,N_INDIVIDUOS_PRESENT_M,N_INDIVIDUOS_RESIDENT,N_INDIVIDUOS_RESIDENT_H,N_INDIVIDUOS_RESIDENT_M,N_INDIVIDUOS_RESIDENT_0A4,N_INDIVIDUOS_RESIDENT_5A9,N_INDIVIDUOS_RESIDENT_10A13,N_INDIVIDUOS_RESIDENT_14A19,N_INDIVIDUOS_RESIDENT_15A19,N_INDIVIDUOS_RESIDENT_20A24,N_INDIVIDUOS_RESIDENT_20A64,N_INDIVIDUOS_RESIDENT_25A64,N_INDIVIDUOS_RESIDENT_65,N_INDIVIDUOS_RESIDENT_H_0A4,N_INDIVIDUOS_RESIDENT_H_5A9,N_INDIVIDUOS_RESIDENT_H_10A13,N_INDIVIDUOS_RESIDENT_H_14A19,N_INDIVIDUOS_RESIDENT_H_15A19,N_INDIVIDUOS_RESIDENT_H_20A24,N_INDIVIDUOS_RESIDENT_H_20A64,N_INDIVIDUOS_RESIDENT_H_25A64,N_INDIVIDUOS_RESIDENT_H_65,N_INDIVIDUOS_RESIDENT_M_0A4,N_INDIVIDUOS_RESIDENT_M_5A9,N_INDIVIDUOS_RESIDENT_M_10A13,N_INDIVIDUOS_RESIDENT_M_14A19,N_INDIVIDUOS_RESIDENT_M_15A19,N_INDIVIDUOS_RESIDENT_M_20A24,N_INDIVIDUOS_RESIDENT_M_20A64,N_INDIVIDUOS_RESIDENT_M_25A64,N_INDIVIDUOS_RESIDENT_M_65,N_INDIV_RESIDENT_N_LER_ESCRV,N_IND_RESIDENT_FENSINO_1BAS,N_IND_RESIDENT_FENSINO_2BAS,N_IND_RESIDENT_FENSINO_3BAS,N_IND_RESIDENT_FENSINO_SEC,N_IND_RESIDENT_FENSINO_POSSEC,N_IND_RESIDENT_FENSINO_SUP,N_IND_RESIDENT_ENSINCOMP_1BAS,N_IND_RESIDENT_ENSINCOMP_2BAS,N_IND_RESIDENT_ENSINCOMP_3BAS,N_IND_RESIDENT_ENSINCOMP_SEC,N_IND_RESIDENT_ENSINCOMP_POSEC,N_IND_RESIDENT_ENSINCOMP_SUP,N_IND_RESID_DESEMP_PROC_1EMPRG,N_IND_RESID_DESEMP_PROC_EMPRG,N_IND_RESID_EMPREGADOS,N_IND_RESID_PENS_REFORM,N_IND_RESID_SEM_ACT_ECON,N_IND_RESID_EMPREG_SECT_PRIM,N_IND_RESID_EMPREG_SECT_SEQ,N_IND_RESID_EMPREG_SECT_TERC,N_IND_RESID_ESTUD_MUN_RESID,N_IND_RESID_TRAB_MUN_RESID
"771","13019","1312","04","014","03","13120401403","007437",Porto,"199813","2011","13120401403",,"8",Subsecção,"21","21","1","5","15","0","0","21","0","0","21","0","0","20","1","0","0","0","0","0","0","0","0","1","0","20","0","0","22","22","22","0","0","16","16","3","16","16","16","16","4","11","1","0","1","8","0","1","0","4","11","16","0","13","2","10","2","13","2","1","10","5","1","1","2","4","31","11","20","32","12","20","1","1","0","0","0","1","18","17","12","0","1","0","0","0","1","7","6","4","1","0","0","0","0","0","11","11","8","2","1","0","0","0","0","0","9","3","8","1","0","3","2","2","8","13","18","0","3","5","1","7"
"772","13020","1312","02","007","03","13120200703","007437",Porto,"199345","2011","13120200703",,"8",Subsecção,"26","20","0","2","18","6","0","24","2","0","19","2","5","0","0","0","10","16","0","0","0","0","0","18","8","0","0","0","61","61","61","0","0","46","46","14","46","46","46","46","1","16","24","5","0","12","15","2","0","11","35","46","0","31","14","22","5","42","3","1","29","9","8","2","5","14","94","41","53","100","45","55","1","4","2","4","4","7","56","49","33","1","2","1","2","2","4","26","22","13","0","2","1","2","2","3","30","27","20","1","2","1","1","2","0","5","10","7","10","20","0","47","1","4","40","35","48","0","8","32","12","31"
"773","13021","1312","12","003","01","13121200301","007437",Porto,"200948","2011","13121200301",,"8",Subsecção,"93","67","1","19","47","26","0","92","1","0","58","30","5","43","13","8","7","11","5","2","3","1","0","2","22","67","1","1","232","232","232","0","0","162","162","52","162","162","162","159","39","68","52","3","10","83","17","2","1","51","104","167","0","117","44","67","26","145","18","4","105","41","10","12","25","36","348","154","194","355","162","193","11","8","11","13","11","31","222","191","90","4","4","7","9","8","12","99","87","39","7","4","4","4","3","19","123","104","51","6","8","7","10","6","2","24","95","35","60","75","3","51","3","23","126","107","171","0","14","112","54","97"
"774","13022","1312","04","027","01","13120402701","007437",Porto,"199839","2011","13120402701",,"8",Subsecção,"124","115","3","32","80","9","0","114","7","3","116","5","3","12","18","80","4","1","2","1","2","4","0","1","15","91","17","0","206","205","205","0","1","164","164","33","164","164","164","161","41","74","48","1","17","62","19","10","2","98","54","168","1","97","55","79","40","132","29","7","132","55","24","13","39","50","450","228","222","464","234","230","13","20","15","54","45","16","253","237","109","3","9","10","41","36","10","128","118","43","10","11","5","13","9","6","125","119","66","17","29","28","31","18","2","16","140","73","65","47","3","61","9","34","147","129","217","0","33","114","125","99"
"775","13023","1312","03","021","07","13120302107","007437",Porto,"199600","2011","13120302107",,"8",Subsecção,"16","16","0","16","0","0","0","16","0","0","16","0","0","14","0","0","0","0","0","0","0","0","2","0","1","15","0","0","16","16","16","0","0","14","14","2","14","14","14","13","3","7","4","0","0","6","3","0","0","6","6","15","0","10","4","12","1","14","1","0","12","6","1","1","2","5","33","16","17","34","17","17","2","0","1","0","0","1","14","13","17","2","0","1","0","0","0","7","7","7","0","0","0","0","0","1","7","6","10","2","0","1","1","0","0","0","17","5","2","3","0","2","0","1","11","15","19","0","4","7","2","7"
"776","13024","1312","03","024","05","13120302405","007437",Porto,"199618","2011","13120302405",,"8",Subsecção,"9","1","1","0","0","8","0","9","0","0","1","8","0","1","0","0","8","0","0","0","0","0","0","8","0","1","0","0","81","81","81","0","0","75","75","6","75","75","75","74","36","34","5","0","1","37","0","0","1","2","73","75","0","40","21","28","23","62","9","4","71","33","12","14","25","26","199","86","113","216","94","122","15","11","8","12","11","16","132","116","38","9","4","1","6","6","7","60","53","14","6","7","7","6","5","9","72","63","24","9","10","5","9","5","0","3","98","33","31","10","2","2","7","11","59","53","104","0","8","51","31","43"
"777","13025","1312","06","002","04","13120600204","007437",Porto,"200050","2011","13120600204",,"8",Subsecção,"29","22","3","0","19","7","0","22","7","0","18","7","4","11","6","0","4","1","2","0","4","0","1","18","0","11","0","0","78","78","78","0","0","57","57","18","57","57","57","56","6","13","35","3","1","25","27","16","1","41","11","57","0","31","21","20","19","53","4","0","43","12","12","7","19","12","148","65","83","149","66","83","8","13","11","8","7","4","77","73","32","2","4","7","3","3","2","37","35","13","6","9","4","5","4","2","40","38","19","3","11","8","4","5","0","8","26","9","15","20","1","52","1","3","60","34","52","0","8","52","38","40"
"778","13026","1312","09","006","01","13120900601","007437",Porto,"200349","2011","13120900601",,"8",Subsecção,"13","6","2","0","4","7","0","12","1","0","3","7","3","1","3","0","3","2","2","0","0","1","1","5","2","0","6","0","59","59","59","0","0","44","44","11","44","44","44","44","0","9","29","6","0","7","27","9","1","28","13","44","0","25","16","25","9","40","3","1","33","9","8","5","9","13","100","43","57","108","47","61","5","6","5","2","2","4","57","53","33","1","5","1","2","2","2","25","23","13","4","1","4","0","0","2","32","30","20","0","6","2","3","1","0","4","6","7","11","22","1","48","0","5","36","34","51","1","6","29","15","26"
"779","13027","1312","03","029","01","13120302901","007437",Porto,"199635","2011","13120302901",,"8",Subsecção,"39","26","3","7","16","12","1","36","3","0","24","11","4","10","10","6","2","5","3","0","1","1","1","23","2","6","7","1","90","89","89","0","1","73","73","11","73","73","73","73","1","38","29","5","1","31","23","5","2","55","13","73","1","49","24","32","7","63","9","1","43","16","7","3","7","17","154","64","90","158","69","89","2","5","1","11","10","3","88","85","51","1","1","1","6","5","2","41","39","19","1","4","0","5","5","1","47","46","32","2","4","0","5","8","0","6","44","18","24","21","2","36","1","10","58","56","80","2","8","48","23","44"
"780","13028","1312","03","021","06","13120302106","007437",Porto,"199599","2011","13120302106",,"8",Subsecção,"15","15","0","15","0","0","0","15","0","0","15","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","15","0","15","15","15","0","0","13","13","1","13","13","13","13","5","8","0","0","1","10","0","0","0","4","7","13","0","9","4","7","2","12","0","1","8","3","1","0","2","2","28","9","19","28","9","19","0","1","2","0","0","1","15","14","10","0","0","1","0","0","0","5","5","3","0","1","1","0","0","1","10","9","7","3","1","2","0","2","0","0","10","3","5","4","0","2","0","2","6","12","17","0","1","5","4","3"
