fid,OBJECTID,BGRI2021,DT21,DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,NUTS1,NUTS2,NUTS3,N_EDIFICIOS_CLASSICOS,N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ,N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS,N_EDIFICIOS_EXCLUSIV_RESID,N_EDIFICIOS_1_OU_2_PISOS,N_EDIFICIOS_3_OU_MAIS_PISOS,N_EDIFICIOS_CONSTR_ANTES_1945,N_EDIFICIOS_CONSTR_1946_1980,N_EDIFICIOS_CONSTR_1981_2000,N_EDIFICIOS_CONSTR_2001_2010,N_EDIFICIOS_CONSTR_2011_2021,N_EDIFICIOS_COM_NECESSIDADES_REPARACAO,N_ALOJAMENTOS_TOTAL,N_ALOJAMENTOS_FAMILIARES,N_ALOJAMENTOS_FAM_CLASS_RHABITUAL,N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA,N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS,N_RHABITUAL_COM_ESTACIONAMENTO,N_RHABITUAL_PROP_OCUP,N_RHABITUAL_ARRENDADOS,N_AGREGADOS_DOMESTICOS_PRIVADOS,N_ADP_1_OU_2_PESSOAS,N_ADP_3_OU_MAIS_PESSOAS,N_NUCLEOS_FAMILIARES,N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25,N_INDIVIDUOS,N_INDIVIDUOS_H,N_INDIVIDUOS_M,N_INDIVIDUOS_0_14,N_INDIVIDUOS_15_24,N_INDIVIDUOS_25_64,N_INDIVIDUOS_65_OU_MAIS,SHAPE_Length,SHAPE_Area,lon,lat
21,72,13121000912,13,1312,131210,131210009,9,12,912,13121000912,1,11,11A,26,22,4,24,23,3,22,2,2,0,0,11,77,77,36,41,15,23,18,14,36,26,10,25,10,77,36,41,6,8,44,19,795.535813707437,37644.012776311,-8.609769761360106,41.17179285319855
22,73,13121103207,13,1312,131211,131211032,32,7,3207,13121103207,1,11,11A,28,17,10,27,8,20,3,17,7,1,0,16,170,169,147,22,61,137,114,21,147,93,54,106,47,350,159,191,46,29,171,104,909.436441586118,37515.9950886219,-8.62676387796335,41.17138581702933
23,74,13121001306,13,1312,131210,131210013,13,6,1306,13121001306,1,11,11A,10,10,0,10,10,0,0,10,0,0,0,2,10,10,6,4,2,6,5,0,6,4,2,6,1,15,7,8,2,0,7,6,226.014783471816,3129.23816102416,-8.599817179567852,41.1727516817779
24,233,13120301808,13,1312,131203,131203018,18,8,1808,13120301808,1,11,11A,25,25,0,25,24,1,17,1,4,3,0,10,25,25,18,7,9,12,15,2,18,10,8,13,5,47,23,24,5,3,24,15,412.246556467946,8666.20143456018,-8.586035550724027,41.169701369413865
25,234,13121103010,13,1312,131211,131211030,30,10,3010,13121103010,1,11,11A,9,2,7,9,2,7,1,0,8,0,0,9,58,58,56,2,0,0,37,19,56,24,32,44,14,153,69,84,13,16,57,67,531.974408987626,11374.3213498504,-8.638342281587532,41.16937311126194
26,235,13121600301,13,1312,131216,131216003,3,1,301,13121600301,1,11,11A,3,0,3,3,0,3,0,0,3,0,0,0,24,24,22,2,11,21,17,4,22,16,6,15,6,47,26,21,5,5,20,17,215.422126130736,2227.63959511469,-8.664440025873649,41.169754587241215
27,236,13121600302,13,1312,131216,131216003,3,2,302,13121600302,1,11,11A,4,0,4,4,0,4,0,0,4,0,0,0,40,40,38,2,18,37,28,6,38,20,18,23,14,89,38,51,15,7,51,16,247.70187155941,2720.23081858083,-8.664791435670455,41.16969579571185
28,237,13121600303,13,1312,131216,131216003,3,3,303,13121600303,1,11,11A,5,0,5,5,0,5,0,0,5,0,0,0,44,44,43,1,28,43,36,3,43,24,19,27,16,96,49,47,10,12,57,17,273.805295599078,3213.50823850271,-8.665148218176544,41.169676079295606
29,238,13121000603,13,1312,131210,131210006,6,3,603,13121000603,1,11,11A,8,8,0,8,7,1,0,8,0,0,0,5,8,8,7,1,1,1,4,2,7,3,4,4,4,16,7,9,3,2,9,2,146.755345798027,1331.40927493181,-8.598500160463717,41.17027019595771
30,239,13121103204,13,1312,131211,131211032,32,4,3204,13121103204,1,11,11A,4,2,2,4,2,2,0,3,0,1,0,3,29,29,23,6,10,13,15,7,23,19,4,13,4,45,15,30,6,1,25,13,520.783597334587,10784.3134038817,-8.63140436794404,41.169541040311486
31,240,13121000604,13,1312,131210,131210006,6,4,604,13121000604,1,11,11A,12,12,0,12,12,0,7,5,0,0,0,3,24,24,19,5,6,1,5,12,19,14,5,7,4,35,12,23,5,4,12,14,227.599534504821,2713.57763690111,-8.599286207583758,41.17012776219683
32,241,13121002301,13,1312,131210,131210023,23,1,2301,13121002301,1,11,11A,43,34,9,42,32,11,3,29,10,1,0,22,98,98,71,27,16,19,38,29,71,51,20,41,13,142,65,77,10,9,70,53,458.714104783424,9753.54735815745,-8.619477400663802,41.16957321504261
33,242,13121102613,13,1312,131211,131211026,26,13,2613,13121102613,1,11,11A,5,1,4,5,1,4,0,4,0,0,1,4,31,31,26,5,2,1,20,6,26,12,14,19,11,65,31,34,8,10,36,11,606.632332131951,17175.0946377526,-8.654331873179988,41.169321918641245
34,243,13120301809,13,1312,131203,131203018,18,9,1809,13120301809,1,11,11A,14,14,0,14,8,6,9,4,1,0,0,1,14,14,12,2,4,12,12,0,12,7,5,10,6,27,10,17,4,2,13,8,584.694577169993,10166.4195447649,-8.586610495962848,41.16950078773728
35,244,13121000907,13,1312,131210,131210009,9,7,907,13121000907,1,11,11A,12,5,7,9,7,5,5,7,0,0,0,12,26,26,17,9,1,3,4,13,17,14,3,12,3,32,14,18,3,0,13,16,334.281240382318,6214.58733234574,-8.60794550327961,41.17064859449743
36,245,13121000908,13,1312,131210,131210009,9,8,908,13121000908,1,11,11A,38,28,10,35,29,9,21,16,0,1,0,29,70,70,44,26,4,4,22,19,44,28,16,30,8,100,49,51,7,8,50,35,433.258763495152,8090.15479674666,-8.607067921997407,41.17062115685132
37,246,13121600305,13,1312,131216,131216003,3,5,305,13121600305,1,11,11A,3,0,3,3,0,3,0,0,3,0,0,0,20,20,20,0,8,20,16,1,20,15,5,12,4,42,18,24,6,0,22,14,501.207999757805,6623.01520154774,-8.663401346364772,41.17010222752847
38,247,13121600306,13,1312,131216,131216003,3,6,306,13121600306,1,11,11A,15,0,15,14,15,0,0,0,15,0,0,0,59,59,53,6,4,53,46,3,53,33,20,36,20,119,56,63,16,11,67,25,356.117191896525,7579.27044281113,-8.663692539884078,41.17043783678035
39,248,13121000701,13,1312,131210,131210007,7,1,701,13121000701,1,11,11A,21,20,1,21,20,1,19,1,0,1,0,14,29,29,16,13,4,0,1,14,16,15,1,8,1,26,11,15,1,1,18,6,315.945808899175,5329.49098337541,-8.617859273763317,41.17054185313194
40,358,13121000801,13,1312,131210,131210008,8,1,801,13121000801,1,11,11A,49,29,20,49,8,41,18,17,0,10,4,32,340,340,219,121,107,158,92,108,219,159,60,112,54,429,202,227,55,39,264,71,837.384661746845,40647.5070639462,-8.611819206688727,41.169997508099236
41,359,13121000607,13,1312,131210,131210006,6,7,607,13121000607,1,11,11A,29,29,0,29,26,3,0,29,0,0,0,7,30,30,26,4,6,13,15,6,26,13,13,18,7,66,34,32,10,6,36,14,373.47932607609,4867.63901583134,-8.598864530805574,41.17044526999026
42,360,13121600307,13,1312,131216,131216003,3,7,307,13121600307,1,11,11A,17,0,17,17,16,1,0,0,17,0,0,0,68,68,63,5,4,63,55,3,63,34,29,48,22,154,73,81,23,13,91,27,411.547880035572,9919.931788105,-8.665003675785249,41.17047597987686
43,361,13121102614,13,1312,131211,131211026,26,14,2614,13121102614,1,11,11A,10,1,9,6,1,9,0,6,3,1,0,10,99,99,81,18,21,65,52,21,81,56,25,52,21,174,77,97,21,16,86,51,1489.77301406529,74144.5828073138,-8.656900464803163,41.1686964621615
44,362,13121003907,13,1312,131210,131210039,39,7,3907,13121003907,1,11,11A,132,103,28,131,96,36,67,56,7,2,0,40,278,277,211,66,35,42,75,122,211,154,57,121,42,441,193,248,30,46,239,126,1740.12067286243,111283.847776482,-8.614987295624292,41.169270937915115
45,363,13121000909,13,1312,131210,131210009,9,9,909,13121000909,1,11,11A,13,2,11,9,2,11,3,9,1,0,0,5,53,53,41,12,2,2,22,18,41,25,16,23,7,93,35,58,4,17,41,31,623.790025830197,19438.3350228999,-8.604544717571542,41.170411827356205
46,155091,13121705207,13,1312,131217,131217052,52,7,5207,13121705207,1,11,11A,12,7,5,12,3,9,11,1,0,0,0,11,26,26,22,4,0,0,0,22,22,14,8,21,8,56,25,31,2,8,28,18,124.126154162581,970.600095336486,-8.612181348566775,41.14087091388777
47,155092,13121705208,13,1312,131217,131217052,52,8,5208,13121705208,1,11,11A,9,4,5,8,1,8,8,1,0,0,0,9,30,30,29,1,0,0,0,29,29,26,3,15,3,47,20,27,0,4,29,14,184.123509469541,1130.20044002935,-8.612713965134038,41.14081432415667
48,155093,13121705209,13,1312,131217,131217052,52,9,5209,13121705209,1,11,11A,1,0,1,1,0,1,1,0,0,0,0,1,7,7,2,5,0,0,0,2,2,1,1,1,1,4,2,2,1,0,2,1,284.453207931149,3378.64665014779,-8.616869159739952,41.14085393028953
49,155094,13121705210,13,1312,131217,131217052,52,10,5210,13121705210,1,11,11A,29,16,13,26,11,18,20,9,0,0,0,28,74,74,56,18,2,0,19,35,56,36,20,36,15,126,56,70,9,16,61,40,436.868887318193,7994.99563562712,-8.611187012753453,41.14102343465541
50,155095,13121705211,13,1312,131217,131217052,52,11,5211,13121705211,1,11,11A,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,2,13,0,0,0,15,1994.10416545679,115173.820909146,-8.614698991458075,41.13993420864179
51,155096,13121705212,13,1312,131217,131217052,52,12,5212,13121705212,1,11,11A,16,1,15,14,0,16,3,11,1,1,0,13,90,90,50,40,2,0,3,44,50,35,15,33,6,104,45,59,4,8,55,37,400.424257665401,8815.50761020382,-8.613900857848494,41.14090671970532
52,155097,13121705213,13,1312,131217,131217052,52,13,5213,13121705213,1,11,11A,5,0,5,2,0,5,3,0,1,0,1,4,16,16,13,3,0,0,0,12,13,9,4,7,2,28,16,12,2,2,11,13,305.692398124362,3140.54188470189,-8.613088037035217,41.141010433340135
53,155098,13121705214,13,1312,131217,131217052,52,14,5214,13121705214,1,11,11A,13,5,8,13,5,8,11,2,0,0,0,11,43,43,27,16,0,0,7,19,27,18,9,17,5,56,33,23,4,2,32,18,334.273859274193,4467.74804633043,-8.612520649324344,41.14123809516506
54,155099,13121705215,13,1312,131217,131217052,52,15,5215,13121705215,1,11,11A,5,2,3,4,0,5,2,2,0,0,1,4,10,10,5,5,1,1,2,3,5,4,1,4,1,14,9,5,0,2,7,5,249.546390602148,2641.26676226073,-8.617767694601794,41.14120860903733
55,155100,13121705101,13,1312,131217,131217051,51,1,5101,13121705101,1,11,11A,6,5,1,6,5,1,5,1,0,0,0,5,10,10,6,4,0,0,1,5,6,5,1,4,0,11,5,6,0,0,9,2,345.230352141143,4221.75769598599,-8.610562484267536,41.141371549771705
56,155101,13121705216,13,1312,131217,131217052,52,16,5216,13121705216,1,11,11A,10,2,8,8,0,10,8,0,1,0,1,9,28,28,18,10,0,0,2,15,18,13,5,10,6,36,15,21,4,5,17,10,570.514909571158,19454.6693800308,-8.615774783390261,41.14119714387367
57,155102,13121705102,13,1312,131217,131217051,51,2,5102,13121705102,1,11,11A,4,0,4,3,0,4,1,2,0,1,0,1,13,13,10,3,0,0,0,9,10,6,4,8,4,24,11,13,1,5,13,5,237.360577523537,2336.03761102349,-8.609929967766115,41.141189232792875
58,155103,13121701002,13,1312,131217,131217010,10,2,1002,13121701002,1,11,11A,51,24,27,49,20,31,45,0,3,0,3,48,140,140,76,64,7,0,20,53,76,57,19,47,15,154,70,84,13,10,99,32,502.078539435296,6676.02512253036,-8.612614173722672,41.14296513466243
59,155104,13121700801,13,1312,131217,131217008,8,1,801,13121700801,1,11,11A,16,7,8,13,6,10,9,1,5,1,0,8,42,41,20,21,2,1,5,14,20,15,5,11,3,48,13,35,3,1,17,27,409.487870959228,7030.57174695162,-8.616555427082309,41.14317596957665
60,155105,13121704706,13,1312,131217,131217047,47,6,4706,13121704706,1,11,11A,12,6,6,9,1,11,8,0,1,0,3,5,28,28,24,4,1,0,1,21,24,19,5,10,4,45,18,27,4,4,30,7,274.050882669292,3210.68539832501,-8.613511222657133,41.143038765776055
61,155106,13121700904,13,1312,131217,131217009,9,4,904,13121700904,1,11,11A,26,10,14,25,7,19,22,3,1,0,0,14,94,92,44,48,8,0,3,35,44,35,9,17,9,104,59,45,8,9,63,24,539.622120863187,9609.6937529888,-8.60657905883957,41.143369298903615
62,155107,13121700802,13,1312,131217,131217008,8,2,802,13121700802,1,11,11A,11,3,8,10,6,5,9,0,1,1,0,6,35,35,23,12,1,0,5,15,23,15,8,16,4,55,26,29,4,5,30,16,323.435013386499,4513.65155775293,-8.616663592610116,41.14355956652968
63,155108,13121705112,13,1312,131217,131217051,51,12,5112,13121705112,1,11,11A,3,1,1,3,0,3,2,0,0,1,0,0,6,5,0,5,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,1,661.318910713183,18920.2571677745,-8.611377679642732,41.14256039617978
64,155109,13120200103,13,1312,131202,131202001,1,3,103,13120200103,1,11,11A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376.485829821165,7130.85267045197,-8.601187669436795,41.14338240784752
65,155110,13120200104,13,1312,131202,131202001,1,4,104,13120200104,1,11,11A,74,51,23,68,52,22,54,15,3,2,0,24,192,192,145,47,15,3,29,106,145,100,45,96,39,319,148,171,35,26,166,92,597.994921786827,21556.271270506,-8.599225800551588,41.14301742150608
66,155111,13121703207,13,1312,131217,131217032,32,7,3207,13121703207,1,11,11A,15,11,4,15,10,5,2,7,6,0,0,5,29,29,15,14,1,0,4,8,15,10,5,10,6,31,11,20,3,4,17,7,385.05389166818,8490.77031382839,-8.620412284484685,41.14354786145369
67,155112,13121704707,13,1312,131217,131217047,47,7,4707,13121704707,1,11,11A,9,3,6,5,1,8,9,0,0,0,0,3,24,24,9,15,0,0,2,7,9,8,1,4,0,15,6,9,0,0,6,9,399.988933993656,9449.06024557285,-8.613981227879766,41.143336223903134
68,155113,13121700905,13,1312,131217,131217009,9,5,905,13121700905,1,11,11A,26,8,18,23,3,23,12,12,1,1,0,15,130,130,75,55,18,18,19,54,75,52,23,47,16,165,85,80,18,11,92,44,728.311998152951,25502.7578701542,-8.603897296033578,41.14320726812786
69,155114,13121700906,13,1312,131217,131217009,9,6,906,13121700906,1,11,11A,9,8,1,8,1,8,0,9,0,0,0,2,14,14,7,7,0,4,4,3,7,5,2,4,0,13,7,6,0,0,10,3,284.90234952036,3536.02246461861,-8.603699773212844,41.14379745203654
70,155115,13121700805,13,1312,131217,131217008,8,5,805,13121700805,1,11,11A,30,15,15,24,12,18,24,0,3,2,1,15,87,87,54,33,7,0,11,33,54,39,15,25,15,109,50,59,17,8,57,27,498.864488031612,11308.2447355571,-8.615280638793063,41.14409244942095
71,155116,13120301601,13,1312,131203,131203016,16,1,1601,13120301601,1,11,11A,6,1,5,5,0,6,0,0,6,0,0,0,100,100,71,29,32,64,58,7,71,55,16,53,14,148,70,78,8,8,82,50,667.441229788718,10152.7733896005,-8.586629193781134,41.1438631783384
72,155117,13121701405,13,1312,131217,131217014,14,5,1405,13121701405,1,11,11A,27,12,15,23,7,20,21,1,1,0,4,12,83,83,50,33,6,0,5,43,50,39,11,33,12,116,58,58,9,9,75,23,742.620402384428,15930.6138069382,-8.611142598345735,41.143905602590166
73,155118,13121703002,13,1312,131217,131217030,30,2,3002,13121703002,1,11,11A,4,0,4,2,0,4,1,3,0,0,0,1,12,12,2,10,0,0,0,2,2,2,0,0,0,3,1,2,0,0,3,0,163.053699874696,1335.6668821967,-8.611444290601138,41.14493215195904
74,155119,13121701501,13,1312,131217,131217015,15,1,1501,13121701501,1,11,11A,17,8,9,15,3,14,15,0,1,1,0,11,43,43,22,21,0,0,6,12,22,18,4,9,1,38,19,19,2,2,15,19,328.89501756609,5293.22910378563,-8.614354727856574,41.14475920728259
75,155120,13120200203,13,1312,131202,131202002,2,3,203,13120200203,1,11,11A,40,28,12,38,18,22,27,13,0,0,0,13,104,104,84,20,22,32,53,23,84,65,19,50,18,166,78,88,18,11,85,52,595.618872580745,13270.7637646711,-8.59719659622985,41.14425075876931
76,155121,13121701406,13,1312,131217,131217014,14,6,1406,13121701406,1,11,11A,13,2,11,8,0,13,9,1,0,0,3,9,51,51,24,27,3,0,5,17,24,13,11,9,7,60,42,18,7,7,42,4,510.193589383835,13165.1362686462,-8.610200271616389,41.14451881908391
77,155334,13121705202,13,1312,131217,131217052,52,2,5202,13121705202,1,11,11A,7,1,6,6,0,7,1,4,2,0,0,6,20,20,10,10,2,0,0,8,10,6,4,6,1,22,12,10,3,1,8,10,302.191243386136,3934.14469971899,-8.613775615048251,41.14043986897235
78,155335,13121705203,13,1312,131217,131217052,52,3,5203,13121705203,1,11,11A,5,0,5,4,0,5,5,0,0,0,0,5,16,16,7,9,0,0,0,7,7,5,2,4,2,14,4,10,1,1,6,6,240.29006302673,2472.17669957963,-8.612331640338613,41.1406099838012
79,155336,13121705204,13,1312,131217,131217052,52,4,5204,13121705204,1,11,11A,11,1,9,11,0,11,10,1,0,0,0,3,38,37,12,25,2,0,3,8,12,9,3,6,0,33,13,20,1,2,12,18,298.015384913939,3526.90262279854,-8.615462458659891,41.14048418684037
80,155337,13121705205,13,1312,131217,131217052,52,5,5205,13121705205,1,11,11A,6,1,5,4,0,6,5,1,0,0,0,6,16,16,7,9,0,0,0,7,7,3,4,7,1,19,10,9,0,1,11,7,351.196660396556,2078.78666467561,-8.611305718424635,41.14071265932768
81,155338,13121705206,13,1312,131217,131217052,52,6,5206,13121705206,1,11,11A,7,1,6,3,0,7,6,0,0,1,0,3,28,28,16,12,1,0,5,11,16,12,4,9,4,33,17,16,5,4,17,7,213.427681390968,2733.67774576807,-8.614859609468548,41.14065215759694
82,155357,13121701408,13,1312,131217,131217014,14,8,1408,13121701408,1,11,11A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,4,1,363.184499614342,5120.80037543447,-8.607330039063699,41.14476898177527
83,155358,13121700806,13,1312,131217,131217008,8,6,806,13121700806,1,11,11A,3,3,0,3,2,1,3,0,0,0,0,2,3,3,1,2,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,2,611.856732895511,16200.4115583606,-8.616134609455845,41.144436372309954
