WKT,fid,OBJECTID,BGRI2021,DT21,DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,NUTS1,NUTS2,NUTS3,N_EDIFICIOS_CLASSICOS,N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ,N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS,N_EDIFICIOS_EXCLUSIV_RESID,N_EDIFICIOS_1_OU_2_PISOS,N_EDIFICIOS_3_OU_MAIS_PISOS,N_EDIFICIOS_CONSTR_ANTES_1945,N_EDIFICIOS_CONSTR_1946_1980,N_EDIFICIOS_CONSTR_1981_2000,N_EDIFICIOS_CONSTR_2001_2010,N_EDIFICIOS_CONSTR_2011_2021,N_EDIFICIOS_COM_NECESSIDADES_REPARACAO,N_ALOJAMENTOS_TOTAL,N_ALOJAMENTOS_FAMILIARES,N_ALOJAMENTOS_FAM_CLASS_RHABITUAL,N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA,N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS,N_RHABITUAL_COM_ESTACIONAMENTO,N_RHABITUAL_PROP_OCUP,N_RHABITUAL_ARRENDADOS,N_AGREGADOS_DOMESTICOS_PRIVADOS,N_ADP_1_OU_2_PESSOAS,N_ADP_3_OU_MAIS_PESSOAS,N_NUCLEOS_FAMILIARES,N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25,N_INDIVIDUOS,N_INDIVIDUOS_H,N_INDIVIDUOS_M,N_INDIVIDUOS_0_14,N_INDIVIDUOS_15_24,N_INDIVIDUOS_25_64,N_INDIVIDUOS_65_OU_MAIS,SHAPE_Length,SHAPE_Area,lon,lat,sqm_price,number_of_ev_cars
"MULTIPOLYGON (((-8.6056678056703 41.1731984381591,-8.60547754814805 41.1729050527617,-8.60538793185206 41.1727668680318,-8.60532413798168 41.1726201772301,-8.60531343337752 41.1724474443481,-8.60536293683012 41.1720736294584,-8.60539522942011 41.1719196104379,-8.60545405077884 41.1718142374332,-8.60588025799994 41.1719622730368,-8.60598176991799 41.172005074379,-8.60648410620077 41.1722596620866,-8.60673814407382 41.172406386799,-8.60683983490643 41.1724755053823,-8.60721384966305 41.1727480238484,-8.60742424606478 41.1729018788988,-8.60758544112772 41.1730292762546,-8.60765708613008 41.1730776638642,-8.60786117725351 41.1732244495774,-8.60588579119494 41.173585538953,-8.60578600387159 41.1736037779674,-8.6056678056703 41.1731984381591)))",1101,170302,13121002502,13,1312,131210,131210025,25,2,2502,13121002502,1,11,11A,10,10,0,10,8,2,3,7,0,0,0,9,12,12,4,8,1,1,0,3,4,4,0,1,0,5,1,4,0,0,3,2,644.374509613632,22414.8294272887,-8.606297449246659,41.17280223180897,2848,0.022948957423944063
"MULTIPOLYGON (((-8.59921422320974 41.1732848877376,-8.59971452221056 41.1731109019706,-8.60023583885083 41.1729287348032,-8.600472083059 41.1733308108722,-8.59995884145448 41.1735111725179,-8.59944730742666 41.1736705737015,-8.59921422320974 41.1732848877376)))",1103,170304,13121001308,13,1312,131210,131210013,13,8,1308,13121001308,1,11,11A,8,8,0,8,8,0,1,7,0,0,0,4,8,8,7,1,1,3,5,1,7,3,4,6,3,19,11,8,2,2,11,4,284.292899364125,4563.62469802611,-8.599846673622181,41.173304745018406,2848,0.07802645524140982
"MULTIPOLYGON (((-8.60374518061344 41.1735721226225,-8.60372880088347 41.1734697248613,-8.60372287517956 41.1733712273748,-8.60367488827817 41.1732216707391,-8.60363776773966 41.1731351233632,-8.6035531977608 41.1729738934365,-8.6035380012851 41.1729552103041,-8.60384657179544 41.172807171009,-8.60394042185326 41.1728067865049,-8.60422295258281 41.1729474934424,-8.604301467198 41.1729905253855,-8.60433822021007 41.1730258412536,-8.60435211148075 41.1735065693439,-8.60452418226051 41.1735097973919,-8.60454927603688 41.1736604477503,-8.60374977544406 41.1736894616846,-8.60374518061344 41.1735721226225)))",1107,170308,13121003001,13,1312,131210,131210030,30,1,3001,13121003001,1,11,11A,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,11,15,0,22,4,0,316.284385728994,5258.75749205378,-8.604018303132989,41.173274712975456,2848,0.11933457860450913
"MULTIPOLYGON (((-8.59898074863244 41.1733658330392,-8.59921422320974 41.1732848877376,-8.59944730742666 41.1736705737015,-8.59920270865667 41.1737542297681,-8.59898074863244 41.1733658330392)))",1108,170309,13121001309,13,1312,131210,131210013,13,9,1309,13121001309,1,11,11A,4,4,0,4,4,0,0,4,0,0,0,1,4,4,4,0,0,4,2,0,4,3,1,3,1,8,4,4,1,0,4,3,138.159846270234,1036.73666906466,-8.599212133847033,41.173520291725794,2848,0.032128540393521685
"MULTIPOLYGON (((-8.61839737130364 41.1753971212395,-8.6186354999393 41.1750794817454,-8.61877737982484 41.1750746497402,-8.6192238294711 41.1750110381399,-8.61907672229287 41.1752013834913,-8.61879384825204 41.1755673937805,-8.61839737130364 41.1753971212395)))",1109,170310,13121004401,13,1312,131210,131210044,44,1,4401,13121004401,1,11,11A,6,6,0,6,6,0,6,0,0,0,0,2,6,6,5,1,3,4,5,0,5,1,4,4,3,14,7,7,1,4,7,2,200.405105288155,2131.85113561312,-8.618784228015231,41.17526860118263,2848,0.05966728930225457
"MULTIPOLYGON (((-8.61482732385495 41.1751850334168,-8.61475852846426 41.175180009478,-8.61471260515091 41.1751708379201,-8.61467902727378 41.1751550514794,-8.61466530640855 41.1751429260044,-8.61465523383055 41.1751214216841,-8.61465480734379 41.1750633483155,-8.61466322086333 41.1750277118652,-8.61468035100266 41.174997665768,-8.61470991565847 41.1749731764654,-8.61516457690804 41.1748945819821,-8.61630615173669 41.1747553351917,-8.61633877146335 41.1749257959572,-8.61642444791392 41.1753735165396,-8.61642742205916 41.1753890275026,-8.61491504868771 41.1755916346353,-8.61482732385495 41.1751850334168)))",1110,170311,13121004305,13,1312,131210,131210043,43,5,4305,13121004305,1,11,11A,14,8,5,14,8,6,0,14,0,0,0,0,49,48,46,2,2,8,7,38,46,32,14,29,10,109,39,70,8,12,39,50,417.116987012047,9562.57708606237,-8.615581191673272,41.17516789035933,2848,0.46356893996367005
"MULTIPOLYGON (((-8.60911501379128 41.1753821520121,-8.60967381082099 41.1747240575936,-8.60985653298787 41.1747213717856,-8.61009403616621 41.1747369888267,-8.61034916488171 41.1747591766352,-8.61050311138067 41.1747718263298,-8.61057348992274 41.1747781788882,-8.6105955715783 41.1747913678186,-8.6106175931359 41.1747979208105,-8.61063972425625 41.174817754715,-8.61064003785318 41.1748609363298,-8.6106360759233 41.1749207387351,-8.61063324989026 41.1750859193792,-8.61060211118237 41.1751841739413,-8.61056598419509 41.1753141524777,-8.61039197171462 41.1757164257769,-8.60911501379128 41.1753821520121)))",1112,170313,13121004601,13,1312,131210,131210046,46,1,4601,13121004601,1,11,11A,17,6,11,16,3,14,0,12,5,0,0,13,92,92,52,40,15,33,26,22,52,36,16,27,15,109,52,57,11,13,62,23,386.066539070697,9496.16926647178,-8.609989973184788,41.175178827390255,2848,0.4497995655093036
"MULTIPOLYGON (((-8.6135552047061 41.1748312690674,-8.61367944337818 41.1747835321108,-8.61418587533995 41.1746519070333,-8.61429890251001 41.1746225301203,-8.61454917274753 41.1745768939837,-8.61470991565847 41.1749731764654,-8.61468035100266 41.174997665768,-8.61466322086333 41.1750277118652,-8.61465480734379 41.1750633483155,-8.61465523383055 41.1751214216841,-8.61466530640855 41.1751429260044,-8.61467902727378 41.1751550514794,-8.61471260515091 41.1751708379201,-8.61475852846426 41.175180009478,-8.61482732385495 41.1751850334168,-8.61491504868771 41.1755916346353,-8.61388541058844 41.1757174693453,-8.6135552047061 41.1748312690674)))",1113,170314,13121004306,13,1312,131210,131210043,43,6,4306,13121004306,1,11,11A,11,7,4,10,7,4,1,10,0,0,0,1,58,58,52,6,3,8,3,46,52,33,19,34,14,118,51,67,11,16,66,25,405.019875614227,9742.38064866863,-8.614237430612276,41.17517146293786,2848,0.49110768887240297
"MULTIPOLYGON (((-8.62376643199395 41.175998885577,-8.62375677080428 41.1759802256711,-8.62369005156576 41.1758514753306,-8.62364128061782 41.1758170542563,-8.62347937443683 41.1757892306236,-8.62331763539866 41.1757838078885,-8.62325544535377 41.175755557693,-8.62321737168455 41.1757109079339,-8.62321671703652 41.1755976589366,-8.62319722556944 41.1753732282571,-8.62318810769174 41.1752756917792,-8.6231879114018 41.175273979093,-8.62317910719681 41.1751970989813,-8.62316807175377 41.1750915478116,-8.6232102036905 41.1750637252882,-8.6232565473961 41.1750333825262,-8.62358425423094 41.1749505335291,-8.62455946355606 41.1747040037526,-8.62488801661914 41.1754548039771,-8.62497888097928 41.1756566799172,-8.62513427707655 41.176001908854,-8.62477772264071 41.1760937375411,-8.62391481951135 41.1763159642984,-8.62376643199395 41.175998885577)))",1116,170322,13121003306,13,1312,131210,131210033,33,6,3306,13121003306,1,11,11A,27,0,27,27,0,27,0,0,27,0,0,0,216,216,212,4,61,4,3,207,212,123,89,171,49,518,238,280,23,44,277,174,554.21759525129,18695.4477111243,-8.624132612059695,41.17550521439405,2848,2.271946784970462
"MULTIPOLYGON (((-8.62593962596201 41.1757987922857,-8.62770897352497 41.1753482054595,-8.62782813268326 41.1758216583385,-8.62784137050383 41.175874254208,-8.62782554874477 41.1758780103349,-8.62631243827975 41.1762749491929,-8.62618235349057 41.1763115774427,-8.62593962596201 41.1757987922857)))",1117,170323,13121003307,13,1312,131210,131210033,33,7,3307,13121003307,1,11,11A,25,14,11,25,10,15,4,20,1,0,0,7,68,68,56,12,6,10,30,23,56,37,19,38,16,121,58,63,13,11,55,42,424.075587556589,9052.8628973535,-8.626913411864086,41.175830849020805,2848,0.49569748035719174
"MULTIPOLYGON (((-8.61863299983717 41.1763491666584,-8.61839992695114 41.1762424915305,-8.61831355456748 41.176200663899,-8.61879384825204 41.1755673937805,-8.61913593449005 41.1757160770213,-8.6186830323063 41.1763063572211,-8.61864980803325 41.1763564154112,-8.61863299983717 41.1763491666584)))",1118,170324,13121004408,13,1312,131210,131210044,44,8,4408,13121004408,1,11,11A,8,8,0,8,8,0,8,0,0,0,0,2,8,8,7,1,3,7,6,0,7,4,3,7,2,20,10,10,3,2,6,9,229.269880740127,2687.36896241662,-8.618722806966764,41.17595973459391,2848,0.07802645524140982
"MULTIPOLYGON (((-8.61410077836972 41.1763673004294,-8.61408074461882 41.1763020514717,-8.61388541058844 41.1757174693453,-8.61491504868771 41.1755916346353,-8.61509069119261 41.1763513530376,-8.61486519229009 41.1763827058383,-8.61465246624483 41.1764122678637,-8.61410077836972 41.1763673004294)))",1120,170326,13121004409,13,1312,131210,131210044,44,9,4409,13121004409,1,11,11A,11,10,1,10,9,2,4,5,0,2,0,0,16,16,13,3,2,11,10,2,13,9,4,8,2,26,13,13,2,2,8,14,331.525635972439,7004.97901153442,-8.61451348162643,41.17601526250206,2848,0.1101549956349315
"MULTIPOLYGON (((-8.61961812023938 41.1767753124292,-8.61911119044522 41.1765554223915,-8.61864980803325 41.1763564154112,-8.6186830323063 41.1763063572211,-8.61913593449005 41.1757160770213,-8.61937289299618 41.1758166383436,-8.61960367346674 41.1759211151357,-8.61984566245363 41.1760232741081,-8.62024395216328 41.1761991427562,-8.62036585459075 41.1762399443151,-8.6202750009149 41.1763187094005,-8.62009996901739 41.1765663407214,-8.6198616873604 41.176880940348,-8.61961812023938 41.1767753124292)))",1126,170336,13121004410,13,1312,131210,131210044,44,10,4410,13121004410,1,11,11A,10,10,0,10,8,2,8,0,0,2,0,1,10,10,9,1,2,9,8,1,9,5,4,7,3,22,11,11,2,3,9,8,400.767163497354,9597.18993018635,-8.619496448918932,41.17629800679929,2848,0.09179582969577625
"MULTIPOLYGON (((-8.61812601197835 41.1766059951932,-8.61839992695114 41.1762424915305,-8.61863299983717 41.1763491666584,-8.61864980803325 41.1763564154112,-8.61911119044522 41.1765554223915,-8.61883811734863 41.1769165380288,-8.61812601197835 41.1766059951932)))",1127,170337,13121004411,13,1312,131210,131210044,44,11,4411,13121004411,1,11,11A,12,12,0,12,12,0,5,2,4,1,0,0,12,12,10,2,3,8,10,0,10,6,4,7,4,23,12,11,3,3,8,9,230.707957583223,3183.81753581629,-8.618618082055413,41.17658078214592,2848,0.09179582969577625
"MULTIPOLYGON (((-8.61796011065363 41.1765245707353,-8.61805359926003 41.1760811819171,-8.61831355456748 41.176200663899,-8.61839992695114 41.1762424915305,-8.61812601197835 41.1766059951932,-8.61787734155496 41.1769448110574,-8.61796011065363 41.1765245707353)))",1128,170338,13121004412,13,1312,131210,131210044,44,12,4412,13121004412,1,11,11A,2,2,0,2,2,0,2,0,0,0,0,1,2,2,2,0,1,2,2,0,2,1,1,2,1,6,4,2,0,1,4,1,220.672638938848,1529.56340398791,-8.618109200665485,41.17642186499256,2848,0.027538748908732875
"MULTIPOLYGON (((-8.61778609908679 41.1769143003473,-8.617662799866 41.1768618008312,-8.61740069729864 41.1768168173233,-8.61694389960923 41.1766861999251,-8.61662354005596 41.176643361068,-8.61663520897458 41.1766064862314,-8.61663902924036 41.1764051508017,-8.61663416245732 41.1763107105559,-8.61660380136658 41.1761526474829,-8.6165277180706 41.1758233701377,-8.61642742205916 41.1753890275026,-8.61712407294041 41.1752921897204,-8.617191856748 41.1755186416652,-8.61722802008885 41.1757184395314,-8.61727320297458 41.1757483402339,-8.61742122416972 41.17578751339,-8.61785228251177 41.1751960613158,-8.6186354999393 41.1750794817454,-8.61839737130364 41.1753971212395,-8.61810963022648 41.1757873440469,-8.61805359926003 41.1760811819171,-8.61796011065363 41.1765245707353,-8.61787734155496 41.1769448110574,-8.61778609908679 41.1769143003473)))",1129,170339,13121004413,13,1312,131210,131210044,44,13,4413,13121004413,1,11,11A,42,42,0,42,42,0,17,24,1,0,0,9,42,42,28,14,7,13,19,4,28,13,15,17,11,69,31,38,8,8,42,11,739.950460441769,20229.0996553436,-8.617404278238558,41.175993690402095,2848,0.27997728057211757
"MULTIPOLYGON (((-8.60708284711616 41.1769973630474,-8.6070593912308 41.1769919309197,-8.60703981227772 41.1769837104054,-8.60703390117794 41.1769754417526,-8.60703380156141 41.1769616214368,-8.60703958192427 41.1769519180114,-8.60720244697652 41.1767466939707,-8.60731791657253 41.1765859192594,-8.60745430634589 41.1763849638478,-8.60760088359675 41.1761278802051,-8.60765531139103 41.1759553286278,-8.60768068499012 41.1756145862132,-8.6073805809028 41.1751950982459,-8.60798778958725 41.1753014279283,-8.60846160249051 41.1753301340275,-8.60828677195463 41.1758155858291,-8.60817718719851 41.1761120989593,-8.60804538147161 41.1764686696545,-8.60796598191058 41.1766683724253,-8.60787744358128 41.1768368876364,-8.60785306698846 41.1768706453516,-8.60780026770558 41.1769437691224,-8.60777668348154 41.1769733905739,-8.60751535725933 41.1769043209277,-8.60745867733621 41.1768907345492,-8.60743135251851 41.1768908470816,-8.6071745261672 41.1769942196091,-8.60713748299884 41.1769985239623,-8.60709651417472 41.1769986925685,-8.60708284711616 41.1769973630474)))",1130,170340,13121003006,13,1312,131210,131210030,30,6,3006,13121003006,1,11,11A,14,9,5,13,11,3,7,5,0,0,2,10,87,87,22,65,9,10,3,19,22,19,3,8,2,36,18,18,1,6,26,3,568.016700304416,10680.1440516779,-8.60781333776511,41.17608686050222,2848,0.16064270196760844
"MULTIPOLYGON (((-8.62150508204106 41.1769398067582,-8.62100970703394 41.1768085730962,-8.62061961234358 41.1767052445113,-8.62009996901739 41.1765663407214,-8.6202750009149 41.1763187094005,-8.62036585459075 41.1762399443151,-8.62055169813964 41.1761308468439,-8.62064006504648 41.1760976980231,-8.62080557494024 41.1760442671485,-8.6209138401506 41.1760252777873,-8.62117537984477 41.1759966229011,-8.62127930504988 41.1759852413249,-8.62128877390549 41.1759700649367,-8.62145172893395 41.1760204331077,-8.6214573582532 41.1760402718595,-8.62174220590568 41.1770022030903,-8.62150508204106 41.1769398067582)))",1131,170341,13121004503,13,1312,131210,131210045,45,3,4503,13121004503,1,11,11A,12,12,0,12,12,0,6,6,0,0,0,2,12,12,12,0,9,10,11,1,12,4,8,13,4,35,17,18,4,1,21,9,400.647296669074,9099.98637980527,-8.621009163052106,41.176454262166914,2848,0.1422835360284532
"MULTIPOLYGON (((-8.59134498284286 41.1771688039173,-8.59130043955067 41.1771504691461,-8.59126376460477 41.1771376587238,-8.59123178793519 41.1771218221596,-8.59131676260299 41.1770731138345,-8.59140581596418 41.1769771372504,-8.59148286241144 41.1768478581822,-8.59152197536913 41.1766553504375,-8.5915910248726 41.1763281953632,-8.59160351925746 41.1761157868303,-8.59165505258775 41.1758572756232,-8.59170690309567 41.1756304574304,-8.59182873429783 41.1754148401244,-8.59242377432008 41.1746948143318,-8.59253230906723 41.1747575440821,-8.59312199791281 41.1750236596951,-8.59352039787044 41.1751565401715,-8.59350027037504 41.1752589232294,-8.59342569897644 41.1754164601499,-8.59377198809079 41.1754658663363,-8.5936814085928 41.1757123770074,-8.59351552691771 41.1763730497047,-8.59343372298444 41.1768632278714,-8.59342402241816 41.1769463377884,-8.59309845448423 41.1769181430393,-8.59298669411005 41.1769230284582,-8.59210810716334 41.1770688526857,-8.59143908061187 41.177173984272,-8.59137376470897 41.1771742450689,-8.59134498284286 41.1771688039173)))",1132,170342,13121001205,13,1312,131210,131210012,12,5,1205,13121001205,1,11,11A,11,11,0,11,11,0,11,0,0,0,0,8,11,11,8,3,0,1,1,7,8,6,2,6,1,16,9,7,1,0,9,6,815.7240797579,36324.0237180245,-8.592569270232353,41.17603148366948,2848,0.06884687227183219
"MULTIPOLYGON (((-8.58996575860481 41.1766022826372,-8.58983475390193 41.1763494287257,-8.58975027933064 41.1762573883444,-8.58965208762608 41.1762023524039,-8.5895120718783 41.176160677951,-8.58942472667569 41.1761583848658,-8.58903397912558 41.1762285542148,-8.58813071609758 41.1764406311542,-8.58792467901978 41.1764493633427,-8.58782142685618 41.1764494180519,-8.58781516138964 41.1762727122782,-8.58793149258226 41.1761091549871,-8.58808386497797 41.1757263791617,-8.58823997321169 41.1754168268067,-8.58831655705964 41.1752837788331,-8.58841293641553 41.1750702106363,-8.58848830606489 41.1749032219436,-8.5885456243746 41.174786285775,-8.5885519869781 41.1747725290228,-8.5885699581713 41.1747331558884,-8.58860993638708 41.1747448375765,-8.58872318430224 41.1747764252357,-8.58906917093415 41.1748842551154,-8.58913838500147 41.1749051223445,-8.58919921035037 41.1749158118482,-8.5892658033702 41.1749232018041,-8.58943354934947 41.1749498546485,-8.58951901548003 41.1749670105075,-8.5895885467749 41.1749820414073,-8.58967113994761 41.1750024852124,-8.58976535436018 41.1750283584118,-8.58983347423267 41.1750477708602,-8.5899117689928 41.1750736971609,-8.59003069171808 41.1751191546942,-8.5901264394893 41.1751581309074,-8.59022800938536 41.1752014591341,-8.59029621314953 41.1752328917452,-8.59049833296258 41.175292756796,-8.5907133342344 41.1753440261122,-8.5913915568421 41.1755564589797,-8.59148060494671 41.1755795320747,-8.5915896002418 41.1755819256132,-8.59170690309567 41.1756304574304,-8.59165505258775 41.1758572756232,-8.59160351925746 41.1761157868303,-8.5915910248726 41.1763281953632,-8.59152197536913 41.1766553504375,-8.59148286241144 41.1768478581822,-8.59140581596418 41.1769771372504,-8.59131676260299 41.1770731138345,-8.59123178793519 41.1771218221596,-8.59109659009197 41.1771390349355,-8.59091490342657 41.1771374800549,-8.59038542475226 41.1771796355231,-8.59030682627084 41.1771942274983,-8.59029094991616 41.1771971719009,-8.58996575860481 41.1766022826372)))",1134,170344,13121002702,13,1312,131210,131210027,27,2,2702,13121002702,1,11,11A,8,0,8,7,0,8,0,0,0,8,0,3,198,198,134,64,97,132,79,47,134,92,42,74,45,281,131,150,61,21,188,11,1022.53402859516,49405.0524144191,-8.58990504258369,41.17594118687204,2848,1.0097541266535388
"MULTIPOLYGON (((-8.62485270318602 41.1770241897938,-8.6242373913816 41.1768965993237,-8.6241822410152 41.1768760453189,-8.62415061721576 41.1768494571447,-8.62391481951135 41.1763159642984,-8.62477772264071 41.1760937375411,-8.62513427707655 41.176001908854,-8.62593962596201 41.1757987922857,-8.62618235349057 41.1763115774427,-8.62618221910525 41.1763116149357,-8.62617062754278 41.1763148574884,-8.62593307928363 41.1763812995114,-8.62560637473727 41.1764857072193,-8.62546617320039 41.1765889621199,-8.62535679904813 41.1767039626918,-8.62525265630006 41.1768393445795,-8.62507595834899 41.1770690440395,-8.62485270318602 41.1770241897938)))",1135,170345,13121003401,13,1312,131210,131210034,34,1,3401,13121003401,1,11,11A,15,1,14,13,4,11,0,3,12,0,0,4,196,196,186,10,78,4,63,118,186,133,53,118,32,390,164,226,22,20,198,150,515.481161120875,14297.6384548218,-8.62501524703328,41.17642687050389,2848,1.689043266402283
"MULTIPOLYGON (((-8.62193680776707 41.1770483123215,-8.62174220590568 41.1770022030903,-8.6214573582532 41.1760402718595,-8.62145172893395 41.1760204331077,-8.62139092151319 41.1758062990514,-8.62105086273976 41.1747672760725,-8.62065087827244 41.174814877492,-8.62022337027873 41.1748709589405,-8.61966894996745 41.1749400829012,-8.61959646749603 41.1748443994462,-8.61954068912264 41.174637517707,-8.62036989758012 41.1745260347432,-8.62090774945163 41.1744569775802,-8.62111170318196 41.1744849877682,-8.62153586029881 41.1744370742444,-8.62179387523404 41.1749612745938,-8.62186046820854 41.1752048091244,-8.62190187788931 41.1756991927756,-8.62202790679917 41.1762268186005,-8.6220713536038 41.1764072166026,-8.62209157557577 41.1770884953252,-8.62193680776707 41.1770483123215)))",1136,170346,13121004204,13,1312,131210,131210042,42,4,4204,13121004204,1,11,11A,47,38,9,47,38,9,17,30,0,0,0,8,175,175,159,16,16,25,22,135,159,128,31,93,39,304,140,164,30,23,163,88,909.175189497287,17495.2741230144,-8.62129162701933,41.17540816325711,2848,1.2576028668321346
"MULTIPOLYGON (((-8.60817170349332 41.1769811111205,-8.60785306698846 41.1768706453516,-8.60787744358128 41.1768368876364,-8.60796598191058 41.1766683724253,-8.60804538147161 41.1764686696545,-8.60817718719851 41.1761120989593,-8.60828677195463 41.1758155858291,-8.60846160249051 41.1753301340275,-8.60911501379128 41.1753821520121,-8.60907003169186 41.1757556344411,-8.60900868071483 41.1762053663943,-8.60894431855438 41.1766771613927,-8.608851614058 41.1768461807941,-8.60884729676644 41.1768521675883,-8.6086358455913 41.1771454298549,-8.60817170349332 41.1769811111205)))",1137,170347,13121003007,13,1312,131210,131210030,30,7,3007,13121003007,1,11,11A,10,2,8,10,2,8,0,10,0,0,0,2,104,104,96,8,6,2,5,89,96,50,46,73,37,242,113,129,36,25,128,53,509.008962760046,13142.8837387253,-8.608565905309653,41.17624059738714,2848,0.9454970458664954
"MULTIPOLYGON (((-8.61883811734863 41.1769165380288,-8.61911119044522 41.1765554223915,-8.61961812023938 41.1767753124292,-8.61934320113313 41.1771329523759,-8.61883811734863 41.1769165380288)))",1139,170349,13121004414,13,1312,131210,131210044,44,14,4414,13121004414,1,11,11A,7,7,0,7,7,0,6,0,0,1,0,2,7,7,5,2,1,1,4,0,5,4,1,1,1,10,5,5,0,2,4,4,189.894419525634,2251.70719073832,-8.6192275733291,41.17684475401467,2848,0.045897914847888126
"MULTIPOLYGON (((-8.59937300532473 41.1771102350121,-8.59926813926995 41.1771092187964,-8.59914394916155 41.1768028983274,-8.59857846164555 41.1766395289897,-8.5980493019516 41.1764904162372,-8.59783926521737 41.1764451680975,-8.59758034792361 41.1764096486755,-8.59750934141201 41.1763988236689,-8.59729205502829 41.1760696696501,-8.59666573511325 41.1760772813534,-8.5962225127926 41.1760943005536,-8.59599191686304 41.1761139565037,-8.59554937817196 41.1760555717918,-8.59535692209272 41.1758578522085,-8.59491648649563 41.175683206336,-8.59489955569003 41.1756784659118,-8.59477902927262 41.1756447164569,-8.59418621585656 41.1754172495186,-8.59411903688727 41.1754420182861,-8.59406310779401 41.1755160928757,-8.59377198809079 41.1754658663363,-8.59398701192825 41.1749346875977,-8.59476228818042 41.1731902933989,-8.59477133695641 41.1731687827157,-8.59512074951451 41.1723379077158,-8.59536643744408 41.1718624749837,-8.59538608745882 41.171833763261,-8.59575926562101 41.1722617433498,-8.59592497108019 41.172369872397,-8.5964465557942 41.172611384703,-8.59671846668824 41.1730745076254,-8.59694361782132 41.17345797954,-8.59713262443463 41.1737798836768,-8.5974041313707 41.1740811249864,-8.59753088702242 41.1742217603144,-8.59797319223418 41.1748035488241,-8.59817554880299 41.1748827803454,-8.59841262791605 41.1748780112937,-8.5989562321321 41.174771947277,-8.59973865541367 41.1746682116812,-8.59987254528125 41.174900406562,-8.60000531831176 41.1751211946282,-8.60005209603376 41.1751989517993,-8.60011892031037 41.1754175578907,-8.60018573192911 41.1756361639858,-8.60017119699535 41.1758004914366,-8.60017101720356 41.1758025271419,-8.60017097414281 41.1758030081472,-8.60014844126086 41.1760577461779,-8.60010264765723 41.1762305743734,-8.59960254862622 41.1772173420423,-8.59960190798587 41.1772185917351,-8.59937300532473 41.1771102350121)))",1140,170350,13121002210,13,1312,131210,131210022,22,10,2210,13121002210,1,11,11A,4,3,0,4,3,1,2,2,0,0,0,2,5,4,2,2,1,1,0,2,2,2,0,0,0,16,9,7,0,5,9,2,1856.75957381917,140495.31780032,-8.596852982236507,41.1748409855727,2848,0.073436663756621
"MULTIPOLYGON (((-8.61976979688725 41.1776894433199,-8.61937433029519 41.1775305604124,-8.61958656148198 41.1772491708151,-8.6198616873604 41.176880940348,-8.62009996901739 41.1765663407214,-8.62061961234358 41.1767052445113,-8.62052120103974 41.1768415055087,-8.62028983804841 41.1771391495157,-8.62019522777553 41.1772642378032,-8.61984893461993 41.1777225842436,-8.61976979688725 41.1776894433199)))",1144,170354,13121004504,13,1312,131210,131210045,45,4,4504,13121004504,1,11,11A,3,0,3,3,0,3,0,0,3,0,0,0,38,38,31,7,24,27,22,7,31,17,14,23,15,80,41,39,14,12,49,5,344.804797980162,5749.76553195591,-8.61998924305359,41.177130357628016,2848,0.3029262379960616
"MULTIPOLYGON (((-8.61829701428728 41.1776047196599,-8.61857260006839 41.1772554714405,-8.61883811734863 41.1769165380288,-8.61934320113313 41.1771329523759,-8.61881334276053 41.1778216742111,-8.61829701428728 41.1776047196599)))",1145,170355,13121004418,13,1312,131210,131210044,44,18,4418,13121004418,1,11,11A,16,16,0,16,16,0,16,0,0,0,0,4,16,16,11,5,8,6,6,4,11,10,1,6,1,19,9,10,1,0,9,9,275.66901492112,4354.73514951023,-8.618822138103523,41.17736995288503,2848,0.08261624672619863
"MULTIPOLYGON (((-8.61265791474446 41.1778620598468,-8.61229967080279 41.1778404881245,-8.61221070526179 41.1778219869883,-8.61214667138385 41.1777970880752,-8.61214286851727 41.1776565879602,-8.61214483415583 41.177545417016,-8.61217731407213 41.1774320211466,-8.61221270936011 41.1773374942875,-8.61244040989223 41.1769755296665,-8.61310841043644 41.1772272799014,-8.6130616370692 41.1772925111879,-8.61293775459388 41.1775119150459,-8.61289232098592 41.1778729927399,-8.61265791474446 41.1778620598468)))",1146,170356,13121004702,13,1312,131210,131210047,47,2,4702,13121004702,1,11,11A,3,3,0,3,3,0,0,3,0,0,0,0,5,5,5,0,0,4,3,2,5,4,1,3,0,10,4,6,0,0,8,2,297.559145937662,5556.64565604002,-8.612581374179225,41.1774656123656,2848,0.045897914847888126
