WKT,fid,OBJECTID,BGRI2021,DT21,DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,NUTS1,NUTS2,NUTS3,N_EDIFICIOS_CLASSICOS,N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ,N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS,N_EDIFICIOS_EXCLUSIV_RESID,N_EDIFICIOS_1_OU_2_PISOS,N_EDIFICIOS_3_OU_MAIS_PISOS,N_EDIFICIOS_CONSTR_ANTES_1945,N_EDIFICIOS_CONSTR_1946_1980,N_EDIFICIOS_CONSTR_1981_2000,N_EDIFICIOS_CONSTR_2001_2010,N_EDIFICIOS_CONSTR_2011_2021,N_EDIFICIOS_COM_NECESSIDADES_REPARACAO,N_ALOJAMENTOS_TOTAL,N_ALOJAMENTOS_FAMILIARES,N_ALOJAMENTOS_FAM_CLASS_RHABITUAL,N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA,N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS,N_RHABITUAL_COM_ESTACIONAMENTO,N_RHABITUAL_PROP_OCUP,N_RHABITUAL_ARRENDADOS,N_AGREGADOS_DOMESTICOS_PRIVADOS,N_ADP_1_OU_2_PESSOAS,N_ADP_3_OU_MAIS_PESSOAS,N_NUCLEOS_FAMILIARES,N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25,N_INDIVIDUOS,N_INDIVIDUOS_H,N_INDIVIDUOS_M,N_INDIVIDUOS_0_14,N_INDIVIDUOS_15_24,N_INDIVIDUOS_25_64,N_INDIVIDUOS_65_OU_MAIS,SHAPE_Length,SHAPE_Area,lon,lat,sqm_price,number_of_ev_cars
"MULTIPOLYGON (((-8.61862591591229 41.1693953970944,-8.61970314571621 41.1688085513511,-8.62008269688075 41.1703802848413,-8.61994470691552 41.1704085843817,-8.61862591591229 41.1693953970944)))",32,241,13121002301,13,1312,131210,131210023,23,1,2301,13121002301,1,11,11A,43,34,9,42,32,11,3,29,10,1,0,22,98,98,71,27,16,19,38,29,71,51,20,41,13,142,65,77,10,9,70,53,458.714104783424,9753.54735815745,-8.619477400663802,41.16957321504261,2848,0.6058524759921232
"MULTIPOLYGON (((-8.60830285157755 41.1710300662991,-8.607706837553 41.1710014416756,-8.60767056469311 41.1709782618236,-8.6074467965896 41.1709947457452,-8.60744531619163 41.1707899925655,-8.60749122164867 41.1706472524154,-8.60752142103616 41.1706100491159,-8.60757354106577 41.1705458334761,-8.60759488523324 41.1705016801769,-8.60761587282434 41.1704082755752,-8.60763695398298 41.1703278467184,-8.60769387047898 41.170208380519,-8.60779805792142 41.1701353781063,-8.60795987330833 41.1700414091705,-8.60838806094397 41.170672715707,-8.60853403619612 41.1710420749053,-8.60830285157755 41.1710300662991)))",35,244,13121000907,13,1312,131210,131210009,9,7,907,13121000907,1,11,11A,12,5,7,9,7,5,5,7,0,0,0,12,26,26,17,9,1,3,4,13,17,14,3,12,3,32,14,18,3,0,13,16,334.281240382318,6214.58733234574,-8.60794550327961,41.17064859449743,2848,0.13310395305887557
"MULTIPOLYGON (((-8.60674810963495 41.1710529147425,-8.60655304848412 41.1710433473184,-8.60633626909327 41.171026080055,-8.60616646223156 41.1710138140674,-8.60655328077883 41.1705765530785,-8.60664810985215 41.1704928029915,-8.60692710486161 41.1703390079727,-8.60787972817611 41.169945839865,-8.60795987330833 41.1700414091705,-8.60779805792142 41.1701353781063,-8.60769387047898 41.170208380519,-8.60763695398298 41.1703278467184,-8.60761587282434 41.1704082755752,-8.60759488523324 41.1705016801769,-8.60757354106577 41.1705458334761,-8.60752142103616 41.1706100491159,-8.60749122164867 41.1706472524154,-8.60744531619163 41.1707899925655,-8.6074467965896 41.1709947457452,-8.60731107569193 41.1710064897684,-8.6070944645051 41.1710125705565,-8.60704060737473 41.171054292213,-8.6069178487329 41.1710574004133,-8.60674810963495 41.1710529147425)))",36,245,13121000908,13,1312,131210,131210009,9,8,908,13121000908,1,11,11A,38,28,10,35,29,9,21,16,0,1,0,29,70,70,44,26,4,4,22,19,44,28,16,30,8,100,49,51,7,8,50,35,433.258763495152,8090.15479674666,-8.607067921997407,41.17062115685132,2848,0.4268506080853596
"MULTIPOLYGON (((-8.6175502293878 41.1706138283284,-8.61745355131423 41.1704338143515,-8.61742466828684 41.1700899309575,-8.61758494742126 41.1699674040598,-8.61770007451112 41.1700912181635,-8.61850078470544 41.170661216807,-8.61789554894228 41.1710105529439,-8.61774129797084 41.171044518074,-8.6175502293878 41.1706138283284)))",39,248,13121000701,13,1312,131210,131210007,7,1,701,13121000701,1,11,11A,21,20,1,21,20,1,19,1,0,1,0,14,29,29,16,13,4,0,1,14,16,15,1,8,1,26,11,15,1,1,18,6,315.945808899175,5329.49098337541,-8.617859273763317,41.17054185313194,2848,0.11474478711972032
"MULTIPOLYGON (((-8.61127377430861 41.1709844342521,-8.61113511567964 41.1708773423834,-8.6101247315352 41.1703114863197,-8.61021679023779 41.1702208834733,-8.61057160569398 41.1699112752185,-8.6107290885823 41.1697744795656,-8.61092642788057 41.1696030515964,-8.61128123672851 41.1692934492623,-8.61158674540403 41.1690242909762,-8.61203093735173 41.1686379600592,-8.61232840788447 41.1683979793184,-8.61237216535565 41.1684965423286,-8.61237411585407 41.1685009373295,-8.61274041331962 41.1693838222176,-8.61278309546036 41.1694930875723,-8.61286435444235 41.1697010813556,-8.61291123057 41.169888456129,-8.61293453246906 41.1700915966141,-8.61291434075845 41.1703727480684,-8.61280727310042 41.1710682658226,-8.61127377430861 41.1709844342521)))",40,358,13121000801,13,1312,131210,131210008,8,1,801,13121000801,1,11,11A,49,29,20,49,8,41,18,17,0,10,4,32,340,340,219,121,107,158,92,108,219,159,60,112,54,429,202,227,55,39,264,71,837.384661746845,40647.5070639462,-8.611819206688727,41.16999750809924,2848,1.7165820153110158
"MULTIPOLYGON (((-8.59864165582772 41.1708038112036,-8.59867654068347 41.1704637343069,-8.59871393220778 41.1700992275074,-8.59875132459797 41.1697347305744,-8.5991176386481 41.1697534620107,-8.59909637610976 41.1699809433635,-8.59908184865068 41.1701367977359,-8.59906686018816 41.1702980655688,-8.59905083047186 41.1704689632344,-8.59899575880156 41.1710586669287,-8.5989832438703 41.1711237260908,-8.59860566892267 41.1711547427384,-8.59864165582772 41.1708038112036)))",41,359,13121000607,13,1312,131210,131210006,6,7,607,13121000607,1,11,11A,29,29,0,29,26,3,0,29,0,0,0,7,30,30,26,4,6,13,15,6,26,13,13,18,7,66,34,32,10,6,36,14,373.47932607609,4867.63901583134,-8.598864530805574,41.17044526999026,2848,0.2570283231481735
"MULTIPOLYGON (((-8.61383201244793 41.1709227615258,-8.61359747658859 41.1707036411383,-8.61329055331042 41.1704160245145,-8.61319344100231 41.1703853031766,-8.61291434075845 41.1703727480684,-8.61293453246906 41.1700915966141,-8.61291123057 41.169888456129,-8.61286435444235 41.1697010813556,-8.61278309546036 41.1694930875723,-8.61274041331962 41.1693838222176,-8.61237411585407 41.1685009373295,-8.61237216535565 41.1684965423286,-8.61268831191978 41.1685331832748,-8.61287796310109 41.1685550717727,-8.61298298767796 41.1685861917332,-8.61324355540274 41.168659583352,-8.61402365421525 41.168886225567,-8.61414497621658 41.1688876890956,-8.61428427888687 41.1688516031701,-8.61433380477128 41.1688182783438,-8.61434917231067 41.1688079410995,-8.61439272779054 41.1687094255444,-8.61442913461839 41.1686385741283,-8.61466023253415 41.1681428734449,-8.61461592067721 41.1680180119739,-8.61440243980146 41.1679441655793,-8.61439077397538 41.1679407206452,-8.61404811150608 41.1678395151849,-8.61395831155803 41.1678129923741,-8.61405890122202 41.1676097390622,-8.61417845258336 41.1673681389584,-8.6141715711463 41.1673445052193,-8.61415577832651 41.1673259781357,-8.61412436655287 41.167310901906,-8.61399076177766 41.1672702505606,-8.61364057888068 41.1671636960808,-8.61319196197628 41.1670271819437,-8.61334473119327 41.1666286932144,-8.61432042167658 41.1670217012873,-8.61530868504644 41.1674183942195,-8.61563010730229 41.1676838041366,-8.61698767180855 41.1687192912308,-8.61719928647591 41.1691614932855,-8.61738550334364 41.1695491382369,-8.61758494742126 41.1699674040598,-8.61742466828684 41.1700899309575,-8.61730798857461 41.1701544503768,-8.61707900774788 41.1702810663064,-8.6166125343036 41.1705390408877,-8.61645102966772 41.1706332367573,-8.61643085120877 41.1706471151578,-8.61640253155128 41.17065743589,-8.61637017071368 41.1706657656065,-8.61618491205948 41.1706993923247,-8.61615822043697 41.1707042405435,-8.61564658814152 41.1707121451867,-8.6151847822372 41.1707467880687,-8.61506975554034 41.1708113073032,-8.61441598645357 41.1711714713566,-8.61383201244793 41.1709227615258)))",44,362,13121003907,13,1312,131210,131210039,39,7,3907,13121003907,1,11,11A,132,103,28,131,96,36,67,56,7,2,0,40,278,277,211,66,35,42,75,122,211,154,57,121,42,441,193,248,30,46,239,126,1740.12067286243,111283.847776482,-8.614987295624292,41.16927093791512,2848,1.886404300248202
"MULTIPOLYGON (((-8.60379295244564 41.1708104279754,-8.60370947141267 41.170690927801,-8.60361880519993 41.1704635076357,-8.60348944013445 41.1700867888996,-8.60348780608067 41.1699517900788,-8.60455213276254 41.1699573109737,-8.60560912257418 41.169653475122,-8.60571212023698 41.1696400584079,-8.60591430677672 41.169650319262,-8.6059085712255 41.169656411723,-8.6055412291412 41.1701289300153,-8.60486081394854 41.1709526109286,-8.60467272618431 41.1712003716115,-8.60445501410701 41.1712059386971,-8.60402703083593 41.1712958353684,-8.60379295244564 41.1708104279754)))",45,363,13121000909,13,1312,131210,131210009,9,9,909,13121000909,1,11,11A,13,2,11,9,2,11,3,9,1,0,0,5,53,53,41,12,2,2,22,18,41,25,16,23,7,93,35,58,4,17,41,31,623.790025830197,19438.3350228999,-8.604544717571542,41.170411827356205,2848,0.4084914421462043
"MULTIPOLYGON (((-8.58456344670575 41.174354208776,-8.58470843038218 41.1740706371773,-8.58485318531906 41.1737898576218,-8.58506658771302 41.1733539332152,-8.58525321841776 41.172976731648,-8.58537064326993 41.1727624448796,-8.58538302194547 41.1727398548407,-8.58569909472313 41.1721080456365,-8.58586900187714 41.1717331102698,-8.58587087529912 41.1717289762218,-8.58591071361827 41.1716410634277,-8.58594802294591 41.1715728503273,-8.5861192402888 41.1712598123718,-8.58618883886547 41.1711059265582,-8.58648328249838 41.1705638535374,-8.58648521228947 41.1705603009365,-8.58648523111925 41.1705602666459,-8.58721604803698 41.1707625243153,-8.58788082665038 41.1709503691427,-8.58733094075989 41.1715167754402,-8.58694348043286 41.1720822321417,-8.58652955213332 41.1726310616511,-8.58647078392462 41.1726988686586,-8.58631144210899 41.1728907044195,-8.58621950896279 41.1730219746184,-8.58616766690368 41.1730591043935,-8.58611198441713 41.1730888566978,-8.58602843364191 41.1731036192101,-8.58530847249991 41.1745648858424,-8.58456344670575 41.174354208776)))",102,162621,13121001005,13,1312,131210,131210010,10,5,1005,13121001005,1,11,11A,76,60,15,74,13,63,8,42,21,0,5,30,135,134,113,21,25,65,63,36,113,72,41,82,33,276,117,159,29,24,141,82,1104.5093904224,38624.2471333354,-8.586137431127614,41.17236248903315,2848,1.1336784967428366
"MULTIPOLYGON (((-8.61333206085581 41.1742230394423,-8.6130777965994 41.1734437029305,-8.61300709387447 41.1732542944974,-8.61282327231296 41.172761835015,-8.61272123629264 41.1724801401133,-8.61265922535345 41.1722763603568,-8.61271874189353 41.1718222847408,-8.61329434210786 41.1718233909769,-8.61509761614781 41.1718096207914,-8.61606811177369 41.1718021932844,-8.61647198630044 41.1717994942091,-8.61686899224023 41.1732173137785,-8.61690574350977 41.1737752868105,-8.61734774328037 41.1737360749624,-8.6183650851575 41.1738203868174,-8.61786490122016 41.1738745073984,-8.61661392161485 41.1740047663163,-8.61544764428247 41.1741730495866,-8.61481828809424 41.1742834786684,-8.61419354038327 41.1743938931667,-8.61390090547346 41.1744326838151,-8.61367886523348 41.1744621199465,-8.61358106994213 41.1744690839913,-8.61343272275672 41.1744790240055,-8.61333206085581 41.1742230394423)))",104,162623,13121002402,13,1312,131210,131210024,24,2,2402,13121002402,1,11,11A,48,33,14,47,29,19,21,25,1,1,0,11,152,151,103,48,17,49,52,43,103,70,33,67,25,229,105,124,19,27,109,74,1385.67089970836,87932.7609032164,-8.614843391469392,41.17302888548891,2848,0.9638562118056506
