station_id,average_waiting_cars
VORTEX Gingabike - Motocidade.,0.05638888888888889
PRT-00096,0.11444444444444445
PRT-00021,0.1225
PRT-00145,0.04027777777777778
PRT-00143,0.22944444444444445
Centro Porsche Porto,0.059722222222222225
PRT-00034,0.005833333333333334
FEUP-00002,0.035277777777777776
comum,0.012777777777777779
MOBI-MTS-00001 -Ceiia,0.051944444444444446
MTS-00046,0.13111111111111112
NISSAN CAETANO POWER S.A. (Porto),0.11333333333333333
Vila Foz Hotel Spa,0.041666666666666664
PRT-00028/29 - Pestana Palácio do Freixo,0.015277777777777777
MOBI.E - PRT-00086,0.09277777777777778
IPP-00001/2 - Hospital de São João,0.05444444444444444
PRT-00051,0.059444444444444446
PRT-00060,0.05444444444444444
Hotel Vincci Porto,0.0
Riera Alta,0.03944444444444444
PRT-00020,0.059722222222222225
PRT-00132,0.08583333333333333
PRT-00160,0.08166666666666667
PRT-00187,0.06722222222222222
PRT-00159,0.06861111111111111
PRT-00180,0.06555555555555556
GARAGEM CAMOES,0.11777777777777777
PRT-00096 - PCR - Porto (LIDL J. Bastos),0.08
PRT-00091,0.07666666666666666
MTS-00031,0.12166666666666667
Garagem Porto D'ouro 2 ,0.06694444444444445
PRT-00076,0.04
PRT-00173,0.115
Renault Boavista,0.08666666666666667
Garagem Porto D'ouro,0.13444444444444445
PRT-00101,0.15138888888888888
MOBI.E - PRT-00085,0.06972222222222223
PRT-00031,0.10888888888888888
Bessa Hotel Baixa,0.1313888888888889
PRT-00171,0.06722222222222222
PRT-00019,0.08638888888888889
PRT-00154,0.0175
PRT-00014,0.1436111111111111
PRT-00001 - PCR - Porto (Av. França),0.14777777777777779
PRT-00094,0.05555555555555555
PRT-00030,0.18722222222222223
PRT-00052,0.09722222222222222
PRT-00147,0.12944444444444445
PRT-00068,0.03888888888888889
PRT-00033/34 - Vila Galé Porto Ribeira,0.0
GDM-00007/8 - Pestana Palácio do Freixo,0.02722222222222222
PRT-00141,0.15
PRT-00155,0.05444444444444444
PRT-00146,0.0675
MOBI.E - PRT-00021 (C.C. Cristal Park),0.051666666666666666
PRT-00020 - PCR - Q8 Circunvalação,0.01861111111111111
PRT-00128,0.029166666666666667
CC Parque Nascente,0.028333333333333332
Porto Deluxe - GuestHouse,0.05583333333333333
PRT-00036,0.04805555555555555
FEUP-00001,0.051944444444444446
PRT-00073,0.020277777777777777
Hotel Crowne Plaza Porto,0.2088888888888889
PRT-00091 - PCR - Areosa (LIDL),0.01861111111111111
PRT-00071,0.036944444444444446
PRT-00097,0.08916666666666667
PRT-00050,0.08361111111111111
PRT-00069,0.13166666666666665
Hotel Teatro - Tesla Destination Charger,0.07416666666666667
PRT-00134,0.10694444444444444
PRT-00028,0.0175
PRT-00037,0.09444444444444444
PRT-00170,0.035277777777777776
Nissan Porto ZI,0.07388888888888889
PRT-00013 - PCR - Porto (Av. da França),0.09972222222222223
Maison Albar Hotels Le Monumental Palace,0.0961111111111111
PRT-00049,0.08527777777777777
PRT-00105,0.14333333333333334
PRT-00142,0.12833333333333333
PRT-00129,0.028055555555555556
MOBI.E - PRT-00103,0.09333333333333334
PRT-00017/18,0.0636111111111111
PRT-00139,0.010833333333333334
PRT-00144,0.1438888888888889
PRT-00101 - PCR - Porto,0.1238888888888889
PRT-00032/33 - Hotel Vile Gale,0.11527777777777778
LoftAbroad Apartments,0.0661111111111111
PRT-00070,0.0375
PRT-00001,0.09027777777777778
PRT-00156,0.09361111111111112
Hotel da Música,0.08
PRT-00046,0.006111111111111111
Via Catarina Porto,0.13361111111111112
TESTE WDAO- PRODDD,0.03027777777777778
I-CHARGING TEST,0.1288888888888889
GDM-00007,0.029166666666666667
Bessa Hotel Boavista,0.08888888888888889
Charge point GreenFlux,0.10222222222222223
PRT-00153,0.010555555555555556
PRT-00022,0.04972222222222222
Kinda Home - Porto,0.09694444444444444
PRT-00127,0.018333333333333333
PRT-00015,0.1075
PRT-00013,0.08083333333333333
PRT-00016,0.08027777777777778
PRT-00062,0.05555555555555555
