charging_station_name,usage
PRT-00101,0.5979381443298969
PRT-00145,0.13144329896907217
PRT-00014,0.12886597938144329
Garagem Porto D'ouro 2 ,0.08247422680412371
PRT-00034,0.13917525773195877
PRT-00159,0.5824742268041238
PRT-00028/29 - Pestana Palácio do Freixo,0.36597938144329895
PRT-00071,0.36082474226804123
PRT-00156,0.24054982817869414
PRT-00155,0.22336769759450173
PRT-00030,0.4948453608247423
PRT-00051,0.23539518900343648
PRT-00033/34 - Vila Galé Porto Ribeira,0.3711340206185567
Hotel Crowne Plaza Porto,0.38144329896907214
comum,0.15721649484536082
Charge point GreenFlux,0.634020618556701
MTS-00031,0.005154639175257732
PRT-00154,0.28178694158075623
PRT-00160,0.6649484536082474
PRT-00052,0.35738831615120265
PRT-00032/33 - Hotel Vile Gale,0.13917525773195877
PRT-00001 - PCR - Porto (Av. França),0.2474226804123711
PRT-00031,0.30670103092783507
PRT-00173,0.45704467353951833
Riera Alta,0.8247422680412371
PRT-00049,0.06357388316151205
PRT-00069,0.4329896907216495
Hotel da Música,0.22422680412371135
Nissan Porto ZI,0.4896907216494845
GDM-00007,0.7628865979381443
Porto Deluxe - GuestHouse,0.3634020618556701
PRT-00170,0.5180412371134021
MOBI.E - PRT-00103,0.25
NISSAN CAETANO POWER S.A. (Porto),0.17525773195876287
PRT-00022,0.30927835051546393
PRT-00020,0.060137457044673555
PRT-00096,0.16323024054982807
TESTE WDAO- PRODDD,0.4845360824742268
Hotel Teatro - Tesla Destination Charger,0.24484536082474226
PRT-00153,0.2422680412371135
PRT-00016,0.2809278350515464
PRT-00028,0.06958762886597938
IPP-00001/2 - Hospital de São João,0.27835051546391754
PRT-00127,0.29381443298969084
CC Parque Nascente,0.4226804123711336
PRT-00076,0.13058419243986233
PRT-00046,0.6597938144329897
PRT-00017/18,0.5747422680412371
Vila Foz Hotel Spa,0.46134020618556704
PRT-00068,0.20790378006872887
PRT-00097,0.13058419243986244
MOBI.E - PRT-00021 (C.C. Cristal Park),0.8247422680412371
PRT-00091 - PCR - Areosa (LIDL),0.17182130584192437
MTS-00046,0.22680412371134062
PRT-00094,0.17783505154639176
PRT-00171,0.6417525773195877
MOBI-MTS-00001 -Ceiia,0.31443298969072164
PRT-00139,0.8505154639175257
PRT-00015,0.4896907216494845
Kinda Home - Porto,0.37371134020618557
FEUP-00002,0.09965635738831614
PRT-00187,0.3247422680412371
PRT-00144,0.31443298969072164
MOBI.E - PRT-00086,0.22164948453608246
PRT-00096 - PCR - Porto (LIDL J. Bastos),0.2646048109965639
PRT-00141,0.634020618556701
PRT-00147,0.18900343642611706
Hotel Vincci Porto,0.23711340206185597
PRT-00001,0.2749140893470794
PRT-00013,0.14175257731958762
PRT-00143,0.36082474226804123
PRT-00019,0.02920962199312714
MOBI.E - PRT-00085,0.28350515463917525
PRT-00073,0.11512027491408929
PRT-00134,0.3127147766323027
PRT-00036,0.2963917525773196
PRT-00037,0.2345360824742268
PRT-00020 - PCR - Q8 Circunvalação,0.12199312714776624
GARAGEM CAMOES,0.8092783505154639
PRT-00060,0.3436426116838486
LoftAbroad Apartments,0.8195876288659794
PRT-00142,0.4742268041237113
Bessa Hotel Baixa,0.21649484536082475
PRT-00021,0.7474226804123711
PRT-00070,0.15979381443298968
I-CHARGING TEST,0.5154639175257731
PRT-00091,0.2388316151202746
PRT-00062,0.23969072164948454
Bessa Hotel Boavista,0.44072164948453607
FEUP-00001,0.2697594501718217
PRT-00180,0.5240549828178694
PRT-00101 - PCR - Porto,0.19845360824742267
PRT-00129,0.10996563573883157
Via Catarina Porto,0.7938144329896907
PRT-00013 - PCR - Porto (Av. da França),0.13402061855670103
Centro Porsche Porto,0.44072164948453607
Garagem Porto D'ouro,0.7268041237113402
PRT-00132,0.14776632302405496
PRT-00146,0.2551546391752577
PRT-00050,0.37800687285223333
PRT-00105,0.13659793814432988
Maison Albar Hotels Le Monumental Palace,0.30670103092783507
GDM-00007/8 - Pestana Palácio do Freixo,0.2757731958762887
VORTEX Gingabike - Motocidade.,0.7731958762886598
PRT-00128,0.448453608247422
Renault Boavista,0.3247422680412371
