car_id,average_travelled_distance,average_time_spent_travelling,average_time_spent_waiting
588,1.0,2.0,16.0
1686,16.0,35.0,0.0
823,11.0,12.0,0.0
2033,12.0,13.0,0.0
44,10.0,11.0,0.0
2568,8.5,28.0,0.0
1580,12.0,13.0,0.0
173,20.0,21.0,0.0
2485,19.0,20.0,0.0
620,19.0,42.5,28.5
955,29.0,30.0,0.0
1100,14.0,15.0,28.0
378,4.0,5.0,7.0
1455,10.0,11.0,0.0
761,2.0,3.0,0.0
835,11.0,12.0,24.0
999,14.0,15.0,0.0
1307,33.0,50.0,0.0
527,7.0,8.0,0.0
2333,11.0,29.0,0.0
2362,6.0,7.0,0.0
1515,5.5,24.0,11.5
1865,27.5,44.5,2.0
1696,22.0,23.0,0.0
395,28.5,54.0,2.5
65,14.0,15.0,1.0
457,16.0,17.0,9.0
180,7.0,8.0,0.0
150,17.0,36.5,0.0
739,10.5,30.5,0.0
201,8.5,31.0,16.5
2520,25.0,46.0,0.0
1220,6.5,33.0,12.0
1869,8.0,9.0,31.0
2331,24.0,25.0,0.0
713,35.0,62.0,8.0
459,18.0,19.0,0.0
1681,17.0,18.0,26.0
1427,17.0,18.0,3.0
221,7.0,8.0,22.0
688,9.0,10.0,25.0
810,11.0,29.0,0.0
450,32.5,49.0,0.0
291,20.0,37.5,0.0
1231,17.0,31.5,0.0
1001,12.5,33.0,4.0
522,1.0,2.0,38.0
979,13.5,32.5,0.0
1443,1.0,2.0,24.0
1212,16.0,17.0,0.0
22,7.0,24.0,7.0
1723,23.0,49.5,9.0
2492,22.0,23.0,11.0
1281,10.0,11.0,0.0
2238,4.0,23.0,0.0
771,6.5,30.0,13.0
1126,8.5,35.0,30.5
1487,18.0,19.0,0.0
483,22.0,23.0,0.0
1230,6.0,7.0,0.0
1193,18.0,19.0,5.0
332,29.0,45.5,0.0
234,12.0,13.0,32.0
1949,0.0,1.0,38.0
746,13.0,14.0,0.0
1763,11.0,12.0,7.0
271,7.0,8.0,12.0
1765,15.0,16.0,0.0
2409,26.0,55.5,16.5
1345,23.0,24.0,0.0
2086,17.0,18.0,0.0
975,16.0,17.0,0.0
1975,19.0,39.0,27.5
2557,11.0,12.0,11.0
815,19.0,20.0,21.0
1523,22.0,23.0,17.0
991,18.0,19.0,0.0
290,24.0,53.5,20.5
2549,18.0,19.0,0.0
421,31.0,51.0,0.0
2425,5.0,6.0,14.0
1599,18.0,19.0,34.0
888,20.0,21.0,0.0
1103,17.0,18.0,0.0
2171,2.0,3.0,36.0
1520,12.0,13.0,0.0
1553,25.0,26.0,0.0
2176,12.0,31.5,0.0
2360,6.0,7.0,28.0
965,24.0,25.0,0.0
1918,1.5,33.0,45.5
1675,9.0,25.5,0.0
1920,5.0,6.0,20.0
782,8.0,28.0,9.5
1077,16.0,17.0,18.0
1224,18.0,45.0,13.5
1692,7.0,8.0,57.0
1770,11.0,12.0,20.0
476,15.0,16.0,0.0
1571,4.0,5.0,52.0
1088,5.0,6.0,6.0
38,18.0,19.0,22.0
518,14.0,15.0,1.0
750,23.0,24.0,6.0
2486,18.0,19.0,33.0
488,16.0,17.0,15.0
509,13.0,14.0,0.0
1496,24.0,25.0,0.0
2184,28.0,29.0,4.0
1583,19.0,20.0,20.0
1179,15.0,16.0,12.0
1924,3.5,26.5,9.0
1907,8.0,9.0,44.0
1820,21.5,51.0,16.0
6,14.0,15.0,0.0
1415,2.0,3.0,36.0
47,10.0,11.0,0.0
2406,2.0,3.0,5.0
2263,7.0,8.0,23.0
843,9.5,33.0,3.5
1650,1.0,2.0,20.0
628,11.0,12.0,0.0
367,16.0,17.0,28.0
1492,20.0,21.0,0.0
2554,21.0,22.0,0.0
475,8.0,9.0,34.0
2121,12.0,13.0,0.0
88,15.0,34.5,0.0
2566,7.0,8.0,15.0
170,1.0,2.0,0.0
1414,14.0,15.0,0.0
852,20.0,21.0,0.0
2334,4.0,5.0,46.0
1199,30.0,31.0,0.0
1252,15.0,16.0,0.0
528,19.0,20.0,0.0
690,18.0,19.0,0.0
952,13.0,14.0,0.0
2390,1.0,2.0,57.0
1910,18.0,19.0,28.0
282,14.0,15.0,30.0
451,11.0,12.0,25.0
2187,34.0,35.0,0.0
2019,20.0,21.0,0.0
1911,29.0,30.0,0.0
1940,24.5,47.5,3.5
1420,1.0,2.0,0.0
2073,16.0,17.0,34.0
2298,16.0,17.0,7.0
1274,26.0,27.0,38.0
207,23.0,24.0,0.0
2123,30.0,31.0,5.0
1508,15.0,16.0,29.0
2150,28.0,29.0,0.0
356,3.0,4.0,50.0
640,13.0,14.0,17.0
1082,14.0,15.0,54.0
2273,26.0,46.0,0.0
2561,17.0,18.0,22.0
2475,25.0,26.0,0.0
2017,20.0,21.0,28.0
334,22.0,23.0,0.0
2494,1.0,2.0,49.0
492,8.0,9.0,76.0
1032,16.0,17.0,20.0
2109,16.5,57.5,22.5
570,10.0,11.0,0.0
1821,26.0,27.0,0.0
711,15.0,16.0,10.0
83,12.0,47.5,18.5
1254,18.0,19.0,0.0
1808,11.0,12.0,59.0
2330,0.0,1.0,57.0
2446,20.0,21.0,21.0
1832,25.0,26.0,20.0
1896,11.0,12.0,45.0
791,16.0,17.0,7.0
2355,14.5,54.0,25.0
2420,21.0,22.0,0.0
1070,20.0,21.0,27.0
259,12.0,13.0,56.0
231,6.0,7.0,79.0
1978,15.0,16.0,50.0
1026,8.0,9.0,54.0
1277,14.0,15.0,54.0
1249,12.0,13.0,31.0
1866,28.0,29.0,13.0
862,15.0,16.0,31.0
1618,10.0,11.0,60.0
646,14.0,15.0,66.0
1029,11.0,12.0,62.0
1752,3.0,4.0,70.0
344,2.0,3.0,54.0
2146,16.0,17.0,69.0
1462,21.0,22.0,52.0
2392,13.0,14.0,78.0
2209,2.0,3.0,72.0
1018,12.0,13.0,55.0
1859,6.0,7.0,62.0
2417,17.0,18.0,62.0
4,18.0,19.0,62.0
1078,27.0,28.0,82.0
1982,30.0,31.0,36.0
1972,13.0,14.0,99.0
204,4.0,5.0,77.0
total,18.083969465648856,28.52671755725191,11.5470737913486
