car_id,average_battery_level
1201.0,0.0800726224465585
1003.0,0.0574133196520566
998.0,0.0734451604868232
1476.0,0.05179036622257
342.0,0.042906041115345
2521.0,0.0766552525611093
400.0,0.0388217058263275
1011.0,0.0530142379614783
46.0,0.0186898065688191
2373.0,0.014448768477527
1412.0,0.0669529492424351
1667.0,0.0791470094873957
118.0,0.0471331698122901
1127.0,0.0563279022044427
516.0,0.0396086558145658
387.0,0.0466505070765284
1869.0,0.087612339253107
2430.0,0.0013028961497891
1025.0,0.0532125124275566
665.0,0.0540011734319887
27.0,0.0317469097124538
1135.0,0.0434672548296304
1599.0,0.0076019884806302
1660.0,0.029408903115015
959.0,0.0128308222866968
1681.0,0.0426017769846743
1874.0,0.0032343827260648
248.0,0.0745673524304395
221.0,0.0755515495636958
792.0,0.0536664381612287
1116.0,0.0615957931451999
406.0,0.0338139190268446
805.0,0.0241226590217709
765.0,0.0052384770188935
1274.0,0.037540750726918
1907.0,0.0632966473989609
2438.0,0.0568241907251333
459.0,0.0125018817941447
2331.0,0.0415296755504876
1082.0,0.0011551512670009
955.0,0.0308369357131879
38.0,0.0508674094809162
2201.0,0.0285711931524147
1793.0,0.0401766005861968
457.0,0.0213758482269454
65.0,0.0046191561533657
1078.0,0.0292091840148235
815.0,0.0547544136824823
57.0,0.0540421735927124
2485.0,0.0565303612213366
1808.0,0.054763915049576
1583.0,0.0100772831977211
483.0,0.0518057396288161
1427.0,0.0201908853340475
1508.0,0.0221367064541492
282.0,0.0147426948667391
1763.0,0.044600587705817
1487.0,0.0348544353023744
367.0,0.013424304386899
2269.0,0.0183524984590666
2073.0,0.0450110144683313
646.0,0.0514778083883328
1277.0,0.0471165296907181
1081.0,0.0259582223534896
1696.0,0.0006940929076419
2146.0,0.0360111646497907
1179.0,0.0184632173356838
44.0,0.0215846460111372
1193.0,0.0393264681018441
488.0,0.0358627630505429
975.0,0.0129085546017375
2017.0,0.0231848737792512
2184.0,0.0199535738383105
888.0,0.0294032958107628
2086.0,0.0037821080638729
750.0,0.0005002980426381
1462.0,0.0075109881312827
991.0,0.0181251844901659
6.0,0.0289217312592878
746.0,0.0498742942357874
1553.0,0.0258211500818787
1075.0,0.0460686117046204
1018.0,0.0599691631873704
1496.0,0.0156902508653357
1103.0,0.0166284371032676
2121.0,0.0460531417370911
2187.0,0.0081846895207215
1199.0,0.0123423054309796
1414.0,0.0507058091251889
690.0,0.0339708730839239
1832.0,0.0460500591148343
1507.0,0.0362670045112835
2123.0,0.0146155278246236
1492.0,0.0494930406087546
852.0,0.018773781399143
2298.0,0.0135271690822793
1911.0,0.0370420609582221
2150.0,0.0005334034970195
1249.0,0.0344908480099127
791.0,0.0329092707174537
2475.0,0.039817885922719
334.0,0.0033606585287432
207.0,0.028301180027702
2342.0,0.0108721176452609
1821.0,0.0262840514213103
1254.0,0.0117015416767734
1866.0,0.0018868913099511
2420.0,0.0342431371742743
1982.0,0.0006583899888644
588.0,0.0439629437412114
