charging_station_name,usage
PRT-00171,0.09698275862068965
TESTE WDAO- PRODDD,0.75
PRT-00096 - PCR - Porto (LIDL J. Bastos),0.2040229885057472
PRT-00147,0.14511494252873564
PRT-00070,0.25862068965517243
PRT-00062,0.09267241379310345
Charge point GreenFlux,0.21767241379310345
PRT-00105,0.04525862068965517
PRT-00030,0.27801724137931033
Hotel Teatro - Tesla Destination Charger,0.2672413793103448
PRT-00071,0.11637931034482758
Via Catarina Porto,0.6810344827586207
PRT-00134,0.13649425287356318
PRT-00180,0.09913793103448264
MTS-00031,0.06609195402298854
GARAGEM CAMOES,0.30603448275862066
PRT-00036,0.23922413793103448
PRT-00013 - PCR - Porto (Av. da França),0.1853448275862069
PRT-00069,0.3232758620689655
PRT-00153,0.14655172413793102
PRT-00052,0.16235632183908028
MOBI.E - PRT-00021 (C.C. Cristal Park),0.5732758620689655
PRT-00049,0.2485632183908051
GDM-00007/8 - Pestana Palácio do Freixo,0.004310344827586207
PRT-00143,0.40948275862068967
PRT-00156,0.2068965517241384
PRT-00017/18,0.4956896551724138
PRT-00094,0.22413793103448276
PRT-00001 - PCR - Porto (Av. França),0.19252873563218423
PRT-00014,0.2629310344827586
PRT-00016,0.3793103448275862
IPP-00001/2 - Hospital de São João,0.46336206896551724
Hotel Vincci Porto,0.19252873563218426
GDM-00007,0.29310344827586204
LoftAbroad Apartments,0.6853448275862069
PRT-00050,0.18678160919540274
PRT-00019,0.32327586206896525
PRT-00031,0.3254310344827586
PRT-00046,0.21551724137931033
Bessa Hotel Baixa,0.12284482758620689
Garagem Porto D'ouro 2 ,0.7198275862068966
PRT-00101,0.30603448275862066
PRT-00129,0.2629310344827593
PRT-00013,0.19181034482758622
VORTEX Gingabike - Motocidade.,0.8706896551724138
PRT-00132,0.17816091954022983
PRT-00139,0.3103448275862069
PRT-00091,0.17959770114942544
PRT-00032/33 - Hotel Vile Gale,0.2629310344827586
MOBI.E - PRT-00103,0.1939655172413793
PRT-00142,0.7241379310344828
FEUP-00001,0.07327586206896548
PRT-00033/34 - Vila Galé Porto Ribeira,0.12931034482758622
PRT-00146,0.33836206896551724
PRT-00060,0.08620689655172412
PRT-00022,0.0
PRT-00034,0.16594827586206898
MOBI-MTS-00001 -Ceiia,0.05387931034482758
PRT-00144,0.41379310344827586
PRT-00187,0.5
PRT-00021,0.5301724137931034
Maison Albar Hotels Le Monumental Palace,0.0603448275862069
PRT-00101 - PCR - Porto,0.3857758620689655
Centro Porsche Porto,0.17025862068965517
PRT-00127,0.10775862068965508
PRT-00028/29 - Pestana Palácio do Freixo,0.41810344827586204
Renault Boavista,0.28448275862068967
PRT-00145,0.27155172413793105
PRT-00028,0.3232758620689655
PRT-00020,0.18534482758620707
Riera Alta,0.2543103448275862
Hotel Crowne Plaza Porto,0.12931034482758622
Kinda Home - Porto,0.07543103448275862
PRT-00128,0.10344827586206884
PRT-00001,0.06752873563218395
PRT-00091 - PCR - Areosa (LIDL),0.20689655172413823
I-CHARGING TEST,0.4202586206896552
PRT-00068,0.19971264367816108
PRT-00097,0.13505747126436768
PRT-00015,0.08405172413793104
MOBI.E - PRT-00086,0.08405172413793104
MOBI.E - PRT-00085,0.10344827586206896
Porto Deluxe - GuestHouse,0.15948275862068967
NISSAN CAETANO POWER S.A. (Porto),0.2413793103448276
MTS-00046,0.17816091954023014
PRT-00159,0.2650862068965517
Bessa Hotel Boavista,0.16810344827586207
PRT-00160,0.34698275862068967
Nissan Porto ZI,0.3793103448275862
PRT-00154,0.3031609195402299
PRT-00076,0.17816091954023006
comum,0.0625
PRT-00155,0.15373563218390804
Vila Foz Hotel Spa,0.10344827586206896
PRT-00020 - PCR - Q8 Circunvalação,0.1422413793103447
PRT-00096,0.21551724137931072
PRT-00037,0.5043103448275862
PRT-00173,0.2341954022988509
Garagem Porto D'ouro,0.11206896551724138
PRT-00170,0.14439655172413793
FEUP-00002,0.1379310344827584
CC Parque Nascente,0.15373563218390798
PRT-00141,0.40948275862068967
PRT-00073,0.31465517241379237
PRT-00051,0.1767241379310347
Hotel da Música,0.38362068965517243
